'a'bo'luo 阿波羅
'a'bo'luo'li'ma'si'su'er 阿波羅利馬斯素爾
'a'bo'mo'si'lai 阿波墨斯萊
'a'de'lai'de'lian 阿德萊得聯
'a'er'ba'sai'te 阿爾巴塞特
'a'er'bao 阿爾堡
'a'er'ji 阿爾基
'a'er'ji'er 阿爾及爾
'a'er'ta 阿爾塔
'a'gao'si 阿高斯
'a'ge'luo'di'gao'si 阿格羅蒂高斯
'a'ge'si 阿格斯
'a'gu'lei'li 阿古雷利
'a'han 阿漢
'a'ji'na'zha'li 阿基納紮力
'a'ji'shi 阿積士
'a'jian'ni'si 阿簡尼斯
'a'ka 阿卡
'a'ke'xia'pu'er 阿科夏普爾
'a'la'bo'jian'zhu 阿拉伯建築
'a'lai'si 阿萊斯
'a'lan'da'si 阿蘭達斯
'a'lan'ni'ya'wa'la 阿蘭尼亞瓦拉
'a'lao 阿勞
'a'lei'su 阿雷素
'a'li'kan'te 阿利坎特
'a'li'si 阿里斯
'a'li'xin'te 阿利辛特
'a'ma'duo'la 阿馬多拉
'a'ma'gai'er 阿瑪瓂爾
'a'ma'ka 阿馬卡
'a'pu'er 阿普爾
'a'rui'jie 阿瑞傑
'a'shi'dong'wei'la 阿士東維拉
'a'shu'duo 阿舒多
'a'si'ke'li 阿斯科利
'a'su'er 阿蘇爾
'a'te'lan'da 阿特蘭大
'a'wa'yi 阿瓦伊
'a'xi'li'si'ka 阿西里斯卡
'a'xian'nu 阿仙奴
'a'xiao'si 阿曉斯
'a'xie'si'ao 阿些斯奧
'ai'bei'si'fei'te'lian 艾貝斯費特聯
'ai'bi'an'liu'lang 艾比安流浪
'ai'bi'an'shi'te'ning 艾比安士特寧
'ai'bin'nu'lie'fu 艾賓奴列夫
'ai'bo'li'si'te'fu 艾伯里斯特夫
'ai'bo'pu 艾伯普
'ai'de'han'de 艾德瀚德
'ai'di'suo'te 艾迪索特
'ai'er 艾爾
'ai'er'qie 艾爾切
'ai'er'qing'cheng 艾爾青程
'ai'fo'long 艾佛隆
'ai'fu'si'bao 艾夫斯堡
'ai'gu'ai'pi'dun 艾古艾皮敦
'ai'hua'dun 愛華頓
'ai'ji'er 艾積爾
'ai'ke'ma'ya 艾克馬亞
'ai'la'wei'si 艾拉維斯
'ai'lai 艾萊
'ai'li'sa'gao'si 艾里薩高斯
'ai'lun 艾倫
'ai'luo'ni'ma'ka'bi 艾羅尼馬卡比
'ai'luo'ya 艾洛亞
'ai'ma 艾馬
'ai'mei'li'ya 艾美利亞
'ai'mi'en'si 愛米恩斯
'ai'ning'dun 艾寧頓
'ai'si'bao 艾斯堡
'ai'si'bin'nu 愛斯賓奴
'ai'si'di'ge'na'a'wa 艾斯迪格拿阿瓦
'ai'si'pan'nuo'la 艾斯潘諾拉
'ai'si'te'cheng 艾斯特城
'ai'te'lai 艾特萊
'ai'te'sha'la'te 艾特沙拉特
'ai'wei'da'bao 艾維達堡
'ai'wei'lian'nu 艾維連奴
