'ban'fu'ding'er'ci'xing 半负定二次型
'ban'sui'ju'zhen 伴随矩阵
'bu'ding'er'ci'xing 不定二次型
'bu'ding'ju'zhen 不定矩阵
'bu'xiang'rong'xian'xing'fang'cheng'zu 不相容线性方程组
'chu'deng'ju'zhen 初等矩阵
'dai'shu'yu'zi'shi 代数余子式
'dai'shu'yu'zi'shi'zhan'kai 代数余子式展开
'dan'wei'ju'zhen 单位矩阵
'dui'jiao'ju'zhen 对角矩阵
'dui'jiao'yuan'su 对角元素
'fan'shu 范数
'fei'ping'fan'jie 非平凡解
'fei'qi'ci'xian'xing'fang'cheng'zu 非齐次线性方程组
'fei'qi'yi'ju'zhen 非奇异矩阵
'fu'ding'er'ci'xing 负定二次型
'gui'fan'hua'xiang'liang 规范化向量
'hang'lie'shi 行列式
'ji'chu'jie'xi 基础解系
'jiao'cha'xiang 交叉项
'jiao'huan'ju'zhen 交换矩阵
'ju'zhen 矩阵
'ke'lai'mu'fa'ze 克莱姆法则
'ke'xi'xu'wa'zi'bu'deng'shi 柯西许瓦兹不等式
'kuai'dui'jiao'ju'zhen 块对角矩阵
'kuai'ju'zhen 块矩阵
'lie'xiang'liang 列向量
'man'zhi 满秩
'nei'ji 内积
'ni'ju'zhen 逆矩阵
'qi'ci'xian'xing'fang'cheng'zu 齐次线性方程组
'shi'mi'te'zheng'jiao'hua'guo'cheng 施密特正交化过程
'te'zheng'duo'xiang'shi 特征多项式
'te'zheng'fang'cheng 特征方程
'te'zheng'kong'jian 特征空间
'te'zheng'xiang'liang 特征向量
'te'zheng'xiang'liang'de'ji 特征向量的基
'te'zheng'zhi 特征值
'ti'xing'ju'zhen 梯形矩阵
'tong'jie 通解
'wu'xian'wei'kong'jian 无限维空间
'xi'shu'ju'zhen 系数矩阵
'xia'san'jiao'xing'ju'zhen 下三角形矩阵
'xian'xing'bian'huan 线性变换
'xian'xing'dai'shu 线性代数
'xian'xing'wu'guan 线性无关
'xian'xing'xiang'guan 线性相关
'xian'xing'zu'he 线性组合
'xiang'liang'kong'jian'de'wei'shu 向量空间的维数
'xiang'rong'xian'xing'fang'cheng'zu 相容线性方程组
'xing'chu'deng'bian'huan 行初等变换
'zeng'guang'ju'zhen 增广矩阵
'zhu'dui'jiao 主对角
