'ban'feng'jian'ban'zhi'min'di'jing'ji 半封建半殖民地经济
'bu'men'jie'gou 部门结构
'cai'fu 财富
'chan'pin'jia'zhi 产品价值
'chan'pin'jing'ji 产品经济
'chan'ye'ge'ming 产业革命
'chan'ye'jie'gou 产业结构
'cheng'shu 乘数
'chou'xiang'lao'dong 抽象劳动
'chu'xu'shou'ru'bi'lv 储蓄收入比率
'cun'liang 存量
'da'jing'ji 大经济
'deng'jia'jiao'huan 等价交换
'deng'jia'xing'tai 等价形态
'di'er'chan'ye 第二产业
'di'san'chan'ye 第三产业
'di'si'chan'ye 第四产业
'di'xia'jing'ji 地下经济
'di'yi'chan'ye 第一产业
'duan'qi'jia'ge'xie'ding 短期价格协定
'duan'que 短缺
'fei'jia'ge'jing'zheng 非价格竞争
'fei'sheng'chan'lao'dong 非生产劳动
'fei'shu'lian'lao'dong 非熟练劳动
'fen'gong 分工
'fu'za'lao'dong 复杂劳动
'fu'zhai'jing'ji 负债经济
'gang'xing 刚性
'ge'bie'jia'zhi 个别价值
'ge'bie'lao'dong'shi'jian 个别劳动时间
'gong'you'jing'ji'gui'lv 共有经济规律
'gu'yong'lao'dong 雇佣劳动
'gua'tou'long'duan 寡头垄断
'guo'li 国力
'guo'min'jing'ji 国民经济
'guo'min'jing'ji'liang'xing'xun'huan 国民经济良性循环
'guo'min'jing'ji'you'ji'hua'an'bi'li'fa'zhan'gui'lv 国民经济有计划按比例发展规律
'hong'guan'jing'ji 宏观经济
'huo'bi 货币
'ji'ben'jing'ji'gui'lv 基本经济规律
'ji'shu'shang'pin 技术商品
'ji'shu'xiao'yong 基数效用
'jia'zhi 价值
'jia'zhi'chan'pin 价值产品
'jia'zhi'gui'lv 价值规律
'jia'zhi'liang 价值量
'jia'zhi'xing'tai 价值形态
'jian'dan'lao'dong 简单劳动
'jiao'huan'jia'zhi 交换价值
'jing'ji 经济
'jing'ji'bi'li 经济比例
'jing'ji'fa'zhan 经济发展
'jing'ji'fan'chou 经济范畴
'jing'ji'gong'zhen 经济共振
'jing'ji'gui'lv 经济规律
'jing'ji'ji'chu 经济基础
'jing'ji'ji'zhi 经济机制
'jing'ji'jie'gou 经济结构
'jing'ji'li'lun'yi'ban 经济理论一般
'jing'ji'li'yi 经济利益
'jing'ji'ren 经济人
'jing'ji'shi'ti 经济实体
'jing'ji'xiao'guo 经济效果
'jing'ji'xiao'yi 经济效益
'jing'ji'xin'xi 经济信息
'jing'ji'zeng'zhang 经济增长
'jing'ji'zhi'du 经济制度
'jing'ji'zhou'qi 经济周期
'jing'ying'ji'zhi 经营机制
'jing'zheng 竞争
'jing'zheng'ce'lue 竞争策略
'jing'zheng'ji'zhi 竞争机制
'jiu'jia'zhi 旧价值
'ju'ji'jing'ji 聚集经济
'ju'ti'lao'dong 具体劳动
'ka'te'er 卡特尔
'kan'bu'jian'de'shou 看不见的手
'kan'de'jian'de'shou 看得见的手
'kang'cai'en 康采恩
'ke'xue'ji'shu'cheng'guo'shang'pin'hua 科学技术成果商品化
'lao'dong 劳动
'lao'dong'li'jia'ge 劳动力价格
'lao'dong'li'jia'zhi 劳动力价值
'lao'dong'li'jie'gou 劳动力结构
'lao'dong'li'shi'yong'jia'zhi 劳动力使用价值
'lao'wu 劳务
'liang'zhong'sheng'chan 两种生产
'liu'liang 流量
'long'duan 垄断
'long'duan'jing'zheng 垄断竞争
'long'duan'zi'ben'zhu'yi 垄断资本主义
'long'duan'zu'zhi 垄断组织
'nei'sheng'bian'liang 内生变量
'qi'ye 企业
'ren'kou'gui'lv 人口规律
'ren'kou'zeng'zhang 人口增长
'san'ci'chan'ye 三次产业
'san'ci'she'hui'da'fen'gong 三次社会大分工
