'bei'quan'bi'de'yuan'you 被圈闭的原油
'bei'xuan'de'da'yin'cang'wei'zhi 备选的打印舱位置
'bing'dong'he'xin 冰冻核心
'bing'dong'zhi'you 冰冻之友
'bu'gui'ze'yuan'you'qu 不规则原油区
'da'xing'bing'chuan 大型冰川
'da'xing'shi'kuai 大型石块
'di'xia'hai'yang 地下海洋
'fan'mao'he'xin 繁茂核心
'fang'she'xing'di'qiao 放射性地壳
'hun'he'xing'shi'kuai 混合型石块
'huo'shan'huo'yue 火山活跃
'huo'yue'xing'di'zhi 活跃性地质
'jin'shu'dong'xue 金属洞穴
'jin'shu'fu'zu 金属富足
'jin'shu'pin'ji 金属贫瘠
'jing'dong 晶洞
'nian'ye'jun'tuan 粘液菌团
'xiao'xing'shi'kuai 小型石块
'xiu'mian'xing'di'zhi 休眠性地质
'yan'jiang'tong'dao 岩浆通道
'zhong'xing'shi'kuai 中型石块
'zhuang'hui'de'wei'xing'qun 撞毁的卫星群
