'bai'shi 白石
'bai'shi'cang'zhi'jie 白石藏之介
'bi'lv'shi 比吕士
'bing'di 冰帝
'bu'dong'feng 不动峰
'bu'er 不二
'bu'er'yu'tai 不二裕太
'bu'er'zhou'zhu 不二周助
'cai'qian'guang 财前光
'cai'you 彩友
'cai'you'zhi'chun 彩友枝纯
'chang'tai'lang 长太郎
'chi'ye 赤也
'chi'ze 赤泽
'chi'ze'ji'lang 赤泽吉朗
'chun'feng 春风
'ci'lang 慈郎
'da'shi 大石
'da'shi'xiu'yi'lang 大石秀一郎
'dao'ji 稻吉
'di'zhi'jie 荻之介
'dong'fang 东方
'dong'fang'ya'mei 东方雅美
'feng'chang'tai'lang 凤长太郎
'guan'yue 观月
'guan'yue'chu 观月初
'guo'guang 国光
'hai'tang 海堂
'hai'tang'xun 海堂薰
'he'cai 和菜
'he'cun 河村
'he'cun'jia 和村嘉
'he'cun'jia'you'hui 和村嘉友惠
'he'cun'long 河村隆
'hei'yu 黑羽
'hei'yu'chun'feng 黑羽春风
'hu'ci'lang 虎次郎
'hu'lang'sang'yuan 胡狼桑原
'hua'di 桦地
'hua'di'chong'hong 桦地崇弘
'ji'bu 迹部
'ji'bu'jing'wu 迹部景吾
'ji'lang 吉朗
'jia'fei'yu'ci'lang 甲斐裕次郎
'jian'tai'lang 健太郎
'jian'tai'lang 剑太郎
'jie'chuan 芥川
'jie'chuan'ci'lang 芥川慈郎
'jin'cai 堇菜
'jin'se'xiao'chun 金色小春
'jin'tian 金田
'jin'tian'yi'lang 金田一郎
'jing'jie 京介
'jing'shi 精市
'jing'wu 景吾
'ju'ju'ping 橘桔平
'ju'ping 桔平
'ju'wan 菊丸
'ju'wan'ying'er 菊丸英二
'ka'lu'bin 卡鲁宾
'kui'jian'tai'lang 葵剑太郎
'li'hai'da 立海大
'li'xu 莉绪
'lian'er 莲二
'liu'jiao 六角
'liu'lian'er 柳莲二
'liu'sheng 柳生
'liu'sheng'bi'lv'shi 柳生比吕士
'liu'xi 柳惜
'long'di'zhi'jie 泷荻之介
'long'ma 龙马
'long'qi 龙崎
'long'qi'ying'nai 龙崎樱乃
'mu'geng'jin 木更津
'mu'geng'jin'chun 木更津淳
'mu'geng'jin'liang 木更津亮
'mu'nai'zi 木奈子
'mu'shan 牧杉
'mu'shan'li'xu 牧杉莉绪
'mu'shou'yong'si'lang 木手永四郎
'nan'jian'tai'lang 南健太郎
'nei'cun 内村
'nei'cun'jing'jie 内村京介
'peng'xiang 朋香
'ping'gu'chang'lin 平古场凛
'qian'shi 千石
'qian'shi'qing'chun 千石清纯
'qian'sui'qian'li 千岁千里
'qian'zhen'zhi 乾贞治
'qie'yuan 切原
'qie'yuan'chi'ye 切原赤也
'qing'chun 清纯
'qing'xue 青学
'qiu'ben 秋本
'qiu'ben'liu'xi 秋本柳惜
'ren'wang 仁王
'ren'wang'ya'zhi 仁王雅治
'ren'zu 忍足
'ren'zu'qian'ye 忍足谦也
'ren'zu'you'shi 忍足侑士
'ri'ji 日吉
'ri'ji'ruo 日吉若
'sang'yuan 桑原
'sen'chen'de 森辰德
'shan'chui 山吹
'shen'si 深司
'shen'wei 神尾
'shen'wei'ming 神尾明
'sheng'lu'dao'fu 圣鲁道夫
'shi'chun 市椿
'shi'chun'qiu'zhi 市椿秋芝
'shi'ci 十次
'shi'ding 室町
'shi'ding'shi'ci 室町十次
'shi'tian 石田
'shi'tian'tie 石田铁
'shi'tian'yin 石田银
'shou'teng 首藤
'shou'teng'cong 首藤聪
'shou'zhong 手冢
'shou'zhong'guo'guang 手冢国光
'shu'xi 树希
'shu'xi'yan 树希彦
'tai'yi 太一
'tan'tai'yi 檀太一
'tao'cheng 桃城
'tao'cheng'wu 桃城武
'tian'gen 天根
'tian'gen'guang 天根光
'tian'ren'zhi'hui 田仁志慧
'tuo'ye 拓也
'wan'jing 丸井
