'ai'guo'zhe'hei'ke 爱国者黑客
'ai'li'ke 埃里克
'an'ge 安哥
'an'jiao 安焦
'an'quan'jiao'dian 安全焦点
'an'quan'wei'shi 安全卫士
'an'quan'zi'xun 安全资讯
'an'zu 暗组
'bing'du'ci'hui 病毒词汇
'bing'dun 冰盾
'bing'he 冰河
'bing'hu'lang'zi 冰狐浪子
'bing'ren 冰刃
'bing'xue'feng'qing 冰雪封情
'bing'ye 冰叶
'cai'fei'yang 采飞扬
'cha'sha'mu'ma'gong'ju 查杀木马工具
'chao'ji'xun'jing 超级巡警
'chen'san'shao 陈三少
'cheng'se'ba'yue 橙色八月
'chong'ji'bo 冲击波
'da'da 大大
'da'mi 大米
'da'niu 大牛
'da'zhi'zhu 大蜘蛛
'dai'li 代理
'di'ba'jun'tuan 第八军团
'diao'pai 雕牌
'e'yi'ruan'jian 恶意软件
'e'yi'ruan'jian'qing'li'zhu'shou 恶意软件清理助手
'e'ying 恶鹰
'er'jin'zhi'lun'tan 二进制论坛
'fan'bing'du 反病毒
'fang'hu'ti'xi 防护体系
'fang'huo'qiang 防火墙
'fei'er 费尔
'fei'er'ge'ren'fang'huo'qiang 费尔个人防火墙
'fei'er'tuo'si'te 费尔托斯特
'fei'fan'ruan'jian 霏凡软件
'feng'yun 风云
'ge'jun 葛军
'gu'du'jian'ke 孤独剑客
'guai'gou 怪狗
'gui'zi 鬼仔
'hai'yang 海阳
'hai'yang'ding'duan 海阳顶端
'hei'ke'dong'hua'ba 黑客动画吧
'hei'ke'fang'xian 黑客防线
'hei'ke'gong'ju 黑客工具
'hei'ke'ji'di 黑客基地
'hei'ke'ren'wu 黑客人物
'hei'ke'shou'ce 黑客手册
'hei'ke'wang'zhan 黑客网站
'hei'ruan'ji'di 黑软基地
'hei'se'xuan'feng 黑色旋风
'hei'ying'hong'ke'ji'di 黑鹰红客基地
'hong'lang 红狼
'hong'se'dai'ma 红色代码
'hua'xia'hei'ke'tong'meng 华夏黑客同盟
'hua'zhi'ling 花指令
'huan'le'shi'guang 欢乐时光
'hui'ge'zi 灰鸽子
'huo'hu 火狐
'ji'huo'ma 激活码
'ji'qi'gou 机器狗
'jia'li'mai'jin'nong 加里麦金农
'jian'ce'wang'luo 监测网络
'jiang'min 江民
'jiao'zhu 教主
'jie'ma'qi 解码器
'jin'shan 金山
'jin'shan'du'ba 金山毒霸
'ka'ba 卡巴
'ka'ba'si'ji 卡巴斯基
'ka'fan'lun'tan 卡饭论坛
'kai'wen'mi'te'ni'ke 凯文米特尼克
'kan'xue'xue'yuan 看雪学院
'ke'duo'shou 科多兽
'lan'ping 蓝屏
'li'jun 李俊
'li'qi 里奇
'lian'xiang'hui'dun 联想慧盾
'liu'mang'ruan'jian 流氓软件
'liu'xing'ci'hui 流行词汇
'long'ge 龙哥
'lv'meng 绿盟
'ma'ji'si 马吉斯
'mai'ka'fei 麦咖啡
'ming'xiao'zi 明小子
'mu'ma'cai'yi 木马彩衣
'mu'ma'di'guo 木马帝国
'mu'ma'fang'xian 木马防线
'mu'ma'ke'xing 木马克星
'mu'ma'qing'dao'fu 木马清道夫
'nei'cun'zheng'li 内存整理
'ni'mu'da 尼姆达
'niu'bi 牛逼
'niu'ren 牛人
'nuo'dun 诺顿
'po'jie'ban 破解版
'qi'fa'sha'du 启发杀毒
'qiu'zhi'xin 求职信
'qu'shi'ke'ji 趋势科技
'qu'zhu'jian 驱逐舰
'ren'wu'guan'li'qi 任务管理器
'ru'chong 蠕虫
'rui'shi'jun'dao 瑞士军刀
'rui'xing 瑞星
'rui'xing'sha'du'ruan'jian 瑞星杀毒软件
'sao'miao'qi 扫描器
'sha'du'ruan'jian 杀毒软件
'sha'du'yin'qing 杀毒引擎
'shang'xing 上兴
'shen'tou 渗透
'sheng'dan'jie 圣诞节
'shi'liu'jin'zhi'lun'tan 十六进制论坛
'shou'wang'zhe 守望者
'shu'ju'ku 数据库
'si'tuo'man 斯托曼
'sui'yue'lian'meng 岁月联盟
'tang'mu 汤姆
'tang'pu'sen 汤普森
'te'luo'yi'mu'ma 特洛伊木马
'tian'wang 天网
'tuo'wa'zi 托瓦兹
'wan'tao 万涛
'wang'luo'an'quan 网络安全
'wang'luo'tian'kong 网络天空
'wang'ye'mu'ma 网页木马
'wang'yin'da'dao 网银大盗
'wei'dian 微点
'wei'dian'zhu'dong'fang'yu 微点主动防御
'wei'jin 威金
'wei'jin 维金
'wei'xie'xing 威胁性
'wu'du'chong 五毒虫
'xi'bu'wang'an 西部网安
'xi'tong'bao'hu 系统保护
'xi'tong'bu'ding 系统补丁
'xi'tong'fang'yu 系统防御
'xia'zai'zhe 下载者
'xiang'zi 箱子
'xiao'hong'san 小红伞
'xiao'rong 小榕
'xiao'tian 小天
'xie'ba 邪八
'xie'e'ba'jin'zhi 邪恶八进制
'xin'feng 信封
'xin'shi'ji'wang'an 新世纪网安
'xiong'mao'shao'xiang 熊猫烧香
'xiu'mu 朽木
'xu'lie'hao 序列号
'ya'hu'tian'dun 雅虎天盾
'yi'ju'hua 一句话
'ying'zheng'tian'xia 赢政天下
'ying'zi'ying 影子鹰
'yuan'ge 袁哥
'zai'xian'sha'du 在线杀毒
'zhan'yong'liang 占用量
'zhan'zhang'zhu'shou 站长助手
'zhen'dang'bo 震荡波
'zhong'guo'wang'luo'xin'si'jun 中国网络新四军
'zhong'guo'ying'pai 中国鹰派
'zhong'hua'te'gong 中华特攻
'zhu'dong'fang'yu 主动防御
'zhu'zhu 猪猪
'zhuang'bi 装逼
