'a'ba'la'qi'ya'zhou'li'shan'min 阿巴拉契亚州立山民
'a'ken'se'hong'bei'ye'zhu 阿肯色红背野猪
'ai'ao'wa'ying'yan 艾奥瓦鹰眼
'ai'ao'wa'zhou'li'xuan'feng 艾奥瓦州立旋风
'ai'da'he'wang'da'er'ren 爱达荷汪达尔人
'ai'guo'zhe'lian'meng 爱国者联盟
'ai'mo'li'heng'li'zhen'xing 埃默里亨利阵型
'ai'xing'zhen'xing 艾型阵型
'an'quan'de'fen 安全得分
'an'quan'qiu 安全球
'an'quan'wei 安全卫
'an'shi'lan'jie 鞍式拦截
'ao'ben'lao'hu 奥本老虎
'ao'ke'lan'tu'xi'zhe 奥克兰突袭者
'ba'er'de'mo'wu'ya 巴尔的摩乌鸦
'ba'ke'nai'er'shui'niu 巴克奈尔水牛
'ban'wei 半卫
'bao'ling'ge'lin'zhou'li'zhan'ying 鲍灵格林州立战鹰
'bei'ka'luo'lai'na'jiao'you'zhong 北卡罗莱纳焦油蹱
'bei'le'xiong'dui 贝勒熊队
'bi'feng 鼻锋
'bian'cai 边裁
'bian'wei'chuan'qiu 变位传球
'bin'xi'fa'ni'ya'gui'ge'hui 宾夕法尼亚贵格会
'bin'zhou'zhou'li'ni'ta'ni'xiong'shi 宾州州立尼塔尼雄狮
'bo'shi'dun'xue'yuan'lao'ying 波士顿学院老鹰
'bo'yi'xi'zhou'li'ye'ma 博伊西州立野马
'bu'fa'luo'bi'er 布法罗比尔
'bu'lang'xiong'dui 布朗熊队
'cha'gu'zhen'zhen'xing 叉骨阵阵型
'chang'cai 场裁
'chang'ju'li'tou'jin 长距离投进
'chang'kai'qiu'yuan 长开球员
'chang'nei'cai'pan 场内裁判
'chang'nei'qiu 场内球
'chang'qing'teng'lian'meng 常青藤联盟
'chao'ji'shi'si'jin'biao'sai 超级十四锦标赛
'chao'ji'wan 超级碗
'chao'jie 抄截
'chen'ku 衬裤
'chi'qiu'chong'xian 持球冲线
'chi'qiu'chu'di 持球触地
'chong'qiu 冲球
'chong'zhuang'si'fen'wei 冲撞四分卫
'chu'di 触地
'chu'jie 出界
'chuan'gong 传攻
'cu'bao'dong'zuo 粗暴动作
'cu'bao'gan'rao'ti'qiu 粗暴干扰踢球
'cuo'wu'qi'dong 错误启动
'da'la'si'niu'zai 达拉斯牛仔
'da'nan'fang'lian'meng 大南方联盟
'da'shi'er'lian'meng 大十二联盟
'da'shi'lian'meng 大十联盟
'da'te'mao'si'da'lv 达特茅斯大绿
'da'tian'kong'lian'meng 大天空联盟
'da'tui'hu'dian 大腿护垫
'da'xi'yang'hai'an'lian'meng 大西洋海岸联盟
'da'zhen 达阵
'da'zhen'de'fen 达阵得分
'da'zhen'qu 达阵区
'dai'dun'fei'ren 代顿飞人
'dan'fo'ye'ma 丹佛野马
'dan'pao'wei'zhen'xing 单跑卫阵型
'de'ao'si'zhen'xing 德奥斯阵型
'de'fen'qu 得分区
'de'zhou'chang'jiao'niu 德州长角牛
'de'zhou'e'er'pa'suo'kuang'gong 德州厄尔帕索矿工
'de'zhou'jiao'hui'jiao'wa 德州教会角蛙
'de'zhou'ke'ji'hong'qi'bing 德州科技红骑兵
'de'zhou'nong'ji'ai'ji 德州农机爱姬
'di'te'lv'xiong'shi 底特律雄狮
'di'wei'chong'zhuang 低位冲撞
'diao'qiu 掉球
'ding'wei'qiu 定位球
'ding'zi'zhen'xing 丁字阵型
'dong'bei'lian'meng 东北联盟
'dong'ka'luo'lai'na'hai'dao 东卡罗莱纳海盗
'dong'mi'xie'gen'lao'ying 东密歇根老鹰
'dong'nan'lian'meng 东南联盟
'du'jie 堵截
'du'ke'lan'mo 杜克蓝魔
'du'lan'lv'lang 杜兰绿浪
'duan'feng 端锋
'duan'qiu 断球
'duan'qu 端区
'duan'xian 端线
'e'hai'e'he'gu'lian'meng 俄亥俄河谷联盟
'e'hai'e'mei'zhou'bao 俄亥俄美洲豹
'e'hai'e'zhou'li'qi'ye'shu 俄亥俄州立七叶树
'e'ke'la'he'ma'jie'zu'zhe 俄克拉荷马捷足者
'e'ke'la'he'ma'zhou'li'niu'zai 俄克拉荷马州立牛仔
'e'le'gang'ya'zi 俄勒冈鸭子
'e'le'gang'zhou'li'hai'li 俄勒冈州立海狸
'e'tao 鄂套
'er'ci'chong'xian 二次冲线
'er'dang 二挡
'er'fen'zhuan'huan 二分转换
'er'xian 二线
'fa'ma 罚码
'fan'de'bi'er'te'hai'jun'jiang'ling 范德比尔特海军将领
'fang'shou'duan'feng 防守端锋
'fang'shou'jie'feng 防守截锋
'fang'shou'qian'feng 防守前锋
'fang'shou'zu 防守组
'fei'cheng'lao'ying 费城老鹰
'fei'fa'chong'zhuang 非法冲撞
'fei'fa'chu'di 非法触地
'fei'fa'jie'qiu 非法接球
'fei'fa'tou'kui'huo'li 非法头盔获利
'fei'fa'zhen'xing 非法阵型
'fen'li'shuang'pao'wei'zhen'xing 分立双跑卫阵型
'feng'du 封堵
'feng'xian 锋线
'fo'luo'li'da'duan'wen'e 佛罗里达短吻鳄
'fo'luo'li'da'zhou'li'sai'mi'nuo'ren 佛罗里达州立赛米诺人
'fu'cai'pan 副裁判
'fu'de'han'mu'gong'yang 福德汉姆公羊
'fu'ji'ni'ya'qi'bing 弗吉尼亚骑兵
'fu'jia'fen 附加分
'fu'lei'si'nuo'zhou'li'dou'niu'quan 弗雷斯诺州立斗牛犬
'fu'qiu'shou 扶球手
'fu'xian'cai 副线裁
'gan'lan'qiu 橄榄球
'gan'lan'qiu'mian'zhao 橄榄球面罩
'gan'lan'qiu'shi'jie'bei'sai 橄榄球世界杯赛
'gan'lan'qiu'tou'kui 橄榄球头盔
'gan'rao'chuan'qiu 干扰传球
'ge'lun'bi'ya'shi'zi 哥伦比亚狮子
'ge'ren'fan'gui 个人犯规
'gong'ji'nei'feng 攻击内锋
'gong'ji'zu 攻击组
'gong'shou'zhuan'huan 攻守转换
'gu'yi'chu'di 故意触地
'guo'ji'gan'lan'qiu'li'shi'hui 国际橄榄球理事会
'guo'ji'mei'shi'gan'lan'lian'he'hui 国际美式橄榄联合会
'guo'ji'ying'shi'gan'lan'qiu'lian'he'hui 国际英式橄榄球联合会
'ha'fo'chi'hong 哈佛赤红
'hai'jun'hou'bu'shao'wei 海军后补少尉
'he'fa'chong'zhuang 合法冲撞
'heng'chuan 横传
'hou'chang'cai'pan 后场裁判
'hu'chi 护齿
'hu'feng 护锋
'hu'jing 护胫
'hu'ju 护具
'hu'shou 护手
'hua'sheng'dun'ha'shi'qi 华盛顿哈士奇
'hua'sheng'dun'hong'pi 华盛顿红皮
'hua'sheng'dun'zhou'li'mei'zhou'bao 华盛顿州立美洲豹
'huai'e'ming'niu'zai 怀俄明牛仔
'hui'chuan 回传
'hui'gong 回攻
'hui'gong'shou 回攻手
'huo'li'gui'ze 获利规则
'huo'sheng'zhen'xing 获胜阵型
'jia'pao'zhen'chuan 假跑真传
'jia'zhou'bo'ke'li'jin'xiong 加州伯克利金熊
'jia'zhou'luo'shan'ji'bu'lu'yin'xiong 加州洛杉矶布鲁因熊
'jian'dian 肩垫
'jian'feng 尖锋
'jiao'wei 角卫
'jie'feng 截锋
'jie'ke'xun'wei'er'mei'zhou'hu 杰克逊维尔美洲虎
'jie'qiu 接球
'jin'duan'feng 近端锋
'jin'gong'zu 进攻组
'jiu'jin'shan'si'jiu'ren 旧金山四九人
'ka'luo'lai'na'hei'bao 卡罗莱纳黑豹
'kai'qiu 开球
'kan'sa'si'cheng'qiu'zhang 堪萨斯城酋长
'kang'nie'di'ge'ha'shi'qi 康涅狄格哈士奇
'ke'lai'mu'sen'lao'hu 克莱姆森老虎
'ke'li'fu'lan'bu'lang 克利夫兰布朗
'ke'luo'la'duo'ye'niu 科罗拉多野牛
'ke'luo'la'duo'zhou'li'gong'yang 科罗拉多州立公羊
'ken'ta'ji'ye'mao 肯塔基野猫
'ken'te'zhou'li'jin'se'shan'dian 肯特州立金色闪电
'kong'jun'zhan'ying 空军战鹰
'la'ge'bi 拉各比
'la'ren 拉人
'lai'si'mao'tou'ying 莱斯猫头鹰
'lan'jie 拦截
'li'ha'yi'shan'ying 利哈伊山鹰
'li'yi'gui'ze 利益规则
'lian'jia'xia'bu'hu'ju 脸颊下部护具
'liang'fen'zhuan'huan 两分转换
'liang'ma'chong'xian 两码冲线
'liu'guo'jin'biao'sai 六国锦标赛
'lu'yi'wei'er'hong'que 路易维尔红雀
'luo'ge'si'xing'hong'qi'shi 罗格斯猩红骑士
'luo'shan'ji'gong'yang 洛杉矶公羊
'lv'wan'bao'zhuang'gong 绿湾包装工
'ma'an'shi'lan'jie 马鞍式拦截
'ma'an'shi'qin'bao 马鞍式擒抱
'ma'li'lan'dan'shui'gui 马里兰淡水龟
'ma'sa'zhu'sai'yi'fen'zhong'min'bing 马萨诸塞一分钟民兵
'ma'shao'er'lei'ming'shou'qun 马绍尔雷鸣兽群
'ma'shu 码数
'mai'a'mi'hai'tun 迈阿密海豚
'mai'a'mi'ju'feng 迈阿密飓风
'mai'a'mi'niu'jin'hong'ying 迈阿密牛津红鹰
'mang'ce 盲侧
'mang'qu 盲区
'mei'guo'da'xue'ti'yu'xie'hui 美国大学体育协会
'mei'guo'gan'lan'qiu'lian'meng 美国橄榄球联盟
'mei'guo'guo'jia'gan'lan'qiu'da'lian'meng 美国国家橄榄球大联盟
'mei'guo'jing'ji'lian'meng 美国竞技联盟
'mei'guo'lian'meng 美国联盟
'mei'guo'zhi'ye'gan'lan'qiu'da'lian'meng 美国职业橄榄球大联盟
'mei'guo'zhi'ye'gan'lan'qiu'xie'hui 美国职业橄榄球协会
'mei'guo'zhong'bu'lian'meng 美国中部联盟
'mei'shi'gan'lan'qiu 美式橄榄球
'mei'shi'zu'qiu 美式足球
'meng'da'na'hui'xiong 蒙大拿灰熊
'meng'da'na'zhou'li'duan'wei'mao 蒙大拿州立短尾猫
'meng'fei'si'lao'hu 孟菲斯老虎
'mi'su'li'he'gu'lian'meng 密苏里河谷联盟
'mi'su'li'lao'hu 密苏里老虎
'mi'xi'xi'bi'pan'jun 密西西比叛军
'mi'xi'xi'bi'zhou'li'dou'niu'quan 密西西比州立斗牛犬
'mi'xie'gen'lang'huan 密歇根狼獾
'mi'xie'gen'zhou'li'si'ba'da 密歇根州立斯巴达
'ming'ni'su'da'jin'se'di'shu 明尼苏达金色地鼠
'ming'ni'su'da'wei'jing'ren 明尼苏达维京人
'nan'bu'lian'meng 南部联盟
'nan'da'ke'ta'ye'lang 南达科他野狼
'nan'fo'luo'li'da'gong'niu 南佛罗里达公牛
'nan'jia'zhou'te'luo'yi'ren 南加州特洛伊人
'nan'ka'luo'lai'na'dou'ji 南卡罗莱纳斗鸡
'nan'wei'li'gong'hui'ye'ma 南卫理公会野马
'nei'bu'la'si'jia'yu'mi'bao'pi'ji 内布拉斯加玉米剥皮机
'nei'hua'da'la'cheng'fan'pan'zhe 内华达拉城反叛者
'nei'hua'da'lang'qun 内华达狼群
'nei'jian'dian'lan'jie 内肩垫拦截
'niao'qiang'zhen'xing 鸟枪阵型
'niu'yue'ju'ren 纽约巨人
'niu'yue'pen'qi'ji 纽约喷气机
'ou'dao'ming'jun'zhu 欧道明君主
'pai'qian 拍前
'pai'zu 拍阻
'pao'gong 跑攻
'pao'qian 抛前
'pao'qiu 抛球
'pao'wei 跑卫
'pi'zi'bao'gang'ren 匹兹堡钢人
'ping'feng'chuan'qiu 屏风传球
'pu'du'guo'lu'gong 普渡锅炉工
'pu'lin'si'dun'lao'hu 普林斯顿老虎
'qi'dian 气垫
'qi'ren'zhi'gan'lan'qiu 七人制橄榄球
'qi'ti 弃踢
'qi'ti'shou 弃踢手
'qian'chuan 前传
'qiang'pao 抢跑
'qiang'wei 强卫
'qiao'zhi'cheng'huo'ya'quan 乔治城霍亚犬
'qin'bao 擒抱
'qin'ru'zhong'li'qu 侵入中立区
'qiu'men 球门
'qiu'men'heng'mu 球门横木
'qiu'men'xian 球门线
'quan'chang'cai'pan 全场裁判
'quan'guo'da'xue'ti'yu'xie'hui 全国大学体育协会
'quan'wei 全卫
'quan'wei'zhong'lu'ying'tu 全卫中路硬突
'ren'yi'qiu 任意球
'ruo'ce 弱侧
'san'dang 三挡
'san'dang'chang'ma 三挡长码
'san'dang'duan'ma 三挡短码
'shan'xi'lian'meng 山西联盟
'she'men'de'fen 射门得分
'sheng'die'ge'shan'dian 圣迭戈闪电
'sheng'die'ge'zhou'li'a'zi'te'ke'ren 圣迭戈州立阿兹特克人
'sheng'he'sai'zhou'li'si'ba'da 圣何塞州立斯巴达
'sheng'lu'yi'si'gong'yang 圣路易斯公羊
'sheng'mu'ai'er'lan'zhan'shi 圣母爱尔兰战士
'shi'da'lian'meng 十大联盟
'shi'jian'guan'li 时间管理
'shou'qiang'zhen'xing 手枪阵型
'shuang'quan'wei'zhen'xing 双全卫阵型
'si'dang 四挡
'si'fen'wei 四分卫
'si'ke'lin'mei'qi'xian 斯克林美奇线
'si'qiu'xian 死球线
'si'tan'fu'da'hong 斯坦福大红
'ta'er'sa'jin'se'ju'feng 塔尔萨金色飓风
'tai'ping'yang'shi'er'xiao'lian'meng 太平洋十二校联盟
'tan'pa'wan'hai'dao 坦帕湾海盗
'te'qin'zu 特勤组
'ti'qiu'yuan 踢球员
'tian'na'xi'tai'tan 田纳西泰坦
'tian'na'xi'zhi'yuan'zhe 田纳西志愿者
'tian'pu'mao'tou'ying 天普猫头鹰
'tou'kui'peng'zhuang 头盔碰撞
'tou'kui'wai'ke 头盔外壳
'tun'bu'hu'dian 臀部护垫
'wai'jie'shou 外接手
'wan'fu'ma'li'qiu 万福玛丽球
'wei'du'qiu 围堵球
'wei'ke'sen'lin'mo'gui'zhi'shi 维克森林魔鬼执事
'wei'la'nuo'wa'ye'mao 维拉诺瓦野猫
'wei'lian'ma'li'bu'luo 威廉玛丽部落
'wei'si'kang'xin'huan'dui 威斯康辛獾队
'xi'bei'ye'mao 西北野猫
'xi'dian'jun'xiao'hei'qi'shi 西点军校黑骑士
'xi'fu'ji'ni'ya'shan'min 西弗吉尼亚山民
'xi'gai'hu'dian 膝盖护垫
'xi'hai'an'lian'meng 西海岸联盟
'xi'ka'luo'lai'na'da'ye'mao 西卡罗莱纳大野猫
'xi'ken'ta'ji'deng'ding'zhe 西肯塔基登顶者
'xi'mi'xie'gen'ye'ma 西密歇根野马
'xi'ya'tu'hai'ying 西雅图海鹰
'xia'wei'yi'cai'hong'wu'shi 夏威夷彩虹武士
'xian'dan'qiang'zhen'xing 霰弹枪阵型
'xian'qu'zhe'lian'meng 先驱者联盟
'xian'wei 线卫
'xin'ao'er'liang'sheng'tu 新奥尔良圣徒
'xin'xin'na'ti'meng'jia'la'hu 辛辛纳提孟加拉虎
'xin'xin'na'ti'xiong'mao 辛辛那提熊猫
'xin'ying'ge'lan'ai'guo'zhe 新英格兰爱国者
'xiu'si'dun'de'zhou'ren 休斯敦德州人
'xiu'si'dun'mei'zhou'bao 休斯敦美洲豹
'xue'cheng'cheng'se 雪城橙色
'ya'la'ba'ma'bo'ming'han'pen'huo'long 亚拉巴马伯明翰喷火龙
'ya'la'ba'ma'chi'se'chao'shui 亚拉巴马赤色潮水
'ya'li'sang'na'hong'que 亚利桑那红雀
'ya'li'sang'na'ye'mao 亚利桑那野猫
'ya'qiu'chu'di 压球触地
'ya'te'lan'da'lie'ying 亚特兰大猎鹰
'ya'zhou'gan'lan'qiu'lian'he'hui 亚洲橄榄球联合会
'yan'chi'bi'sai 延迟比赛
'yang'bai'han'mei'zhou'bao 杨百瀚美洲豹
'yang'guang'di'dai'lian'meng 阳光地带联盟
'yang'si'dun'zhou'li'qi'e 杨斯敦州立企鹅
'yao'bu'hu'dian 腰部护垫
'yao'qi'gan'lan'qiu 腰旗橄榄球
'ye'lu'dou'niu'quan 耶鲁斗牛犬
'ye'mao'zhen'xing 野猫阵型
'yi'dang 一挡
'yi'li'nuo'yi'yi'lai'nai'zhan'shi 伊利诺伊伊莱奈战士
'yin'di'an'na'bo'li'si'xiao'ma 印第安纳波利斯小马
'yin'di'an'na'hu'xi'er'ren 印第安纳胡希尔人
'ying'ge'lan'gan'lan'qiu'chao'ji'lian'sai 英格兰橄榄球超级联赛
'ying'shi'gan'lan'qiu 英式橄榄球
