'a'da'xi'nuo 阿达西诺
'a'ka'xi'ya 阿卡西亚
'a'lu 阿虏
'a'lu'fa'luo 阿鲁法罗
'ai'er'ge 艾尔格
'ai'wan 爱丸
'an'ji 暗技
'ba'li'ka'meng 巴利卡蒙
'ba'long'qun'dao 巴隆群岛
'bai'jin'ping'guo 白金苹果
'ban'bi'na 班比纳
'ban'bi'nuo 班比诺
'bao'mi'hua 爆米花
'bei'yi 贝伊
'bi'qi'e 壁企鹅
'bu'huo'deng'ji 捕获等级
'bu'huo'ji'shu 捕获技术
'bu'ji'wu'zi 布基巫兹
'cai'hong'guo'shi 彩虹果实
'chou'yang'cao 臭氧草
'ci'lang 次郎
'dao'dai'guang'nian 岛袋光年
'di'luo'wu'si 迪罗乌斯
'di'wang'wu'ya 帝王乌鸦
'di'yu'bo'luo'si 地狱波罗斯
'dong'ku'sha'tan 洞窟沙滩
'dou'lang 斗狼
'duo'le'si 多勒斯
'duo'luo'jin'gang 多罗金刚
'duo'mi'luo'te 多米洛特
'duo'mi'ni'te 多米尼特
'e'mo'da'she 恶魔大蛇
'er'lang 二狼
'fei'wo'zhi'zhong 肥沃之种
'fu'luo'ze 弗洛泽
'gu'lin'ba'qi 古林巴奇
'gu'lin'ba'qi 蛊林巴奇
'gu'lu 古鲁
'guang'cai'lao 光才老
'hai'xian'guo'shi 海鲜果实
'he'la'ke'le'si 赫拉克勒斯
'he'ping'hua 和平花
'he'tun'jing 河豚鲸
'hong'se'ni'te'luo 红色尼特罗
'huo'shan'gui 火山龟
'ji'le'mi 极乐米
'ji'nei'si 吉内斯
'ji'qi'ren 机器人
'ji'sheng'di'wang 寄生帝王
'ji'si 基斯
'jia'la'e 加拉鳄
'jiang'shi'shu 僵尸树
'jiao'zhi'ceng'cao'mei 角质层草莓
'jie'li'nan'hai 杰利男孩
'jie'nai 节乃
'jin'zhi'zhu'chu 金之主厨
'jiu'ye'guo 酒椰果
'kai'de'la 凯德拉
'ke'ke 可可
'kong'qi'shui 空气水
'ku'ke 库克
'ku'luo'ma'de 库洛玛德
'lai'bu'bei'ya'la 莱布贝亚拉
'lan'se'ni'te'luo 蓝色尼特罗
'li'jia'lu'meng'ma 利加鲁猛犸
'long'wan 泷丸
'man'ju'long'wu 馒具龙舞
'man'sa'mu 曼萨姆
'mao'song 茂松
'mei'er'ke 梅尔克
'mei'li'si'man 梅莉斯曼
'mei'shi'e'mo 美食恶魔
'mei'shi'fa'jin 美食法金
'mei'shi'hui 美食会
'mei'shi'jie 美食界
'mei'shi'jie'ba'wang 美食界八王
'mei'shi'lie'ren 美食猎人
'mei'shi'si'tian'wang 美食四天王
'mei'shi'xi'bao 美食细胞
'mei'shi'zai'sheng'zhe 美食再生者
'mei'shi'zhong'yang'pi'fa'shi'chang 美食中央批发市场
'mo'yang'xiu'xiu 莫扬羞羞
'mu'en 沐恩
'mu'wang'she 母王蛇
'nai'si'ni 奈斯尼
'nai'you'song'rong 奶油松茸
'ni'te'luo 尼特罗
'nian'he'jiu'cai 黏合韭菜
'ning'meng'tao'xian'zha'zhi 柠檬桃鲜榨汁
'nuo'mi'tuan'zi'xing 糯米团子星
'nv'ren'mei'tian 女人梅田
'nv'wang 女王
'qian'liu 千流
'qiao'niang 乔娘
'qiao'ya 乔亚
'ren'sheng'cai'dan 人生菜单
'sa'ni 萨尼
'sai'duo'lu 塞多鲁
'san'hu 三虎
'sha'la'man'da'si'fen'ke'si 沙拉曼达斯芬克斯
'shi'ji 食技
'shi'ji'nong'tang 世纪浓汤
'shi'meng 十梦
'shuang'jiang'dou'fu 霜降豆腐
'shui'jing'ke'le 水晶可乐
'si'shou 四兽
'si'ta'jin 斯塔金
'si'ta'jiu 斯塔久
'su'sheng'dao'fa 苏生刀法
'tai'li'ke'luo'si 泰利克洛斯
'tao'yu 桃芋
'te'rui'ke 特瑞科
'tian'gou'bu'lan'qi 天狗布兰奇
'tian'jiang'he 甜姜盒
'tian'kong'lu 天空鹿
'tie'ping 铁平
'tong'zhi'zhu'chu 铜之主厨
'wang'cheng'zhang'yu 王城章鱼
'xian'ren'zhang'yi'sheng 仙人掌医生
'xiao'song 小松
'xiu'mian'cui'qu 休眠萃取
'xu'zhi'cong'lin 戌之丛林
'ya'wang 牙王
'yao'rou'xiang'gu 腰肉香菇
'yi'long 一龙
'yi'sheng'lu'hui 医生芦荟
'yin'bai'ha'di'si 银白哈迪斯
'yin'zhi'zhu'chu 银之主厨
'ying'lin'zhi'zhong 营林之种
'you'da 尤达
'yu'zhou'da'pan'she 宇宙大攀蛇
'yu'zuo 与作
'zao'an'mei'gui 早安玫瑰
'ze'bu'la 泽布拉
'ze'wu'si 泽乌斯
'zhen'zhen'zhen 珍镇镇
'zhi'mo'mu 枝魔目
'zhi'nai 栉乃
'zong'jia 宗迦
