'a'ka'li 阿卡丽
'a'li 阿狸
'a'li'si'ta 阿利斯塔
'a'mu'mu'mu'mu 阿木木木木
'a'zi'er 阿兹尔
'ai'ke 艾克
'ai'ni'wei'ya 艾尼维亚
'ai'rui'li'ya 艾瑞莉娅
'ai'weng 艾翁
'ai'xi 艾希
'an'hei'yuan'shou 暗黑元首
'an'ni 安妮
'an'ye'lie'shou 暗夜猎手
'an'yi'jian'mo'jian'mo 暗裔剑魔剑魔
'an'ying'zhi'quan 暗影之拳
'ao'la'fu 奥拉夫
'ao'li'an'na 奥利安娜
'ao'rui'li'an'suo'er 奥瑞利安索尔
'ao'zhi'zhui'lie'zhe'shi'zi'gou 傲之追猎者狮子狗
'ba'de 巴德
'bao'nu'qi'shi 暴怒骑士
'bao'po'gui'cai'zha'dan'ren 爆破鬼才炸弹人
'bao'zou'luo'li'luo'li 暴走萝莉萝莉
'bing'jing'feng'huang 冰晶凤凰
'bing'xue'nv'wu'nv'wu 冰雪女巫女巫
'bo'bi 波比
'bu'lan'de 布兰德
'bu'li'ci 布里茨
'bu'long 布隆
'bu'xiang'zhi'ren'bu'xiang 不祥之刃不详
'ce'shi'tong'ling 策士统领
'chao'xi'hai'ling'yu'ren 潮汐海灵鱼人
'cheng'jie'zhi'jian 惩戒之箭
'chui'shi 锤石
'cui'shen 翠神
'cui'si'ta'na 崔斯塔娜
'cui'si'te 崔斯特
'da'fa'ming'jia'da'tou 大发明家大头
'dai'an'na 黛安娜
'dao'feng'yi'zhi'nv'dao 刀锋意志女刀
'dao'feng'zhi'ying'nan'dao 刀锋之影男刀
'de'bang'zong'guan'de'bang 德邦总管德邦
'de'lai'e'si 德莱厄斯
'de'lai'wen 德莱文
'de'ma'xi'ya'huang'zi'huang'zi 德玛西亚皇子皇子
'de'ma'xi'ya'zhi'li'de'ma 德玛西亚之力德玛
'de'ma'xi'ya'zhi'yi 德玛西亚之翼
'duo'luo'tian'shi 堕落天使
'e'jia'te 厄加特
'e'luo'yi 俄洛伊
'e'mo'xiao'chou'xiao'chou 恶魔小丑小丑
'e'yun'xiao'jie 厄运小姐
'fa'tiao'mo'ling'fa'tiao 发条魔灵发条
'fa'wai'kuang'tu'nan'qiang 法外狂徒男枪
'fang'zhu'zhi'ren 放逐之刃
'fei'ao'na 菲奥娜
'fei'de'ti'ke 费德提克
'fei'zi 菲兹
'feng'bao'zhi'nu'feng'nv 风暴之怒凤女
'fu'chou'yan'hun'huo'nan 复仇焰魂火男
'fu'chou'zhi'mao 复仇之矛
'fu'la'ji'mi'er 弗拉基米尔
'fu'lei'er'zhuo'de'zhi'xin 弗雷尔卓德之心
'fu'wen'fa'shi 符文法师
'gai'lun 盖伦
'ge'lei'fu'si 格雷福斯
'gu'la'jia'si 古拉加斯
'gua'fu'zhi'zao'zhe'gua'fu 寡妇制造者寡妇
'guang'hui'nv'lang'guang'hui 光辉女郎光辉
'gui'shu'yao'ji 诡术妖姬
'hai'shou'ji'si 海兽祭司
'hai'yang'zhi'zai 海洋之灾
'han'bing'she'shou'han'bing 寒冰射手寒冰
'he'ka'li'mu 赫卡里姆
'he'liu'zhi'wang 河流之王
'hei'an'zhi'nv'huo'nv 黑暗之女火女
'hei'mo'ding'ge 黑默丁格
'huan'chao'jiao'ji 唤潮鲛姬
'huang'mo'tu'fu 荒漠屠夫
'hun'suo'dian'yu'zhang 魂锁典狱长
'ji'feng'jian'hao'jian'hao 疾风剑豪剑豪
'ji'ge'si 吉格斯
'ji'lan 基兰
'ji'xie'gong'di 机械公敌
'ji'xie'xian'qu 机械先驱
'jia'ke'si 贾克斯
'jia'li'ao 加里奥
'jia'na 迦娜
'jia'wen'si'shi 嘉文四世
'jiao'yue'nv'shen'jiao'yue 皎月女神皎月
'jie'la 婕拉
'jie'si 杰斯
'jin'ke'si 金克丝
'jing'ji'zhi'xing 荆棘之兴
'jiu'tong 酒桶
'jiu'wei'yao'hu 九尾妖狐
'ju'mo'zhi'wang'ju'mo 巨魔之王巨魔
'ka'er'ma 卡尔玛
'ka'er'sa'si 卡尔萨斯
'ka'li'si'ta 卡莉丝塔
'ka'pai'da'shi'ka'pai 卡牌大师卡牌
'ka'sa'ding 卡萨丁
'ka'te'lin'na 卡特琳娜
'ka'xi'ao'pei'ya 卡西奥佩娅
'ka'zi'ke 卡兹克
'kai'er 凯尔
'kai'nan 凯南
'kai'te'lin 凯特琳
'ke'ge'mo 克格莫
'ke'jia'si 科加斯
'ke'lie 克烈
'ku'qi 库奇
'kuang'bao'zhi'xin 狂暴之心
'kuang'ye'nv'lie'shou 狂野女猎手
'kuang'zhan'shi 狂战士
'kui'yin 奎因
'la'ke'si 拉克丝
'la'mo'si 拉莫斯
'lan'bo 兰博
'le'fu'lan 乐芙兰
'lei'en'jia'er 雷恩加尔
'lei'ke'dun 雷克顿
'lei'ke'sai 雷克赛
'lei'ou'na 蕾欧娜
'lei'ting'pao'xiao 雷霆咆哮
'li'qing 李青
'li'sang'zhuo 丽桑卓
'lian'jin'shu'shi'lian'jin 炼金术士炼金
'lin'dong'zhi'nu 凛冬之怒
'long'xue'wu'ji'long'nv 龙血武姬龙女
'lu'lu 璐璐
'lu'xi'an 卢锡安
'ma'er'zha'ha'ma'zha 玛尔扎哈蚂蚱
'mai'lin'pao'shou'xiao'pao 麦林炮手小炮
'man'zu'zhi'wang 蛮族之王
'mang'seng 盲僧
'mao'kai 茂凯
'meng'duo'yi'sheng'meng'duo 蒙多医生蒙多
'mi'shi'zhi'ya 迷失之牙
'mo'de'kai'sa 莫德凯撒
'mo'fei'te 墨菲特
'mo'gan'na 莫甘娜
'mo'ri'shi'zhe'mo'ri 末日使者末日
'mo'she'zhi'yong'mo'she 魔蛇之拥魔蛇
'mo'teng 魔腾
'mu'guang'zhi'yan 暮光之眼
'mu'hun'ren 牧魂人
'na'er 纳尔
'na'mei 娜美
'nai'de'li 奈德丽
'nei'se'si 内瑟斯
'niu'qu'shu'jing'da'shu 扭曲树精大树
'niu'tou'qiu'zhang'niu'tou 牛头酋长牛头
'nu'nu 努努
'nuo'ke'sa'si'zhi'shou'nuo'ke 诺克萨斯之手诺克
'nuo'ti'le'si 诺提勒斯
'pan'sen 潘森
'pi'cheng'nv'jing'nv'jing 皮城女警女警
'pi'cheng'zhi'fa'guan 皮城执法官
'pi'jia'long'gui'long'gui 披甲龙龟龙龟
'pu'lang'ke 普朗克
'qi'tian'da'sheng'hou'zi 齐天大圣猴子
'qian'yu 千钰
'qin'se'xian'nv'qin'nv 琴瑟仙女琴女
'rong'yan'ju'shou'shi'tou 熔岩巨兽石头
'rong'yao'xing'xing'guan 荣耀行刑官
'rui'wen 锐雯
'rui'zi 瑞兹
'sa'ke 萨科
'sai'en 塞恩
'se'zhuang'ni 瑟庄妮
'sha'mo'huang'di 沙漠皇帝
'sha'mo'si'shen'gou'tou 沙漠死神狗头
'shang'jin'lie'ren'nv'qiang 赏金猎人女枪
'shang'zhi'mu'nai'yi 殇之木乃伊
'shao'bing'zhi'shang 哨兵之殇
'shen'hai'tai'tan'tai'tan 深海泰坦泰坦
'shen'pan'tian'shi'tian'shi 审判天使天使
'shen'yuan'ju'kou'da'zui 深渊巨口大嘴
'sheng'chui'zhi'yi 圣锤之毅
'sheng'hua'mo'ren 生化魔人
'sheng'qiang'you'xia 圣枪游侠
'shi'guang'shou'hu'zhe'shi'guang 时光守护者时光
'shi'jian'ci'ke 时间刺客
'shi'xue'lie'shou'lang'tou 嗜血猎手狼头
'shou'ling'xing'zhe 兽灵行者
'shou'ling'zhi'ao 首领之傲
'shu'guang'nv'shen'ri'nv 曙光女神日女
'shui'jing'xian'feng 水晶先锋
'si'ka'na 斯卡纳
'si'wang'song'chang'zhe'si'ge 死亡颂唱者死歌
'si'wei'yin 斯维因
'sun'wu'kong 孙悟空
'suo'ka'la'nai'ma 索卡拉奶妈
'suo'na 娑娜
'ta'li'ke 塔里克
'ta'li'ya 塔利亚
'ta'mu 塔姆
'tai'da'mi'er 泰达米尔
'tai'long 泰隆
'te'lang'de'er 特朗德尔
'ti'mo 提莫
'tian'qi'zhe'shan'zi'ma 天启者扇子妈
'tie'kai'ming'hun 铁铠冥魂
'tu'qi 图奇
'wa'luo'lan'zhi'dun 瓦洛兰之盾
'wang'ling'zhan'shen 亡灵战神
'wei'en 维恩
'wei'jia 维迦
'wei'ke'tuo 维克托
'wei'ke'zi 维克兹
'wei'lai'shou'hu'zhe'shou'hu'zhe 未来守护者守护者
'wei'lu'si 维鲁斯
'wen'yi'zhi'yuan'lao'shu 瘟疫之源老鼠
'wo'li'bei'er 沃利贝尔
'wo'li'ke 沃里克
'wu'di'er 乌迪尔
