'bai'jin'zhen 白金针
'bai'ye 百页
'ban'dou'fu 板豆腐
'cao'gu 草菇
'cha'shu'gu 茶树菇
'chang'dou 长豆
'dong'gua 冬瓜
'dou'fu'gan 豆付干
'fang'dou'fu 方豆腐
'hai'xian'gu 海鲜菇
'hong'jiao 红椒
'hua'cai 花菜
'jiao'bai 茭白
'jiu'cai 韭菜
'jiu'hua 韭花
'jiu'huang 韭黄
'jiu'niang 酒酿
'lao'huang'gua 老黄瓜
'lu'sun 芦笋
'lv'dou'ya 绿豆芽
'mao'dou'jie 毛豆结
'mian'jin 面筋
'qian'zhang 千张
'qing'hai'dai 青海带
'ri'ben'nan'gua 日本南瓜
'shan'yao 山药
'sheng'cai 生菜
'sheng'jiang 生姜
'suan'miao 蒜苗
'suan'zi 蒜子
'tong'hao 茼蒿
'xiang'cai 香菜
'xiao'dou'ya 小豆芽
'xiao'qing'jiao 小青椒
'xiu'zhen'gu 秀珍菇
'yang'cong 洋葱
'you'mian'jin 油面筋
'yun'dou 芸豆
