'a'mo'xi'lin'jiao'nang 阿莫西林胶囊
'a'si'pi'lin'chang'rong'pian 阿司匹林肠溶片
'a'xi'luo'wei'pian 阿昔洛韦片
'an'cha'jian'pian 氨茶碱片
'an'kun'ke'li 安坤颗粒
'an'nai'jin'pian 安乃近片
'bai'dian'feng'jiao'nang 白癜风胶囊
'ban'lan'gen'ke'li 板蓝根颗粒
'ban'lan'gen'zhu'she'ye 板蓝根注射液
'bao'lin'dan'jian'zhu'she'ye 胞磷胆碱注射液
'bi'la'xi'tan'pian 吡拉西坦片
'bi'shu'shi'pian 鼻舒适片
'bu'jin'pian 补金片
'bu'luo'fen'pian 布洛芬片
'chai'huang'ke'li 柴黄颗粒
'chuan'bei'pi'pa'tang'jiang 川贝枇杷糖浆
'ci'wu'jia'pian 刺五加片
'cu'suan'lv'ji'ding'zhi'chuang'shuan 醋酸氯己定痔疮栓
'da'huo'luo'jiao'nang 大活络胶囊
'da'huo'luo'wan 大活络丸
'dan'shen'zhu'she'ye 丹参注射液
'dan'xiang'guan'xin'zhu'she'ye 丹香冠心注射液
'dang'gui 当归
'di'sai'mi'song'lin'suan'na'zhu'she'ye 地塞米松磷酸钠注射液
'du'huo'ji'sheng'wan 独活寄生丸
'dui'yi'xian'an'ji'fen'pian 对乙酰氨基酚片
'er'qiang'bing'cha'jian'zhu'she'ye 二羟丙茶碱注射液
'fa'ban'xia 法半夏
'fa'mo'ti'ding'pian 法莫替丁片
'fang'ji 防己
'fen'bu'fen'jiao'nang 芬布芬胶囊
'fen'huang'yi'an'zhu'she'ye 酚磺乙胺注射液
'fu'fang'an'fen'wan'an'pian 复方氨酚烷胺片
'fu'fang'an'tai'su'pian 复方氨肽素片
'fu'fang'ban'lan'gen'ke'li 复方板蓝根颗粒
'fu'fang'dan'shen'pian 复方丹参片
'fu'fang'dang'gui'zhu'she'ye 复方当归注射液
'fu'fang'gan'mao'ling'pian 复方感冒灵片
'fu'fang'huang'teng'xi'ye 复方黄藤洗液
'fu'fang'lu'ding'pian 复方芦丁片
'fu'fang'ning'ru'mei'jiao'nang 复方凝乳酶胶囊
'fu'fang'xian'zhu'li'ye 复方鲜竹沥液
'fu'fang'yu'chuang'mu'fen'huang'suan'jia'kou'fu'rong'ye 复方愈创木酚磺酸钾口服溶液
'fu'gan'lin'kou'fu'ye 馥感啉口服液
'fu'gui'gu'tong'jiao'nang 附桂骨痛胶囊
'fu'kang'ning'pian 妇康宁片
'fu'nan'liu'an'zhu'she'ye 呋喃硫胺注射液
'fu'sai'mi'zhu'she'ye 呋塞米注射液
'gan'cao'xin'jiao'nang 甘草锌胶囊
'gan'mao'qing'jiao'nang 感冒清胶囊
'gan'te'ling'jiao'nang 感特灵胶囊
'gu'bing'gan'an'suan'jiao'nang 谷丙甘氨酸胶囊
'gu'tai'zhu'she'ye 骨肽注射液
'guan'mai'ning'jiao'nang 冠脉宁胶囊
'guang'an'suan'pian 胱氨酸片
'gui'pi'wan 归脾丸
'hong'yao'pian 红药片
'hou'po 厚朴
'hou'tou'jun'pian 猴头菌片
'huang'ti'tong'zhu'she'ye 黄体酮注射液
'huang'yang'ning'pian 黄杨宁片
'huo'xiang'zheng'qi'shui 藿香正气水
'huo'xue'zhuang'jin'wan 活血壮筋丸
'huo'xue'zhuang'jin'wan'dan 活血壮筋丸丹
