'a'gui'yang'xue'ke'li 阿归养血颗粒
'a'mo'xi'lin'jiao'nang 阿莫西林胶囊
'a'qi'mei'su'pian 阿奇霉素片
'a'si'pi'lin'pian 阿司匹林片
'a'xi'luo'wei'gao 阿昔洛韦膏
'an'nai'jin'pian 安乃近片
'an'wei'pian 安谓片
'ao'mei'la'zuo'jiao'nang 奥美拉唑胶囊
'ba'mi'er'pian 巴米儿片
'ban'lan'gen'chong'ji 板蓝根冲剂
'ban'ma'yan'shui 斑马眼水
'bao'he'wan 保和丸
'ben'yi'pai'ding'pian 苯已哌定片
'bing'bei'ruan'gao 丙倍软膏
'bing'du'ling'pian 病毒灵片
'bing'suan'bei'lv'mi'song 丙酸倍氯米松
'bu'pi'yi'chang'wan 补脾益肠丸
'bu'shen'qiang'shen'pian 补肾强身片
'bu'shen'yang'xue'wan 补肾养血丸
'cang'er'zi'bi'yan'jiao'nang 苍耳子鼻炎胶囊
'cao'shan'hu'han'pian 草珊瑚含片
'chen'xiang'lu'bai'lu 陈香路白路
'chi'tong'ning 齿痛宁
'cu'suan'fu'qing'song 醋酸肤轻松
'da'huang'su'da'pian 大黄苏打片
'da'ke'ning'shuan 达克宁栓
'da'ke'ning'shuang 达克宁霜
'da'qing'ye'pian 大青叶片
'di'ao'xin'xue'kang'jiao'nang 地奥心血康胶囊
'dian'qie'pian 颠茄片
'du'yi'wei'jiao'nang 独一味胶囊
'er'jia'shuang'gua 二甲双呱
'fa'mo'ti'ding'pian 法莫替丁片
'fen'bi'dei'jiao'nang 芬必得胶囊
'fu'fang'an'fen'wan'an'pian 复方氨芬烷安片
'fu'fang'dan'shen'di'wan 复方丹参滴丸
'fu'fang'dan'shen'pian 复方丹参片
'fu'fang'e'jiao'jiang 复方阿胶浆
'fu'fang'gan'cao'pian 复方甘草片
'fu'fang'huang'lian'su'pian 复方黄连素片
'fu'fang'jiang'ya'jiao'nang 复方降压胶囊
'fu'fang'jin'yin'hua 复方金银花
'fu'fang'xin'nuo'ming'pian 复方新诺明片
'fu'gui'gu'tong'jiao'nang 附桂骨痛胶囊
'fu'ke'qian'jin'pian 妇科千金片
'fu'ke'tiao'jing'pian 妇科调经片
'fu'ke'zhi'dai'pian 妇科止带片
'fu'nan'dan'ding'pian 呋喃旦定片
'fu'pai'suan'jiao'nang 氟哌酸胶囊
'fu'qing'song'ruan'gao 肤轻松软膏
'fu'yan'kang 妇炎康
'fu'yan'kang'pian 妇炎康片
'gai'er'qi'cheng 钙尔奇成
'gai'er'qi'xiao 钙尔奇小
'gan'bi'fu'jiao'nang 肝必复胶囊
'gan'jiao'mu 干酵母
'gan'kang'pian 感康片
'gan'mao'an'pian 感冒安片
'gan'mao'ke'sou'ke'li 感冒咳嗽颗粒
'gan'mao'qing'jiao'nang 感冒清胶囊
'gan'mao'qing're'chong'ji 感冒清热冲剂
'gan'mao'tong 感冒通
'gan'mao'tong'pian 感冒通片
'gan'tai'le'pian 肝泰乐片
'gong'xue'ning'jiao'nang 宫血宁胶囊
'gou'pi'gao 狗皮膏
'gu'ci'ping'pian 骨刺平片
'gu'wei'su'pian 谷维素片
'guan'jie'zhi'tong'gao 关节止痛膏
'gui'long'jin'gu'ning'pian 归龙筋骨宁片
'gui'pi'wan 归脾丸
'guo'dao'pian 果导片
'guo'jiao'bi'jiao'nang 果胶必胶囊
'hai'shao'dan 还少丹
'han'tao'ye'pian 汉桃叶片
'hong'mei'su'ruan'gao 红霉素软膏
'hong'mei'su'yan'gao 红霉素眼膏
'hou'shu'ning'pian 喉舒宁片
'hou'tou'jian'wei'ling'jiao'nang 猴头健胃灵胶囊
'hu'tong'ke'li 护彤颗粒
'hua'hong'pian 花红片
'hua'tan'pian 化痰片
'huai'jiao'wan 槐角丸
'huan'bing'sha'xing'pian 环丙沙星片
'huang'lian'shang'qing'wan 黄连上清丸
'huo'luo'you 活络油
'huo'xiang'zheng'qi'shui 藿香正气水
'ji'gan'pian 肌肝片
'ji'nei'jin'pian 鸡内金片
'jia'mie'suan'jiao'nang 甲灭酸胶囊
'jia'xiao'zuo'pian 甲硝唑片
'jian'pi'sheng'xue'ke'li 健脾生血颗粒
'jian'pi'wan 健脾丸
'jian'wei'xiao'shi'pian 健胃消食片
'jiang'ya'hao 降压号
'jie'chang'yan'wan 结肠炎丸
'jie'er'yin'xi'ye 洁尔阴洗液
'jin'dan'pian 金胆片
'jin'ji'hu'bu'wan 金鸡虎补丸
'jin'ji'pian 金鸡片
'jin'ju'li'yan'kou'han'pian 金菊利咽口含片
'jin'long'tan'ke'jing 金龙痰咳净
'jin'sang'zi'run'hou'pian 金嗓子润喉片
'ka'tuo'pu'li'pian 卡托普利片
'kai'sai'lu 开塞露
'kang'gong'yan'pian 抗宫炎片
'kang'gu'zeng'sheng'wan 抗骨增生丸
'ke'gan'min'chong'ji 克感敏冲剂
'ke'gan'min'pian 克感敏片
'ke'te'ling'jiao'nang 咳特灵胶囊
'ke'te'ling'pian 咳特灵片
'kou'qiang'kui'yang'han'pian 口腔溃疡含片
'le'li'gai'jiao'nang 乐力钙胶囊
'li'bo'long'pian 力勃隆片
'li'dan'pai'shi'pian 利胆排石片
'li'jun'sha'pian 利君沙片
'li'te'ling'pian 疬特灵片
'li'zhu'de'le 丽珠得乐
'lian'ben'shuang'zhi'di'wan 联苯双酯滴丸
'lian'zhi'xiao'yan 莲芝消炎
'ling'yang'gan'mao'pian 羚羊感冒片
'liu'jing'tou'tong'pian 六经头痛片
'liu'wei'di'huang'jiao'nang 六味地黄胶囊
'liu'wei'di'huang'wan 六味地黄丸
'long'hu'ren'dan 龙虎人丹
'long'mu'zhuang'gu'chong'ji 龙牡壮骨冲剂
'lu'gan'shi'xi'ji 炉甘石洗剂
'luo'hong'mei'su'jiao'nang 罗红霉素胶囊
'lv'jiao'bu'xue'chong'ji 驴胶补血冲剂
'lv'yao'gao 绿药膏
'ma'ding'lin'pian 吗叮啉片
'ma'lai'suan'yi'na'pu'li'pian 马来酸依那普利片
'ma'ren'wan 麻仁丸
'ma'ying'long'zhi'chuang'ruan'gao 马应龙痔疮软膏
'mai'tong'jiao'wan 脉通胶丸
'man'yan'shu'ning 慢咽舒宁
'man'yan'shu'ning'chong'ji 慢咽舒宁冲剂
'mei'bao'shao'shang'gao 美宝烧伤膏
'mie'ao'ling'pian 灭奥灵片
'min'di'pian 敏迪片
'mo'luo'dan 摩罗丹
'mu'xiang'shun'qi'wan 木香顺气丸
'nan'bao'jiao'nang 男宝胶囊
'nao'le'jing 脑乐静
'nao'xin'shu 脑心舒
'nao'xin'shu'kou'fu'ye 脑心舒口服液
'nao'xue'shuan'pian 脑血栓片
'niu'huang'xiao'yan'pian 牛黄消炎片
'nuan'wei'shu'le'pian 暖胃舒乐片
'nv'bao'jiao'nang 女宝胶囊
'pang'de'sheng 胖得生
'pi'kang'shuang 皮康霜
'pi'kang'shuang 皮康双
'pi'kang'shuang'gao 皮康霜膏
'pi'kang'wang 皮康王
'pi'yan'ping'ruan'gao 皮炎平软膏
'pian 片
'ping'wei'wan 平胃丸
'qi'ye'shen'an'pian 七叶神安片
'qian'lie'kang'pian 前列康片
'qian'lie'tong'pian 前列通片
'qiang'de'song'pian 强的松片
'qiang'li'yin'qiao'pian 强力银翘片
'qing'liang'you 清凉油
'qing'yan'pian'gan 清咽片感
'qu'tan'ling'kou'fu'ye 祛痰灵口服液
'qu'tong'pian 去痛片
're'du'qing'pian 热毒清片
'ren'shen'gui'pi'wan 人参归睥丸
'ru'he'san'jie'pian 乳核散结片
'ru'pi'xiao'pian 乳癖消片
'ru'suan'jun'su'pian 乳酸菌素片
'san'huang'pian 三黄片
'san'jiu'gan'mao'ling'ke'li 三九感冒灵颗粒
'san'jiu'pi'yan'ping 三九皮炎平
'san'qi'hua'zhi'wan 三七化痔丸
'san'qi'pian 三七片
'san'qi'shang'yao'pian 三七伤药片
'shan'zha'wan 山楂丸
'shang'shi'zhi'tong'gao 伤湿止痛膏
'she'dan'chuan'bei'ye 蛇胆川贝液
'she'xiang'zhuang'gu'gao 麝香壮骨膏
'shen'jin'dan'jiao'nang 伸筋丹胶囊
'shen'rong'ge'jie'bao'shen'wan 参茸蛤蚧保肾丸
'shen'shuai'guo'su'pian 神衰果素片
'sheng'mai'yin 生脉饮
'shi'yang'xi'ye 湿痒洗液
'shou'bi'shan'pian 寿比山片
'shu'gan'he'wei'wan 舒肝和胃丸
'shu'gan'jian'wei'wan 舒肝健胃丸
'shuang'huang'lian'ju'jue'pian 双黄连咀嚼片
'shuang'huang'lian'kou'fu'ye 双黄连口服液
'shuang'ke'pian 双克片
'shuang'lv'mie'tong'pian 双氯灭痛片
'shuang'yang'shui 双氧水
'shuang'zuo'tai'shuan 双唑泰栓
'si'huan'su 四环素
'si'mi'da 思密达
'si'shen'wan 四神丸
'su'xiao'jiu'xin'wan 速效救心丸
