'a'mu'bai'mei'ren 阿母白媒人
'a'mu'da'bei'cui 阿母大悲摧
'a'mu'da'fu'zhang 阿母大拊掌
'a'mu'de'wen'zhi 阿母得闻之
'a'mu'wei'a'nv 阿母谓阿女
'a'mu'wei'fu'li 阿母谓府吏
'a'mu'wei'ru'qiu 阿母为汝求
'a'mu'xie'mei'ren 阿母谢媒人
'a'nv'mo'wu'sheng 阿女默无声
'a'nv'xian'lei'da 阿女衔泪答
'a'xiong'de'wen'zhi 阿兄得闻之
'ai'ai'chun'kong 霭霭春空
'ai'ai'yuan'ren'cun 暧暧远人村
'ai'ci'qiong'du 哀此茕独
'ai'er'bu'jian 爱而不见
'ai'er'bu'shang 哀而不伤
'ai'feng'ren'zhi'zi'ye 艾封人之子也
'ai'gong'wen'she'yu'zai'wo 哀公问社于宰我
'ai'gong'wen'yu'you'ruo'yue 哀公问与有若曰
'ai'gong'wen'yue 哀公问曰
'ai'gong'yi'ri'yi'gao'min'zi'yue 哀公异日以告闵子曰
'ai'guo'zhi'min 爱国治民
'ai'hao'you'lai'luo'bi'nan 爱好由来落笔难
'ai'ji'er'zao'ai'ye 爱己而造哀也
'ai'li'chu'hu'ren'yi 爱利出乎仁义
'ai'min'sheng'zhi'duo'jian 哀民生之多艰
'ai'nai'yi'sheng'shan'shui'lv 唉乃一声山水绿
'ai'qu'ru'yan'nan'shan'bi 爱渠入眼南山碧
'ai'ren'bu'qin'fan'qi'ren 爱人不亲反其仁
'ai'ren'li'wu'zhi'wei'ren 爱人利物之谓仁
'ai'ruo'yu'zhi'piao'ling 哀弱羽之飘零
'ai'shang'ceng'lou 爱上层楼
'ai'shi'qi'xing'zhe'ye 爱使其形者也
'ai'shuo'nan'chao'kuang'ke 爱说南朝狂客
'ai'tie'di'zheng'fei 爱贴地争飞
'ai'wu'sheng'zhi'xu'yu 哀吾生之须臾
'ai'yi'shen'wei'tian'xia 爱以身为天下
'ai'yi'shen'yu'wei'tian'xia 爱以身于为天下
'ai'you'ji'zhi 哀又继之
'ai'yu'bu'gong 隘与不恭
'ai'yue'bu'neng'ru'ye 哀乐不能入也
'ai'yue'bu'yi'shi'hu'qian 哀乐不易施乎前
'ai'yue'zhi'lai 哀乐之来
'ai'yue'zhuan'xiang'xun 哀乐转相寻
'ai'zai'wang'sun'shen'wu'shu 哀哉王孙慎勿疏
'ai'zheng'yi'nong'xiang'jiang'qu 哀筝一弄湘江曲
'ai'zhi'mo'ye 哀之末也
'ai'zhi'neng'wu'lao'hu 爱之能勿劳乎
'ai'zhi'suo'yi'cheng 爱之所以成
'ai'zhi'ying'chou'huan'luan 艾枝应愁鬟乱
