'ba'di'ren'bao'de'na'yang'jin 把敌人抱得那样紧
'ba'di'ren'na'dao'zai'di'shang'de 把敌人捺倒在地上的
'ba'ta'men'de'shen'shang'shao'zhao'le'huo 把他们的身上烧着了火
'ba'ta'men'ya'dao'shan'jiao 把他们压到山脚
'dan'ta'men'que'da'si'le'san'bai'duo'di'ren 但他们却打死了三百多敌人
'dan'ti'shang'zhan'man'nao'jiang 弹体上沾满脑浆
'dan'wo'zui'ji'yu'gao'su'ni'men'de 但我最急于告诉你们的
'dan'yong'shi'men'zai'zhe'yan'yu'huo'de'shan'gang'shang 但勇士们在这烟与火的山岗上
'dang'ta'men'gan'dao'shu'tang'zhan'shi 当他们赶到书堂站时
'di'ren'wei'le'tao'ming 敌人为了逃命
'dou'gao'su'gei'wo'zu'guo'de'peng'you'men 都告诉给我祖国的朋友们
'fei'ji'zhi'xia'de'qi'you'dan 飞机掷下的汽油弹
'fen'dou'fen'bu'kai 分都分不开
'feng'yong'shang'lai'de'di'ren 蜂涌上来的敌人
'gao'han'zhe'kou'hao 高喊着口号
'hai'shi'zai'er'ci'zhan'yi'de'shi'hou 还是在二次战役的时候
'hai'you'yi'ge'zhan'shi 还有一个战士
'hao'shi'zi'ji'de'zhu'li'bu'zhi'fu'mie 好使自己的主力不致覆灭
'he'di'ren'dao'zai'yi'qi 和敌人倒在一起
'he'ta'si'zai'yi'qi'de'mei'guo'gui'zi 和他死在一起的美国鬼子
'hen'jian'dan'de'li 很简单的哩
'ji'kan'bu'chu'ta'men'you'shen'me'gao'ming'de'zhi'shi 既看不出他们有什么高明的知识
'ji'qiang'ling'jian'reng'de'man'shan'dou'shi 机枪零件扔得满山都是
'ju'zhe'ge'ying'de'ying'zhang'gao'su'wo 据这个营的营长告诉我
'kan'bu'chu'ta'men'you'feng'sheng'xi'zhi'de'gan'qing 看不出他们有丰盛细致的感情
'ke'shi'di'ren'hai'shi'yao'pin'si'zheng'duo 可是敌人还是要拼死争夺
'ke'shi'wo'yao'shuo 可是我要说
'lie'shi'men'de'shi'ti 烈士们的尸体
'ling'you'yi'ge'zhan'shi 另有一个战士
'nao'jiang'beng'lie 脑浆崩裂
'ni'shuo'de'jiu'shi'na'xie'bing'ma 你说的就是那些兵吗
'qi'you'dan'de'huo'yan'ba'zhe'ge'zhen'di'shao'hong'le 汽油弹的火焰把这个阵地烧红了
'qu'qie'duan'jun'yu'li'di'ren'de'tao'lu 去切断军隅里敌人的逃路
'rang'wo'hai'shi'lai'shuo'yi'duan'gu'shi'ba 让我还是来说一段故事吧
'shao'zai'yi'qi 烧在一起
'shi'wo'si'xiang'gan'qing'de'yi'duan'zhong'yao'jing'li 是我思想感情的一段重要经历
'shui'shi'wo'men'zui'ke'ai'de'ren'ne 谁是我们最可爱的人呢
'ta'de'zui'li'hai'xian'zhe'di'ren'de'ban'kuai'er'duo 他的嘴里还衔着敌人的半块耳朵
'ta'men'de'pin'zhi'shi'na'yang'de'chun'jie'he'gao'shang 他们的品质是那样的纯洁和高尚
'ta'men'de'qi'zhi'shi'na'yang'de'chun'pu'he'qian'xun 他们的气质是那样的淳朴和谦逊
'ta'men'de'xiong'huai'shi'na'yang'de'mei'li'he'kuan'guang 他们的胸怀是那样的美丽和宽广
'ta'men'de'yi'zhi'shi'na'yang'de'jian'ren'he'gang'qiang 他们的意志是那样的坚韧和刚强
'ta'men'kan'lai'shi'hen'ping'fan 他们看来是很平凡
'ta'shi'wo'xiang'ba'yi'qie'dong'xi 它使我想把一切东西
'ta'shou'li'hai'jin'wo'zhe'yi'ge'shou'liu'dan 他手里还紧握着一个手榴弹
'tao'di'ye'qia'qia'gan'dao'na'li 逃敌也恰恰赶到那里
'tu'le'yi'di 涂了一地
'wo'de'si'xiang'gan'qing'de'chao'shui 我的思想感情的潮水
'wo'dou'bei'yi'xie'dong'xi'gan'dong'zhe 我都被一些东西感动着
'wo'gan'jue'ta'men'shi'zui'ke'ai'de'ren 我感觉他们是最可爱的人
'wo'men'de'bu'dui 我们的部队
'wo'men'de'zhan'shi 我们的战士
'xue'ye'ba'zhe'shan'gang'liu'hong'le 血也把这山岗流红了
'yan'kan'jiu'yao'cong'qi'che'lu'shang'kai'guo'qu 眼看就要从汽车路上开过去
'ye'xu'you'de'ren'zai'xin'li'yin'yin'yue'yue'de'shuo 也许有的人在心里隐隐约约地说
'yi'chang'zhuang'lie'de'bo'dou'jiu'kai'shi'le 一场壮烈的搏斗就开始了
'yi'zhi'ba'you'de'shou'zhi'dou'zhe'duan'le 以致把有的手指都折断了
'yin'ci'ni'mei'you'neng'gou'liao'jie'dao 因此你没有能够了解到
'yong'san'shi'er'jia'fei'ji 用三十二架飞机
'you'bao'zhu'di'ren'tou'de 有抱住敌人头的
'you'bao'zhu'di'ren'yao'de 有抱住敌人腰的
'you'qia'zhu'di'ren'bo'zi 有卡住敌人脖子
'you'yi'zhi'zhi'yuan'jun'de'bu'dui'xiang'di'hou'meng'cha 有一支志愿军的部队向敌后猛插
'you'yu'ta'men'liang'shou'kou'zhe 由于他们两手扣着
'zai'chao'xian'de'mei'yi'tian 在朝鲜的每一天
'zai'fang'zong'ben'liu'zhe 在放纵奔流着
'zai'yan'mai'lie'shi'men'yi'ti'de'shi'hou 在掩埋烈士们遗体的时候
'zhan'ling'le'shan'tou 占领了山头
'zhe'ge'lian'sui'ran'shang'wang'hen'da 这个连虽然伤亡很大
'zhe'ji'zhan'zheng'zheng'chi'xu'le'ba'ge'xiao'shi 这激战整整持续了八个小时
'zhe'jiu'shi 这就是
'zheng'ge'shan'ding'dou'bei'da'fan'le 整个山顶都被打翻了
'zui'hou'yong'shi'men'de'zi'dan'da'guang'le 最后勇士们的子弹打光了
'zuo'zhe'ge'zhong'ge'yang'de'zi'shi 做着各种各样的姿势
