'biao'jie 表姐
'bu'mie'zhu 不灭珠
'cha'jian 插件
'chi'yue'liang 吃月亮
'chuan'kui 穿盔
'dan'kong 弹控
'dang'shang 挡伤
'di'wu 第五
'di'yun 帝陨
'duan'hui'he 断回合
'duan'hui'he'kong 断回合控
'fan'ruo 反弱
'feng'gong'ji 封攻击
'feng'shu 封属
'feng'shu'xing 封属性
'huang'nu 皇怒
'huang'yu 皇御
'hun'mian 魂免
'hun'yin 魂印
'ji'guang 吉光
'jian'shang'zhu 减伤珠
'ke'yin 刻印
'kong'gou 控狗
'kui'gou 盔狗
'lin'li'ji'mie'mo'shen 凛戾寂灭魔神
'ling'lai 灵籁
'liu'jie 六界
'long'wei 龙威
'mian'kong 免控
'mian'ruo 免弱
'mie'ma'shan 滅妈闪
'mo'fa 魔法
'mo'yu 魔钰
'san'xiong'di 三兄弟
'sheng'pu 圣普
'sheng'tian 胜天
'shi'kui 狮盔
'shou'yu'ba'fang'jian'hui'si'fang 守御八方剑挥四方
'tiao'jian'kui 条件盔
'tou'qiang 偷强
'wu'tiao'jian'kui 无条件盔
'xi'qiang 吸强
'xian'san 先三
'xian'zhi 先制
'xiao'qiang 消强
'xiao'qiang'kong 消强控
'xing'can 星璨
'ya'ti 压体
'ya'xue 压血
'yao'shi 耀世
'yi'jian'ri'chang 一键日常
'yin'bao 引爆
'zha'bei'bao 炸背包
