'a'ba'duo'na'duo 阿巴多纳多
'a'ba'er'duo'na'duo 阿巴尔多纳多
'a'ba'luo'si 阿巴罗斯
'a'ba'te 阿巴特
'a'bang'dan'qi'li 阿邦丹契里
'a'bang'dan'qie'li 阿邦丹切里
'a'bang'dan'xie'li 阿邦丹谢里
'a'bi'da'er 阿比达尔
'a'bi'er'de'jia'de 阿比尔德加德
'a'bi'ya'di 阿比亚蒂
'a'bo'ding 阿伯丁
'a'bo'li'si'te'wei'si'cheng 阿伯里斯特威斯城
'a'bu'bo'zhi 阿部博之
'a'bu'de'sa'ji 阿布德萨基
'a'bu'du'er'ka'di'er'ka'ya'li 阿卜杜尔卡迪尔卡亚利
'a'bu'du'la'man 阿布杜拉曼
'a'bu'du'la'ye 阿卜杜拉耶
'a'bu'du'te'lao'lei 阿卜杜特劳雷
'a'bu'duo'en 阿布多恩
'a'bu'duo'la'ye'di'ya'la 阿布多拉耶迪亚拉
'a'bu'fa'la'ge 阿布法拉格
'a'bu'kai'ta 阿布凯塔
'a'bu'la'ha'mu'sen 阿布拉哈姆森
'a'bu'la'han 阿布拉罕
'a'bu'la'han'gang'sa'lei'si 阿布拉罕冈萨雷斯
'a'bu'lan'te'si 阿布蓝特斯
'a'bu'li'ai'er 阿布里埃尔
'a'bu'lu'si'ka'tuo 阿布鲁斯卡托
'a'bu'luo'si 阿布罗斯
'a'da'er'tuo 阿达尔托
'a'da'mo'ku'li'ba'li 阿达莫库利巴利
'a'da'mo'wei'qi 阿达莫维奇
'a'da'mu'mo'han'mo'de 阿达穆默罕默德
'a'da'ni 阿达尼
'a'dai'er'dun 阿代尔顿
'a'dan 阿丹
'a'de'ba'yue 阿德巴约
'a'de'ba'yue'er 阿德巴约尔
'a'de'la'nuo 阿德拉诺
'a'de'lai'de'lan'ying 阿德莱德蓝鹰
'a'de'lai'de'lian 阿德莱德联
'a'de'lai'ye 阿德莱耶
'a'de'le 阿德勒
'a'de'li'an 阿德里安
'a'de'li'an'luo'pei'si 阿德里安洛佩斯
'a'de'li'an'pi'te 阿德里安皮特
'a'de'li'en'xi'er'wa 阿德里恩席尔瓦
'a'de'li'ya'nuo 阿德里亚诺
'a'de'li'ya'nuo'ke'lei'ya 阿德里亚诺科雷亚
'a'de'li'ya'nuo'zan'ke'pei 阿德里亚诺赞科佩
'a'de'mo'wei'qi 阿德莫维奇
