'a'za 腌臜
'ai'ai 叆叆
'ai'dai 叆叇
'ai'fei 叆靅
'ai'guang 娭光
'ai'nv'chi'nan 騃女痴男
'ai'xi 叆霼
'ai'ye 騃冶
'ai'zi 騃子
'an'ai 庵蔼
'an'lu 庵庐
'an'luo 庵罗
'an'luo'yuan 庵罗园
'an'mo'luo 庵摩罗
'ao'ze 泑泽
'ba'che 钯车
'ba'qia 跁跒
'ban'mao 螌蝥
'bang'lou 蛖蝼
'bao'bei 曝背
'bao'qin 曝芹
'bao'sai 曝鳃
'bao'shu 曝书
'bao'shu'ting'ji 曝书亭集
'bei'shi 柸食
'bei'zhi 柸治
'beng'yu 嗙喻
'bi'gu 辟谷
'bi'gu'fang 辟谷方
'bi'xie 辟邪
'bi'xie'shu 辟邪树
'bi'yang 泌阳
'bi'yi 辟易
'bing'chu 屏除
'bing'ji 屏迹
'bing'qi 屏气
'bing'tui 屏退
'bing'xi 屏息
'bing'ying 屏营
'bo'bai 泊柏
'bo'bai 泊栢
'bo'bo 嚗嚗
'bo'zhai'bian 泊宅编
'bu'pi 鯆魮
'can'zi 穇子
'cang'cang 玱玱
'cao'cao 懆懆
'cha'di'li 剎帝力
'cha'li 剎利
'cha'na 刹那
'cha'na 剎那
'chan'chang 墠场
'chan'jiang 镡江
'chan'jin'ji 镡津集
'chang'dao 倡导
'chang'hua 玚花
'chang'you 淌游
'che'pai 揊拍
'chen'chen 沉沉
'chen'qie 捵窃
'chen'zhong 沉重
'chen'zhuo 沉着
'chen'zhuo'tong'kuai 沉着痛快
'cheng'man 盛满
'cheng'rang 抢攘
'chi'mian'yu 匙面鱼
'chi'xiang 沶乡
'chou'chou 怞怞
'chu'jie 慉结
'chu'yu 鸀鳿
'chun'geng'lu'kuai 莼羹鲈脍
'chun'gui 莼龟
'chun'ke 莼客
'chuo'qiang 婼羌
'dai'dang 骀荡
'dai'ji 骀藉
'dan'ren 撢人
'dian'hun 窴浑
'dian'ling 窴軨
'dian'mie 窴灭
'dian'yan 窴颜
'diao'diao 嬥嬥
'diao'ge 嬥歌
'diao'pie 誂撆
'diao'yi 铫芅
'diao'yue 誂越
'ding'ning 濎泞
'ding'ying 濎濙
'ding'ying 艼荧
'du'lu 樚栌
'dun'dun 庉庉
'duo'gong 柁工
'duo'ju 跿跔
'duo'lan 亸懒
'duo'lou 柁楼
'duo'shi 柁师
'e'ang'fu'bei 搤肮拊背
'e'e 齾齾
'e'ke 閜砢
'e'kou 閜口
'e'wan 搤腕
'ei'ei'chu'chu 诶诶出出
'ei'yi 诶诒
'er'mao 髶髦
'fei'bing 柹饼
'fei'di 柹蒂
'fei'qi 柹漆
'fei'shuang 柹霜
'fei'ye'shu 柹叶书
'fei'zi'jin 柹子金
'fen'yun 葐蒕
'fu'lou 俛偻
'fu'qu 俛诎
'fu'shi 俯视
'fu'shi'di'jie 俛拾地芥
'fu'shou'tie'er 俛首帖耳
'fu'yang 俛仰
'fu'yin'jian 复印件
'gan'a'nai 干阿奶
'gan'bie 干瘪
'gan'chao 干麨
'gan'che 干车
'gan'chou 干愁
'gan'dao 干道
'gan'de 干德
'gan'ding 干定
'gan'dou 干豆
'gan'dou 干都
'gan'du'qian 干渡钱
'gan'er 干儿
'gan'feng 干封
'gan'fu 干符
'gan'gan 干干
'gan'gang 干纲
'gan'gao 干皋
'gan'gua 干卦
'gan'he 干和
'gan'heng 干亨
'gan'heng 干衡
'gan'hou 干侯
'gan'hou 干糇
'gan'hu 干鹄
'gan'hua 干化
'gan'ji 干吉
'gan'ji 干祭
'gan'jia'miao'zu'qi'yi 干嘉苗族起义
'gan'jia'xue'pai 干嘉学派
'gan'jiang 干姜
'gan'jiang 干绛
'gan'jing 干净
'gan'jing'de 干净地
'gan'liang 干粮
'gan'ling 干陵
'gan'mei 干没
'gan'ming 干明
'gan'mu 姏姆
'gan'niang 干娘
'gan'ning 干宁
'gan'qing'gong 干清宫
'gan'que 干鹊
'gan'shi 干时
'gan'shi'jue 干屎橛
'gan'ta'po 干闼婆
'gan'ti'shi'ku 干啼湿哭
'gan'tong 干统
'gan'tu 干图
'gan'tuo 干陀
'gan'wen'che 干文车
'gan'xi 干溪
'gan'xiang 干象
'gan'xiang'li 干象历
'gan'xiao 干笑
'gan'xing 干兴
'gan'yao 干曜
'gan'yin 干隐
'gan'you 干佑
'gan'yu 干浴
'gan'yu'gu 干余骨
'gan'yuan 干元
'gan'zao 干燥
'gan'zhai 干宅
'gan'zhen 干贞
'gan'zhu 干竺
'ge'ju 猲狙
'ge'xiao 猲獢
'guan'jin 纶巾
'guang'guang 迋迋
'gui'xu 眭盱
'guo'he 涡河
'guo'yang 涡阳
'guo'yi 裹衣
'ha'ma 虾蟆
'ha'ma'che 虾蟆车
'ha'ma'geng 虾蟆更
'ha'ma'ling 虾蟆陵
'ha'ma'yi 虾蟆衣
'hang'bang 行帮
'hang'bei 行辈
'hang'dang 行当
'hang'fan 行贩
'hang'fu 行服
'hang'huo 行货
'hang'jia 行家
'hang'jia'sheng'huo 行家生活
'hang'jian 行检
'hang'jian 行间
'hang'kuan 行款
'hang'lie 行列
'hang'nei 行内
'hang'qing 行情
'hang'shi 行市
'hang'shi'tu 行诗图
'hang'shu 行树
'hang'shui 行水
'hang'shui'jin'jian 行水金鉴
'hang'wu 行伍
'hang'ye 行业
'hang'yuan 行院
'hang'zhan 行栈
'hang'zi 行子
'hu'du 洿渎
'hu'hui 洿沬
'hu'hui 洿秽
'hu'ku 礐硞
'hu'tu 洿涂
'hu'xia 洿下
'hu'xie 洿邪
'hu'xing 洿行
'hu'ze 洿泽
'hua'guo 蒍国
'hua'kou 哗扣
'hua'quan 搳拳
'hua'yan 蒍掩
'hua'zhong'qu'chong 哗众取宠
'huan'huan 嬛嬛
'huan'mian 嬛绵
'huan'ning 嬛佞
'hui'mian'qi 颒面器
'hui'qian 撝谦
'hui'xiang 沬乡
'hui'xue 沬血
'hui'yi 撝挹
'hui'yi 袆衣
'hui'zhai 袆翟
'hun'he 濊河
'hun'hun 濊濊
'hun'mo 濊貊
'ji'ji 姼姼
'ji'ling 奇零
'ji'ni 荠苨
'ji'nian 期年
'ji'ning 荠薴
'ji'shu 奇数
'ji'yue 期月
'jian'deng 钘隥
'jian'die 鹣鲽
'jian'jian 攕攕
'jian'jian 鹣鹣
'jiang'zui 强嘴
'jiao'cai 趫才
'jiao'chou 校雠
'jiao'han 趫悍
'jiao'he 校核
'jiao'jie 趫捷
'jiao'kan 校勘
'jiao'yue 校阅
'jiao'zheng 校正
'jie'gu 嶰谷
'jie'guan 嶰管
'jie'he 嶰壑
'jie'zhu 嶰竹
'jin'e 釿锷
'jing'he 鶄鹤
'jing'ji 箐鸡
'juan'juan 惓惓
'juan'juan 桊桊
'juan'shu 桊枢
'juan'yuan 埢垣
'jue'gui 誳诡
'jue'jie 蹻捷
'jue'jue 蹻蹻
'jue'yong 蹻勇
'jue'zu 蹻足
'jun'zhe 浚哲
'kai'ri 愒日
'kai'yin 愒阴
'ke'ke 壳壳
'ke'lou'zi 壳漏子
'ke'pi 壳皮
'ke'wu 壳物
'lao'zi 络子
'lao'zi 落子
'li'de 鱳得
'li'gong 柂工
'liu'che 斿车
'liu'gong 斿贡
'liu'zhou 碌碡
'lou'chu'ma'jiao 露出马脚
'lou'lian 露脸
'lu'an 潞安
'lu'bai 录白
'lu'ban 露板
'lu'ban 露版
'lu'bang'er 路傍儿
'lu'bian 鹿弁
'lu'bing 陆炳
'lu'bu 露布
'lu'bu'shi'yi 路不拾遗
'lu'cai'yang'ji 露才扬己
'lu'chai 鹿柴
'lu'chang 鹿肠
'lu'chao 橹巢
'lu'chao 陆钞
'lu'chao'xue'zuan 露抄雪纂
'lu'chao'xue'zuan 露钞雪纂
'lu'che 路车
'lu'che 露车
'lu'che 鹭车
'lu'che 鹿车
'lu'cheng 潞城
'lu'cheng 路程
'lu'cheng 陆澄
'lu'chuan 潞川
'lu'chuan 陆川
'lu'chuan 陆船
'lu'chuang 鹿床
'lu'ci 露次
'lu'cong 鹿葱
'lu'cu 趢趗
'lu'cui 峍崒
'lu'dan 路亶
'lu'dao 鹭翿
'lu'de 觻得
'lu'de'ming 陆德明
'lu'di 露地
'lu'di'bai'niu 露地白牛
'lu'di'niu 露地牛
'lu'dian 陆佃
'lu'dian 露电
'lu'dou 菉豆
'lu'duo 鹿埵
'lu'er 禄饵
'lu'er 騄耳
'lu'fei 路费
'lu'fei 陆费
'lu'fei 鹿菲
'lu'feng 禄丰
'lu'feng 陆丰
'lu'ge 鹿觡
'lu'gen 露根
'lu'gong 录公
'lu'gong 路弓
'lu'gu 路鼓
'lu'gu 鹭鼓
'lu'gu'shan 露骨山
'lu'gu'shan 鹿谷山
'lu'gu'zi 橹罟子
'lu'gui'bu 录鬼簿
'lu'gui'meng 陆龟蒙
'lu'hai 陆海
'lu'hai 鹿骇
'lu'hai'pan'jiang 陆海潘江
'lu'han 露寒
'lu'he 潞河
'lu'he 露劾
