'ai'ren'jun'zi'jiang'he'bao 爱人君子将何报
'ai'wu'tu'xi'zi'you'xiang 爱吾土兮自由乡
'an'an'wu'cai'qi 黯黯五彩旗
'an'de'yi'ren'qi 安得异人起
'an'shun'chang'bian'yi'wang'nan 安顺场边翼王难
'an'wen'qin'ci'yun'lin'lao'huai'an 安文钦次韵林老怀安
'ao'ran'chang'bai'ling 傲然长百灵
'ao'zhan'yi'bai'nian 鏖战已百年
'ba'biao'zheng'tong'hun 八表正同昏
'ba'jian'duan'heng'liu 拔剑断横流
'ba'jian'zhan'yao'fen 拔剑斩妖氛
'ba'li'gu'fu'miao'tang'tang 巴黎辜负庙堂堂
'ba'zai'jian'xin'zhi 八载坚心志
'bai'bu'nei'xi'sheng'bu'jiao 败不馁兮胜不骄
'bai'di'yu'jin'shi'zheng'han 白帝于今势正酣
'bai'li'yang'bian'zou'kai'hai 百里扬鞭奏凯还
'bai'nian'jia'guo'hen 百年家国恨
'bai'niao'fan'fan'he'liu'chou 白鸟翻翻荷柳愁
'bai'shan'hei'shui'chu'di'kou 白山黑水除敌寇
'bai'shan'xue'ran'hong 白山血染红
'bai'wan'jing'qi'da'zhan'kai 百万旌旗大展开
'ban'bi'he'shan'cun'hao'qi 半壁河山存浩气
'ban'bi'he'shan'lun'yi'yu 半壁河山沦异域
'ban'ri'jian'guang'cai 半日见光彩
'bao'da'guo'jia'na'ken'hai 报答国家哪肯还
'bao'guo'chou'tong'zhi'yi'tong 报国仇同志亦同
'bao'guo'gui'lai'tian'yu'mu 报国归来天欲暮
'bao'hu'man'huan'ying 豹虎满环瀛
'bao'wei'jie'fang'qu 保卫解放区
'bei'fa'qi'yang'geng'wei'feng 北伐旗扬更威风
'bei'fei'cui'can 被匪摧残
'bei'ju'zhuang'yan'xiang 备具庄严相
'bei'lue'nan'qin'fen'bu'ping 北略南侵愤不平
'bei'qiu'ke'yi'chong'yang'jie 悲秋客忆重阳节
'ben'wei'min'chu'hai 本为民除害
'bi'he'wei'jing'ji 彼何畏荆棘
'bi'tao'you'yun'si'qing'pin 碧桃有晕似轻颦
'bi'xue'chang'jiang'liu'bu'jin 碧血长江流不尽
'bi'zhen'zong'heng'neng'sao'xue 笔阵纵横能扫穴
'bian'cai'chi'du'long 辩才斥毒龙
'bian'cha'hong'qi'dong'hai'bian 遍插红旗东海边
'bian'hua'cang'sang'zhi'gu'zhong 变化沧桑指顾中
'bian'ti'dan'hen'yu'zhi'yan 遍体弹痕余只眼
'bian'zuo'chou'jiao 便做愁浇
'bing'tian'xue'di'da'ying'zha 冰天雪地大营扎
'bing'xue'he'shi'rong 冰雪何时融
'bo'de'xun'ming'wan'gu'chui 博得勋名万古垂
'bo'qiang'jin'zhou'chu 伯强今昼出
'bo'tao'shu'xian'e 波涛殊险恶
'bu'ci'jian'xian'chu'kui'men 不辞艰险出夔门
'bu'de'shou'si'fang 不得守四方
'bu'huan'bu'neng'rou 不患不能柔
'bu'jiao'jing'ji'mei'tong'tuo 不教荆棘没铜驼
'bu'mi'yi'bei'chen 不迷依北辰
'bu'pa'qiang 不怕强
'bu'pa'xue'shan'gao 不怕雪山高
'bu'xin'qing'kan'jin'ye'yue 不信请看今夜月
'bu'yan'jia'yu'shen 不言家与身
'bu'yi'gao'wei'xi'guan'chi 布衣高位惜官迟
'bu'yin'jia'jie'qiang'deng'lou 不因佳节强登楼
'bu'zhi'ren'yue'ji'shi'yuan 不知人月几时圆
'bu'zhi'shi'bai'yu'gong'cheng 不知事败与功成
'bu'zong'bu'shao'tao'bian'jing 逋踪不少逃边境
'cai'gao'guan'le'ming'he'zhi 才高管乐命何之
'cai'he'sen'shao'nian'xing 蔡和森少年行
'can'deng'bu'cheng'hong 残灯不成红
'can'qu'he'zu'xi 残躯何足惜
'can'qu'ren'er'fu'yue'lin 残躯任尔斧钺临
'cao'tan'ni'zhan'zuo'bei'wo 草毯泥毡作被窝
'ce'er'yuan'ting 侧耳远听
'ce'ma'bu'neng'xing 策马不能行
'ce'ma'hong'shan'ta'yue'xie 策马洪山踏月斜
'ce'shen'qian'ren'gang'tou'gao 侧身千仞岗头高
'ceng'ceng'cong'di'qi 层层从地起
'chai'lang'dang'dao'huo'qian'cun 豺狼当道祸千村
'chan'yan'po'ji'sheng'hong'tong 巉岩破寂声宏通
'chang'cheng'nei'wai'tie'qi'xuan 长城内外铁骑喧
'chang'shi'jiu'ru'xin 长使旧如新
'chang'shu'bian'jiang'wei'jiu'zhou 长戍边疆卫九州
'chang'zheng'xie'ma'ge 长征携马革
'chao'kong'cao'mu'jing 巢空草木惊
'che'hang'feng'yu'cui'ren'ji 车行风雨催人急
'chen'du'xiu'gao'shao'nian 陈独秀告少年
'chen'du'xiu'nan'zhou'you'lie'tu 陈独秀南洲游猎图
'chen'du'xiu'ya'mei'li'jia 陈独秀亚美利加
'chen'pan'bei'feng'leng'ri'xie 晨攀北峰冷日斜
'chen'song'shan'ge'ming'de'tie'zhen 陈松山革命的铁砧
'chen'xie'hui'ge'xia'wan'luo 陈谢挥戈下宛洛
'chen'yi'chou'mou'jun 陈毅酬某君
'chen'yi'da'shi'si'shou 陈毅答诗四首
'chen'yi'da'xue'guo'yan'men'guan 陈毅大雪过雁门关
'chen'yi'dao'luo'bing'hui'jiang'jun 陈毅悼罗炳辉将军
'chen'yi'deng'da'yu'ling 陈毅登大庾岭
'chen'yi'du'huang'he'zuo'ge 陈毅渡黄河作歌
'chen'yi'gong'ke'zao'zhuang 陈毅攻克枣庄
'chen'yi'ji'yi'yan 陈毅记遗言
'chen'yi'jian'guan'di'yan 陈毅间关抵延
'chen'yi'mei'ling'san'zhang 陈毅梅岭三章
'chen'yi'san'shi'wu'sui'sheng'ri'ji'huai 陈毅三十五岁生日寄怀
'chen'yi'si'shi'liu'sui'sheng'ri'shu'huai 陈毅四十六岁生日书怀
'chen'yi'song'dong'lao 陈毅送董老
'chen'yi'song'lin'lao'ru'shu 陈毅送林老入蜀
'chen'yi'wan'nan'shi'bian'shu'fen 陈毅皖南事变书愤
'chen'yi'xue'ye'xing'jun 陈毅雪夜行军
'chen'yi'yan'an'bao'ta'ge 陈毅延安宝塔歌
'chen'yi'yang'jia'ling'ji'tuan'zhu'shou 陈毅杨家岭集团祝寿
'chen'yi'ye'guo'feng'pei 陈毅夜过丰沛
'chen'yi'yin'fan'gong'xing'shi 陈毅吟反攻形势
'chen'yi'you'tai'hang'shan'xi'xing'zu'xue 陈毅由太行山西行阻雪
'chen'yi'zhong'qiu 陈毅中秋
'chen'yi'zhu'dong'lao'liu'xun'da'qing 陈毅祝董老六旬大庆
'chen'yi'zhu'liu'bo'cheng'jiang'jun 陈毅祝刘伯承将军
'chen'yun'kai'cao'di'xing 陈云开草地行
'cheng'bai'xing'wang'yi'ju'qi 成败兴亡一局棋
'cheng'gong 成功
'cheng'ji'tu'ji'wei'hua'bei 乘机突击围华北
'cheng'ren'you'zhi'hua'ying'bi 成仁有志花应碧
'cheng'zhu'ping'liao'ban'bi'tian 撑住平辽半壁天
'chi'bo'tiao'tiao'ren'qu'liu 赤膊条条任去留
'chi'dan'wei'jiang'lai 赤胆为将来
'chi'qu'gan'ru'ji'jing'di 驰驱甘入棘荆地
'chi'xing'xiao'chu'yuan 迟行笑褚渊
'chi'zhi'fei'yang'gu'cheng'tou 赤帜飞扬古城头
'chong'guang'zu'guo'jie'yu'hui 重光祖国借余辉
'chong'jian'ci'qian'kun 重建此乾坤
'chong'tian'zhuang'zhi'fu'fei'peng 冲天壮志付飞鹏
'chong'zheng'he'shan 重整河山
'chou'an'ke'yi'zhu'long'tou 筹安客意住龙头
'chu'bao'an'liang'ze'zai'jian 除暴安良责在肩
'chuan'bian'jun'shu'yan'zi'xie 传遍军书雁字斜
'chuan'dan'xue'fei'ren'ru'ma 传单雪飞人如麻
'chuang'guo'chong'chong'guan'du'xian 闯过重重关渡险
'chui'lao'qing'ying'liao'hai'qu 垂老请缨辽海去
'chui'liu'ru'yao'yu'man'wu 垂柳如腰欲曼舞
'chun'feng'zuo'tai'yi'mei'ren 春风作态已媚人
'chun'guang'can'lan'shu'qiu'feng 春光灿烂倐秋风
'chun'man'ren'jian'jin'zi'you 春满人间尽自由
'ci'feng'rui'li'ke'li'ting 词锋锐利可犁庭
'ci'jia'wan'li'fu'lian'pian 辞家万里赋联翩
'ci'mu'shang'qian'fang 辞母上前方
'ci'ri'san'jun'qi'tong'ku 此日三军齐痛哭
'ci'shu'zhi'jin'liang'qian'zai 此树至今两千载
'ci'yi'qu'yuan'li'jia'men 此一去远离家门
