'ba'ba'tian'gui'jie 八八天癸竭
'ba'wo'yin'yang 把握阴阳
'bei'fu'zhang 被服章
'bi'zhi'you'shi 避之有时
'bian'lie'xing'chen 辨列星辰
'bu'shi'yu'shen 不时御神
'bu'wang'zuo'lao 不妄作劳
'bu'zhi'chi'man 不知持满
'chang'er'dun'min 长而敦敏
'cheng'er'deng'tian 成而登天
'chun'de'quan'dao 淳德全道
'chun'qiu'jie'du'bai'sui 春秋皆度百岁
'cong'ba'feng'zhi'li 从八风之理
'du'li'shou'shen 独立守神
'er'ba'shen'qi'sheng 二八肾气盛
'er'qi'er'tian'gui'zhi 二七而天癸至
'fa'yu'yin'yang 法于阴阳
'fen'bie'si'shi 分别四时
'gao'xia'bu'xiang'mu 高下不相慕
'ge'cong'qi'yu 各从其欲
'gu'neng'xing'yu'shen'ju 故能形与神俱
'he'yu'shu'shu 和于术数
'he'yu'yin'yang 和于阴阳
'hu'xi'jing'qi 呼吸精气
'huang'di'nei'jing 黄帝内经
'ji'jing'quan'shen 积精全神
'ji'rou'ruo'yi 肌肉若一
'jie'de'suo'yuan 皆得所愿
'jing'shen'bu'san 精神不散
'jing'shen'nei'shou 精神内守
'ju'bu'yu'guan'yu'su 举不欲观于俗
'le'qi'su 乐其俗
'liu'ba'yang'qi'shuai'jie'yu'shang 六八阳气衰竭于上
'liu'qi'san'yang'mai'shuai'yu'shang 六七三阳脉衰于上
'mei'qi'shi 美其食
'nei'wu'si'xiang'zhi'huan 内无思想之患
'neng'shou'bi'tian'di 能寿敝天地
'ni'cong'yin'yang 逆从阴阳
'ni'yu'sheng'le 逆于生乐
'nian'ban'bai'er'dong'zuo'jie'shuai'zhe 年半百而动作皆衰者
'qi'ba'gan'qi'shuai 七八肝气衰
'qi'cong'yi'shun 气从以顺
'qi'ju'wu'jie 起居无节
'qi'ju'you'chang 起居有常
'qi'qi'ren'mai'xu 七七任脉虚
'qi'sui'shen'qi'sheng 七岁肾气盛
'qu'shi'li'su 去世离俗
'rang'jian'kang'geng'zi'ran 让健康更自然
'ren'qi'fu 任其服
'ruo'er'neng'yan 弱而能言
'san'ba'shen'qi'ping'jun 三八肾气平均
'san'qi'shen'qi'ping'jun 三七肾气平均
'shang'gu'tian'zhen'lun 上古天真论
'shen'zhe'zhu'shui 肾者主水
'sheng'er'shen'ling 生而神灵
'sheng'ren'zhe'chu'tian'di'zhi'he 圣人者处天地之和
'shi'shi'yu'yu'shi'su'zhi'jian 适嗜欲于世俗之间
'shi'ting'ba'da'zhi'wai 视听八达之外
'shi'yin'you'jie 食饮有节
'shi'yu'bu'neng'lao'qi'mu 嗜欲不能劳其目
'shou'wu'cang'liu'fu'zhi'jing'er'cang'zhi 受五藏六府之精而藏之
'si'ba'jin'gu'long'sheng 四八筋骨隆盛
'si'qi'jin'gu'jian 四七筋骨坚
'tai'chong'mai'sheng'yue'shi'yi'shi'xia 太冲脉盛月事以时下
'tian'tan'xu'wu 恬惔虚无
'tiao'yu'si'shi 调于四时
'wai'bu'lao'xing'yu'shi 外不劳形于事
'wu'ba'shen'qi'shuai 五八肾气衰
'wu'hui'chen'zhi'xin 无恚嗔之心
'wu'kuai'qi'xin 务快其心
'wu'qi'yang'ming'mai'shuai 五七阳明脉衰
'wu'you'zhong'shi 无有终时
'xian'ren'zhe'fa'ze'tian'di 贤人者法则天地
'xian'xiao'dou'chen'lao'shi 闲小豆陈老师
'xiang'si'ri'yue 象似日月
'xin'an'er'bu'ju 心安而不惧
'xing'bu'yu'li'yu'shi 行不欲离于世
'xing'lao'er'bu'juan 形劳而不倦
'xing'ti'bu'bi 形体不敝
'yi'hao'san'qi'zhen 以耗散其真
'yi'jiu'wei'jiang 以酒为浆
'yi'tian'yu'wei'wu 以恬愉为务
'yi'wang'wei'chang 以妄为常
'yi'yu'jie'qi'jing 以欲竭其精
'yi'zi'de'wei'gong 以自得为功
'yin'xie'bu'neng'huo'qi'xin 淫邪不能惑其心
'you'er'xun'qi 幼而徇齐
'you'xing'tian'di'zhi'jian 游行天地之间
'you'zhi'ren'zhe 有至人者
'zhang'fu'ba'sui'shen'qi'shi 丈夫八岁肾气实
'zhen'qi'cong'zhi 真气从之
'zhen'ren'zhe'ti'qie'tian'di 真人者提挈天地
'zhi'xian'er'shao'yu 志闲而少欲
'zi'ran'yang'geng'jian'kang 自然养更健康
'zui'yi'ru'fang 醉以入房
