'ai'li'xin 爱立信
'chuan'shu'zhuan'ye 传输专业
'chuan'tong'ji'zhan 传统基站
'dong'huan'jian'kong 动环监控
'fang'lei'jie'di 防雷接地
'fang'wei'jiao 方位角
'fang'xiang'jiao 方向角
'fen'li'shi'kai'guan'dian'yuan 分立式开关电源
'fu'gai'fan'wei 覆盖范围
'fu'gai'qu'yu 覆盖区域
'gui'hua'jing'du 规划经度
'gui'hua'wei'du 规划纬度
'hong'ji'zhan 宏基站
'hua'wei 华为
'ji'xie'xia'qing 机械下倾
'ji'zhan 基站
'kang'zhen'jia'gu 抗震加固
'la'yuan'zhan 拉远站
'li'xiang'pi'fu 立项批复
'nuo'ji'ya 诺基亚
'pei'tao 配套
'pin'duan 频段
'qian'ru'shi'kai'guan'dian'yuan 嵌入式开关电源
'she'ji'pi'fu 设计批复
'shi'fen'ji'zhan 室分基站
'wu'xian'zhuan'ye 无线专业
'xian'chang'xuan'zhi 现场选址
'xuan'zhi'jing'du 选址经度
'xuan'zhi'wei'du 选址纬度
'yi'ti'hua'pi'ji'zhan 一体化皮基站
'zhan'xing 站型
'zhi'fang'zhan 直放站
'zhi'liu'lie'tou'gui 直流列头柜
'zhong'xing 中兴
'zi'ben'kai'zhi 资本开支
'zong'he'ye'wu'qu 综合业务区
'zu'he'shi'kai'guan'dian'yuan 组合式开关电源
