'a'er'ma 阿尔玛
'a'jia'han 阿迦汗
'a'la'bo'ma 阿拉伯马
'a'la'qi 阿拉齐
'a'la'zi 阿拉兹
'a'li'da 阿里达
'a'long'dai'te 阿隆戴特
'a'qiao'si'duan'tu'jin'biao 阿乔斯短途锦标
'a'sai'bai'jiang 阿塞拜疆
'ai'bai'ling 爱百灵
'ai'dao'na 艾道拿
'ai'duo'bao 爱多宝
'ai'en'yi'ji 艾恩遗迹
'ai'guan 爱冠
'ai'huan'yue 爱欢跃
'ai'li'hang'cheng 爱丽航程
'ai'li'shu'ma 爱丽数码
'ai'li'su'zi 爱丽速子
'ai'li'wu 爱礼物
'ai'mu'cao 爱慕槽
'ai'mu'zhi'ji 爱慕织姬
'ai'ni'si'feng'shen 艾尼斯风神
'ai'ru'wang'xi 爱如往昔
'an'jiang'jing 鞍匠井
'an'shang 鞍上
'an'teng'sheng'ji 安藤胜己
'an'tian'ji'nian 安田纪念
'an'xiao'jie 安小姐
'ao'da'li'ya 澳大利亚
'ao'jia'sheng 傲家声
'ao'ke'si 奥克斯
'ao'ma'ha 奥马哈
'ao'meng'de 奥蒙德
'ao'nan'nu'jin'biao 奥南奴锦标
'ao'shi'yi'qie 傲视一切
'ao'si'ya 奥斯雅
'ao'zhou'sai'ma'hui'yu'ma'jin'biao 澳洲赛马会育马锦标
'ba'bi'lun'wang 巴比伦王
'ba'chong'wu'di 八重无敌
'ba'da'jing'zou 八大竞走
'ba'dao'ju 霸道驹
'ba'dun'jue'shi 巴顿爵士
'ba'fa'li'ya'da'sai 巴伐利亚大赛
'ba'ji'zhi'xing 巴基之星
'ba'li'da'sai 巴黎大赛
'ba'li'duo'er 巴利多尔
'ba'li'shi'yi'hui'da'sai 巴黎市议会大赛
'ba'mi'gao 巴米高
'ba'suo'long'xi 巴索隆系
'ba'te'shu 巴特殊
'bai'chuan'nv'shen 百川女神
'bai'da'ming'ma 百大名马
'bai'dai 白岱
'bai'duo'di 柏多迪
'bai'jin'kuang 白金矿
'bai'li'qin 百利钦
'bai'lie'te 柏列特
'bai'ling 白令
'bai'qi'da 白祈达
'bai'ren'shi'guang 白仁时光
'bai'se'cheng'bao 白色城堡
'bai'sheng'wei 百胜威
'bai'shi 柏市
'bai'shi'ji'nian 柏市纪念
'bai'ta'yi'cheng 百塔意城
'bai'ye'er'tu'er'qi 拜耶尔土耳其
'bai'zhao'lei 柏兆雷
'ban'ba'shi'li 班霸实力
'ban'di 半弟
'ban'jie 半姐
'ban'lu 坂路
'ban'mei 半妹
'ban'po 坂坡
'ban'shu 班数
'ban'xiong 半兄
'bang'nv'lang 邦女郎
'bang'zhong'jun 浜中俊
'bao'jin 爆进
'bao'leng 爆冷
'bao'li'gao 宝利高
'bao'tao 爆逃
'bao'tu 暴徒
'bao'wei 包尾
'bao'wei'wang 包围网
'bao'zhong 宝冢
'bao'zhong'ji'nian 宝冢纪念
'bei'bu'xuan'ju 北部玄驹
'bei'cun'hong'si 北村宏司
'bei'cun'you'yi 北村友一
'bei'di'wu'ren 北地舞人
'bei'dou'zhi'ji 北斗织姬
'bei'er'meng'te'jin'biao 贝尔蒙特锦标
'bei'er'meng'te'yuan 贝尔蒙特园
'bei'fang'fei'xiang 北方飞翔
'bei'fang'feng'wei 北方风味
'bei'fang'zhi'guang 北方之光
'bei'gang'huo'shan 北港火山
'bei'guo'dui'zhang 北国队长
'bei'jiu'zhou'ji'nian 北九州纪念
'bei'lai'feng 北来风
'bei'meng 贝蒙
'bei'shan'mu'chang 北山牧场
'bei'zhi'ren 贝知仁
'ben'an 苯胺
'ben'liu'bo'le 奔流伯乐
'ben'teng 奔腾
'beng'tiao 蹦跳
'bi'cha 鼻差
'bi'de'shi'ji 必得时机
'bi'li'shi'jin'biao 必利时锦标
'bi'sa'sheng'ju 比萨胜驹
'bi'xi'xi 必西西
'bian'mo'shu 变魔术
'biao'lie'sai 表列赛
'biao'zhi'ming'ju 标志名驹
'biao'zhi'yin'he 表之银河
'bie'ke 别克
'bin'xi'fa'ni'ya'de'bi 宾夕法尼亚德比
'bing'zou 并走
'bo'li 博力
'bo'zha'mu 博扎姆
'bu'bu'lei'ting 步步雷霆
'bu'bu'wen 步步稳
'bu'bu'you 步步友
'bu'lan'gao'jiao 布兰高角
'bu'mian'zhi'ye 不眠之夜
'bu'nao'zhen'gang 不挠真钢
'bu'pin 步频
'bu'wen 布文
'bu'yi'xue 布宜学
'bu'zhan'er'sheng 不战而胜
'cai'ming'shao 蔡明绍
'cai'pu'xiang'rong 菜圃向荣
'cai'qing'li'ji 才情丽骥
'cai'yi 彩衣
'cai'yue'han 蔡约翰
'can'kao'dian 参考点
'can'ran'yi'xin 灿然一新
'cang'xiang'ke'qi 苍箱可期
'cao'mei'lu 草莓路
'cao'shang'fei 草上飞
'ce'qi 策骑
'cha'zhui 差追
'chai'zhu'wang 柴竹王
'chan'ju 产驹
'chang'kuai'huo 畅快活
'chang'tu 长途
'chao'ban'ma 超班马
'chao'chang'jun'ji 超常骏骥
'chao'ji'xiao'hai'wan 超级小海湾
'chao'liang'xue 超良血
'chao'ma 超马
