'bai'ri'gong'ling 百日功灵
'bu'de'qi'zhen 不得其真
'bu'de'ze'qing 不得则倾
'bu'diao'bu'can 不凋不残
'chu'xuan'ru'pin 出玄入牝
'cun'wu'shou'you 存无守有
'dan'zai'shen'zhong 丹在身中
'de'dan'ze'ling 得丹则灵
'fei'bai'fei'qing 非白非青
'gu'di'shen'gen 固蒂深根
'gu'san'han'qiong 骨散寒琼
'hu'xi'yu'qing 呼吸育清
'huang'huang'hu'hu 恍恍惚惚
'hui'feng'hun'he 回风混合
'jie'shi'qiang'ming 皆是强名
'jing'he'qi'shen 精合其神
'jing'yi'qi'ying 精依气盈
'lv'jian'tian'guang 履践天光
'mei'zhe'nan'xing 昧者难行
'mian'mian'bu'jue 绵绵不绝
'miao'bu'ke'ting 妙不可听
'miao'li'zi'ming 妙理自明
'mo'chao'shang'di 默朝上帝
'qi'he'qi'zhen 气合其真
'qi'ju'ze'you 其聚则有
'qi'qiao'xiang'tong 七窍相通
'qi'san'ze'ling 其散则零
'qiao'qiao'guang'ming 窍窍光明
'qing'ke'er'cheng 顷刻而成
'ren'ge'you'jing 人各有精
'ru'huo'bu'fen 入火不焚
'ru'shui'bu'ni 入水不溺
'ruo'wang'ruo'cun 若亡若存
'san'pin'yi'li 三品一理
'shang'yao'san'pin 上药三品
'shen'he'qi'qi 神合其气
'shen'neng'fei'xing 神能飞形
'shen'neng'ru'shi 神能入石
'shen'yi'xing'sheng 神依形生
'shen'yu'qi'jing 神与气精
'sheng'ri'sheng'yue 圣日圣月
'song'bai'qing'qing 松柏青青
'song'chi'wan'bian 诵持万遍
'tai'he'chong'yi 太和充溢
'yao'yao'ming'ming 杳杳冥冥
'yi'de'yong'de 一得永得
'yi'ji'fei'sheng 一纪飞升
'zhao'yao'jin'ting 照耀金庭
'zhi'zhe'yi'wu 智者易悟
'zi'ran'shen'qing 自然身轻
