'a'da'ri'ge 阿达日格
'a'gui'tu 阿贵图
'a'ke'su 阿克苏
'a'la'gou 阿拉沟
'a'li'he 阿里河
'a'long'shan 阿龙山
'a'nan'zhuang 阿南庄
'a'shen'tu 嗄什吐
'a'tu'shi 阿图什
'a'wu'ni 阿乌尼
'a'zhai 阿寨
'ai'bu'gai 艾不盖
'ai'dai 埃岱
'ai'he 艾河
'ai'jia'cun 艾家村
'ai'tian 艾田
'ai'xing'xin'hao'ji 矮型信号机
'ai'you'ying 艾友营
'an'bei 安北
'an'fu'zhen 安富镇
'an'ji'hai 安集海
'an'jia'wan 安家湾
'an'kou'yao 安口窑
'an'niu'biao'shi 按钮表示
'an'qing'gou 安庆沟
'an'qing'xi 安庆西
'an'qing'xian 安庆线
'an'quan'dao'cha 安全道岔
'an'quan'dian'lu 安全电路
'an'quan'jian'li 安全监理
'an'quan'jie'dian 安全接点
'ang'nai 昂乃
'ao'gui'qi'huan 奥诡奇幻
'ao'lai 敖来
'ao'li'bu'gao 敖力布告
'ao'tou 敖头
'ba'cha'ji 扒碴机
'ba'chu 巴楚
'ba'da 叭嗒
'ba'dao'hao 八道壕
'ba'guan'he 巴关河
'ba'hu'li 八虎力
'ba'hu'ta 巴胡塔
'ba'ke'shu 八棵树
'ba'liang 坝梁
'ba'lun'tai 巴伦台
'ba'mian'cheng 八面城
'ba'mian'tong 八面通
'ba'miao 八庙
'ba'pan'xia 八盘峡
'ba'qiao'san'qiao 灞桥三桥
'ba'su'mu 八苏木
'ba'xian'tong 八仙筒
'ba'yan'gao'le 巴彦高勒
'ba'yan'guo'le 巴彦郭勒
'ba'zi'yi'qiang 八字翼墙
'bai'a'xian 白阿线
'bai'bi'guan 白壁关
'bai'cun 柏村
'bai'he 白合
'bai'hua'pai 白桦排
'bai'ji'gou 白芨沟
'bai'ji'po 白鸡坡
'bai'jian 白涧
'bai'kui'bao 白奎堡
'bai'lang 百浪
'bai'li'cun 百里村
'bai'lu'tang 白鹿塘
'bai'mu'jing 百亩井
'bai'sha'po 白沙坡
'bai'sha'tuo 白沙沱
'bai'shi'yan 白石岩
'bai'shui'jiang 白水江
'bai'tian'ba 白田坝
'bai'yin'cha'gan 白音察干
'bai'yin'ha'er 白银哈尔
'bai'yin'hu'shuo 白音胡硕
'bai'yin'ku'lun 白音库伦
'bai'yin'ta'la 白音他拉
'bai'yin'te'la 白音特拉
'bai'yin'xi 白银西
'bai'yuan 白源
'ban'bian'jie 半边街
'ban'dao'yuan 扳道员
'ban'gang'xing 半刚性
