'bei'di 北帝
'bu'si'tian'huang 不死天皇
'di'zun 帝尊
'dou'zhan'sheng'huang 斗战圣皇
'duan'de 段德
'e'mi'tuo'fo 阿弥陀佛
'gai'jiu'you 盖九幽
'hei'huang 黑皇
'hen'ren'da'di 狠人大帝
'heng'yu'da'di 恒宇大帝
'ji'hao'yue 姬皓月
'ji'zi 姬子
'ji'zi'yue 姬紫月
'lao'feng'zi 老疯子
'lao'zi 老子
'long'ma 龙马
'luan'gu'da'di 乱古大帝
'ming'zun 冥尊
'nan'yao 南妖
'pang'bo 庞博
'qing'di 青帝
'sheng'huang'zi 圣皇子
'shi'jia'mou'ni 释迦牟尼
'tai'yang'sheng'huang 太阳圣皇
'tai'yin'sheng'huang 太阴圣皇
'tian'huang'zi 天皇子
'wu'shi'da'di 无始大帝
'xi'huang'mu 西皇母
'xi'pu'sa 西菩萨
'xu'kong'da'di 虚空大帝
'xue'yue'qing 雪月清
'yao'di 妖帝
'ye'fan 叶凡
