'bao'li'ying 暴力莹
'ceng'qi 曾淇
'chen'xiao 陈晓
'chen'zhen'xi 陈真希
'chun'xing 春杏
'du'ming'li 杜明礼
'er'hu 二虎
'gao'sheng'yuan 高圣远
'gong'ci'en 龚慈恩
'he'run'dong 何润东
'hou'chang'rong 侯长荣
'hu'jia'da'xiao'jie 胡家大小姐
'hu'xing'er 胡杏儿
'hu'yong'mei 胡咏梅
'jing'yang'cheng 泾阳城
'jing'yang'shen'jia 泾阳沈家
'jing'yang'xian'ling 泾阳县令
'ke'ai'ying 可爱莹
'li'jie 李解
'li'ze'feng 李泽锋
'liu'pei'qi 刘佩琦
'pi'qi'nv'shang'sheng 痞气女商圣
'qian'hong 千红
'qian'hong'gu'niang 千红姑娘
'qing'mo'nv'ma'yun 清末女马云
'ren'zhong 任重
'san'ying'shang'ren 三硬商人
'san'yuan'dian'dang'hang 三原典当行
'shen'lao'fu'ren 沈老夫人
'shen'si'hai 沈四海
'shen'xing'yi 沈星移
'shen'yue'sheng 沈月生
'sun'li 孙俪
'tang'qun 唐群
'tu'er'dan 图尔丹
'tu'hao'ying 土豪莹
'tuo'xian'ying 脱线莹
'wan'mei'xi 万美汐
'wang'shi'jun 王世均
'wu'jia'lao'er 吴家老二
'wu'pin 吴聘
'wu'wei'wen 吴蔚文
'wu'yi 吴漪
'xie'jun'hao 谢君豪
'xu'fang'yi 许芳铱
'xu'nuo 许诺
'yu'hao'ming 俞灏明
'yue'se'fu'shen'fu 约瑟夫神父
'yue'yuan'fu'fu 月圆夫妇
'zeng'gao 甑糕
'zhang'chen'guang 张晨光
'zhang'tian'yang 张天阳
'zhao'bai'shi 赵白石
'zhao'zi'mo 赵子默
'zheng'shi 郑氏
'zhou'lao'si 周老四
'zhou'li'qi 周丽淇
'zhou'ying 周莹
