'ao'jia'lu'gui 凹甲陆龟
'ba'se'dong'ke 八色鸫科
'bai'chun'lu 白唇鹿
'bai'e'yan 白额雁
'bai'fu'hei'zhuo'mu'niao 白腹黑啄木鸟
'bai'fu'jun'jian'niao 白腹军舰鸟
'bai'guan 白鹳
'bai'guan'chang'wei'zhi 白冠长尾雉
'bai'he 白鹤
'bai'ji'tun 白暨豚
'bai'jian'diao 白肩雕
'bai'jing'chang'wei'zhi 白颈长尾雉
'bai'tou'he 白头鹤
'bai'tun'lu 白臀鹿
'bai'wei'hai'diao 白尾海雕
'bai'xian 白鹇
'bai'zhen'he 白枕鹤
'ban'lin'li 斑林狸
'ban'ling 斑羚
'ban'wei'lin'ge 斑尾林鸽
'ban'wei'zhen'ji 斑尾榛鸡
'bao 豹
'bao 鸨
'bei'shan'yang 北山羊
'cai'huan 彩鹮
'cang'ling 藏羚
'cang'qiu'hou 藏酋猴
'cang'yuan'ling 藏原羚
'cao'yuan'ban'mao 草原斑猫
'chai 豺
'chang'bi'yuan 长臂猿
'cheng'xiong'yao'juan 橙胸咬鹃
'chi'ban'ling 赤斑羚
'chi'jing'he 赤颈鹤
'chuan'shan'jia 穿山甲
'cong'lin'mao 丛林猫
'da'bi'hu 大壁虎
'da'liang'you'yuan 大凉疣螈
'da'ling'mao 大灵猫
'da'ni 大鲵
'da'xiong'mao 大熊猫
'dai'mao 玳瑁
'dan'ding'he 丹顶鹤
'di'gui 地龟
'diao'xiong 貂熊
'duan'wei'hou 短尾猴
'duan'wei'xin'tian'weng 短尾信天翁
'e'hou'ling 鹅喉羚
'e'xi 鳄蜥
'feng'hou 蜂猴
'feng'tou'yu'yan 凤头雨燕
'gao'bi'ling'yang 高鼻羚羊
'gui'zhou'you'yuan 贵州疣螈
'hai'nan'shan'zhe'gu 海南山鹧鸪
'hai'nan'tu 海南兔
'he'ji 河麂
'he'li 河狸
'he'ma'ji 褐马鸡
'he'zui'cui'niao 鹤嘴翠鸟
'hei'chang'wei'zhi 黑长尾雉
'hei'fu'ou 黑浮鸥
'hei'fu'sha'ji 黑腹沙鸡
'hei'guan 黑鹳
'hei'huan 黑鹮
'hei'ji 黑麂
'hei'jing'chang'wei'zhi 黑颈长尾雉
'hei'jing'he 黑颈鹤
'hei'jing'lu'ci 黑颈鸬鹚
'hei'ke'guo'jiu 黑颏果鸠
'hei'qin'ji 黑琴鸡
'hei'tou'jiao'zhi 黑头角雉
'hei'xian 黑鹇
'hei'xiong 黑熊
'hei'xiong'feng'hu 黑胸蜂虎
