'cai'gou'ding'dan 采购订单
'cai'gou'fa'piao 采购发票
'cang'ku'pan'dian 仓库盘点
'dui'deng'he'xiao 对等核销
'fei'yong'bao'xiao 费用报销
'gong'xu'hui'bao'dan 工序汇报单
'gong'ying'shang 供应商
'gou'ji 勾稽
'he'suan'xiang'mu 核算项目
'he'xiao 核销
'ke'hu 客户
'kuai'ji'ke'mu 会计科目
'ling'liao'dan 领料单
'sheng'chan'ren'wu'dan 生产任务单
'shi'ji'cheng'ben 实际成本
'shou'tuo'jia'gong 受托加工
'tou'liao'dan 投料单
'wai'gou'ru'ku 外购入库
'wei'wai'jia'gong 委外加工
'wu'liao 物料
'wu'liao'xu'qiu'ji'hua 物料需求计划
'xiao'shou'chu'ku 销售出库
'xiao'shou'ding'dan 销售订单
'xiao'shou'fa'piao 销售发票
'ying'fu'zhang'kuan 应付账款
