'a'la'bo'huo'bi'ji'jin'zu'zhi 阿拉伯货币基金组织
'a'la'bo'jing'ji'he'she'hui'fa'zhan'ji'jin 阿拉伯经济和社会发展基金
'a'mu'si'te'dan'lu'te'dan'yin'hang 阿姆斯特丹鹿特丹银行
'ba'ke'lai'yin'hang 巴克莱银行
'ba'li'guo'min'yin'hang 巴黎国民银行
'ba'li'he'lan'jin'rong'gong'si 巴黎荷兰金融公司
'ba'xi'yin'hang 巴西银行
'bao'jia'li'ya'ren'min'yin'hang 保加利亚人民银行
'bei'hai'yin'hang 北海银行
'bi'er'la'cai'tuan 比尔拉财团
'bo'lan'guo'jia'yin'hang 波兰国家银行
'bu'dong'chan'di'ya'yin'hang 不动产抵押银行
'cai'wu'gong'si 财务公司
'chang'qi'xin'yong'yin'hang 长期信用银行
'cheng'shi'yin'hang 城市银行
'chu'bei'yin'hang 储备银行
'chu'xu'dai'kuan'xie'hui 储蓄贷款协会
'chu'xu'yin'hang 储蓄银行
'cun'kuan'yin'hang 存款银行
'da'tong'man'ha'dun'yin'hang 大通曼哈顿银行
'dan'gui'yin'hang'zhi 单轨银行制
'dan'yi'yin'hang'zhi 单一银行制
'de'lei'si'dun'yin'hang 德累斯顿银行
'de'yi'zhi'lian'bang'yin'hang 德意志联邦银行
'de'yi'zhi'min'zhu'gong'he'guo'guo'jia'yin'hang 德意志民主共和国国家银行
'de'yi'zhi'yin'hang 德意志银行
'di'fang'yin'hang 地方银行
'di'ya'yin'hang 抵押银行
'di'yi'quan'ye'yin'hang 第一劝业银行
'dong'bei'yin'hang 东北银行
'dong'chan'yin'hang 动产银行
'dong'fang'hui'li'yu'su'yi'shi'yin'hang 东方汇理与苏伊士银行
'dong'fang'yin'hang 东方银行
'dong'hai'yin'hang 东海银行
'dong'jing'yin'hang 东京银行
'du'bang'cai'tuan 杜邦财团
'fa'guo'nong'ye'xin'dai'yin'hang 法国农业信贷银行
'fa'guo'xing'ye'yin'hang 法国兴业银行
'fa'lan'xi'yin'hang 法兰西银行
'fa'xing'yin'hang 发行银行
'fan'mei'kai'fa'yin'hang 泛美开发银行
'fei'hui'yuan'yin'hang 非会员银行
'fei'zhou'kai'fa'yin'hang 非洲开发银行
'fen'hang'zhi 分行制
'fu'nv'yin'hang 妇女银行
'fu'shi'yin'hang 富士银行
'fu'te'cai'tuan 福特财团
'gong'si'he'ying'yin'hang 公私合营银行
'gu'fen'yin'hang 股份银行
'guo'ji'chu'xu'yin'hang'xie'hui 国际储蓄银行协会
'guo'ji'fu'xing'kai'fa'yin'hang 国际复兴开发银行
'guo'ji'huo'bi'ji'jin'zu'zhi 国际货币基金组织
'guo'ji'jin'rong'gong'si 国际金融公司
'guo'ji'jing'ji'he'zuo'yin'hang 国际经济合作银行
'guo'ji'kai'fa'xie'hui 国际开发协会
'guo'ji'qing'suan'yin'hang 国际清算银行
'guo'ji'tou'zi'yin'hang 国际投资银行
'guo'jia'yin'hang 国家银行
'guo'min'lao'dong'yin'hang 国民劳动银行
'guo'min'xi'min'si'yin'hang 国民西敏寺银行
'guo'min'yin'hang 国民银行
'he'lan'tong'yong'yin'hang 荷兰通用银行
'he'lan'yin'hang 荷兰银行
'he'zi'yin'hang 合资银行
'he'zuo'yin'hang 合作银行
'hu'bu'yin'hang 户部银行
'hu'zhu'chu'xu'yin'hang 互助储蓄银行
'hua'bei'yin'hang 华北银行
'hua'qi'yin'hang 花旗银行
'hua'qi'yin'hang'cai'tuan 花旗银行财团
'hua'qiao'yin'hang 华侨银行
'hua'xue'yin'hang 化学银行
'hui'feng'yin'hang 汇丰银行
'hui'yuan'yin'hang 会员银行
'jia'li'fu'li'ya'cai'tuan 加利福利亚财团
'jiao'tong'yin'hang 交通银行
'jie'ke'he'si'luo'fa'ke'guo'jia'yin'hang 捷克和斯洛伐克国家银行
'jin'cha'ji'bian'qu'yin'hang 晋察冀边区银行
'jin'chu'kou'yin'hang 进出口银行
'jin'rong'ji'gou 金融机构
'kai'fa'yin'hang 开发银行
'ke'li'fu'lan'cai'tuan 克利夫兰财团
'ku'en'luo'bu'cai'tuan 库恩洛布财团
'kua'guo'yin'hang 跨国银行
'la'ding'huo'bi'tong'meng 拉丁货币同盟
'lao'ai'de'yin'hang 劳埃德银行
'li'ang'xin'dai'yin'hang 里昂信贷银行
'lian'bang'chu'bei'xi'tong 联邦储备系统
'lian'bang'chu'bei'yin'hang 联邦储备银行
'lian'bang'cun'kuan'bao'xian'gong'si 联邦存款保险公司
'lian'suo'yin'hang 连锁银行
'luo'ke'fei'le'cai'tuan 洛克菲勒财团
'luo'ma'ni'ya'guo'jia'yin'hang 罗马尼亚国家银行
'man'zhou'guo'zhong'yang'yin'hang 满洲国中央银行
'mei'guo'jin'chu'kou'yin'hang 美国进出口银行
'mei'zhou'yin'hang 美洲银行
'mi'de'lan'yin'hang 密德兰银行
'mo'gen'cai'tuan 摩根财团
'nan'si'hang 南四行
'nan'si'la'fu'ren'min'yin'hang 南斯拉夫人民银行
'nong'cun'xin'yong'he'zuo'she 农村信用合作社
'nong'cun'zhong'yang'jin'ku 农村中央金库
'nong'ye'xin'dai'xi'tong 农业信贷系统
'nong'ye'xin'yong'ji'jin'xie'hui 农业信用基金协会
'ou'zhou'huo'bi'he'zuo'ji'jin 欧洲货币合作基金
'ou'zhou'tou'zi'yin'hang 欧洲投资银行
'qing'suan'yin'hang 清算银行
'quan'neng'yin'hang'zhi 全能银行制
'ri'ben'chang'qi'xin'yong'yin'hang 日本长期信用银行
'ri'ben'kai'fa'yin'hang 日本开发银行
'ri'ben'shu'chu'ru'yin'hang 日本输出入银行
'ri'ben'xing'ye'yin'hang 日本兴业银行
'ri'ben'yin'hang 日本银行
'rui'dian'yin'hang 瑞典银行
'rui'shi'guo'jia'yin'hang 瑞士国家银行
'san'he'yin'hang 三和银行
'san'jing'xin'tuo'yin'hang 三井信托银行
'san'jing'yin'hang 三井银行
'san'ling'xin'tuo'yin'hang 三菱信托银行
'san'ling'yin'hang 三菱银行
'shang'ren'yin'hang 商人银行
'shang'ye'yin'hang 商业银行
'shi'jie'yin'hang 世界银行
'shi'ye'yin'hang 实业银行
'shuang'gui'yin'hang'zhi 双轨银行制
'si'hang 四行
'si'ren'yin'hang 私人银行
'su'lian'dui'wai'mao'yi'yin'hang 苏联对外贸易银行
'su'lian'guo'jia'yin'hang 苏联国家银行
'su'lian'jian'she'yin'hang 苏联建设银行
'ta'ta'cai'tuan 塔塔财团
'te'zhong'yin'hang 特种银行
'tie'xian'gong'si 贴现公司
'wai'hui'yin'hang 外汇银行
'wu'ren'yin'hang 无人银行
'wu'xian'chao'yin'hang 无现钞银行
'xi'bei'nong'min'yin'hang 西北农民银行
'xi'fei'huo'bi'lian'meng 西非货币联盟
'xiang'hu'yin'hang 相互银行
'xin'dai'xie'hui 信贷协会
'xin'tuo'tou'zi'gong'si 信托投资公司
'xin'yong'xie'tong'zu'he 信用协同组合
'xiong'ya'li'guo'jia'yin'hang 匈牙利国家银行
'ya'zhou'kai'fa'yin'hang 亚洲开发银行
'yi'da'li'yin'hang 意大利银行
'yi'si'lan'yin'hang 伊斯兰银行
'yin'hang 银行
'yin'hang'chi'gu'gong'si 银行持股公司
'yin'tuan'yin'hang 银团银行
'ying'ge'lan'yin'hang 英格兰银行
'zheng'fu'yin'hang 政府银行
'zhi'min'di'yin'hang 殖民地银行
'zhong'fei'huo'bi'qu 中非货币区
'zhong'guo'gong'shang'yin'hang 中国工商银行
'zhong'guo'guo'ji'xin'tuo'tou'zi'gong'si 中国国际信托投资公司
'zhong'guo'guo'jia'yin'hang 中国国家银行
'zhong'guo'nong'ye'yin'hang 中国农业银行
'zhong'guo'ren'min'bao'xian'gong'si 中国人民保险公司
'zhong'guo'ren'min'jian'she'yin'hang 中国人民建设银行
'zhong'guo'ren'min'yin'hang 中国人民银行
'zhong'guo'shi'ye'yin'hang 中国实业银行
'zhong'guo'tou'zi'yin'hang 中国投资银行
'zhong'guo'yin'hang 中国银行
'zhong'xin'shi'ye'yin'hang 中信实业银行
'zhong'yang'yin'hang 中央银行
'zhou'yin'hang 州银行
'zhu'you'xin'tuo'yin'hang 住友信托银行
'zhu'you'yin'hang 住友银行
'zhuan'ye'yin'hang 专业银行
'zhuan'ye'yin'hang'qi'ye'hua 专业银行企业化
'zhuan'ye'yin'hang'zhi 专业银行制
'zi'zhu'yin'hang 自助银行
'zu'lin'gong'si 租赁公司
