'bo'li'hua'dan'qiu 玻璃花蛋球
'bo'li'hua'long'jing 玻璃花龙睛
'cai'se'dan 彩色蛋
'cai'se'dan'feng 彩色蛋凤
'cai'se'dan'qiu 彩色蛋球
'cai'se'feng'wei'zhen'zhu 彩色凤尾珍珠
'cai'se'gao'tou 彩色高头
'cai'se'ha'ma'tou 彩色蛤蟆头
'cai'se'long'bei'qiu 彩色龙背球
'cai'se'long'jing 彩色龙睛
'cai'se'qiu'xing'zhen'zhu 彩色球形珍珠
'cai'se'shui'pao 彩色水泡
'cai'se'wen'yu 彩色文鱼
'chao'tian'long'qiu 朝天龙球
'che'qi'hei'shui'pao 扯旗黑水泡
'cheng'se'feng'wei'zhen'zhu 橙色凤尾珍珠
'die'wei'hong'long'jing 蝶尾红龙睛
'die'wei'mo'long'jing 蝶尾墨龙睛
'e'tou'hong 鹅头红
'e'tou'qiu 鹅头球
'feng'wei'e'tou 凤尾鹅头
'feng'wei'long'jing 凤尾龙睛
'he'ding'hong 鹤顶红
'hong'dan'qiu 红蛋球
'hong'feng'wei'zhen'zhu'fan'sai 红凤尾珍珠翻鳃
'hong'gao'tou'long'jing 红高头龙睛
'hong'hu'tou 红虎头
'hong'hu'tou'long'jing 红虎头龙睛
'hong'hu'tou'long'jing'qiu 红虎头龙睛球
'hong'long'bei 红龙背
'hong'long'jing'fan'sai 红龙睛翻鳃
'hong'long'jing'qiu 红龙睛球
'hong'shui'pao'yan 红水泡眼
'hong'tou'bai'long'jing 红头白龙睛
'hong'tou'cai'se'shui'pao 红头彩色水泡
'hong'tou'dan'feng 红头蛋凤
'hong'tou'long'bei 红头龙背
'hong'wen'yu'qiu 红文鱼球
'hong'zhen'zhu'long'jing 红珍珠龙睛
'hu'pi'dan'qiu 虎皮蛋球
'hu'tou'long'bei'deng'pao'yan 虎头龙背灯泡眼
'hua'dan'qiu 花蛋球
'hua'feng'wei'zhen'zhu 花凤尾珍珠
'hua'gao'tou 花高头
'hua'gao'tou'deng'pao'yan'long'jing 花高头灯泡眼龙睛
'hua'gao'tou'long'jing 花高头龙睛
'hua'gao'tou'qiu 花高头球
'hua'hu'tou 花虎头
'hua'long'jing'qiu 花龙睛球
'hua'shi'tou 花狮头
'hua'shui'pao 花水泡
'hua'wen'yu 花文鱼
'hua'zhao'tian'long 花朝天龙
'huang'gao'tou 黄高头
'huang'hu'tou 黄虎头
'jin'ji'yu 金鲫鱼
'lan'dan'feng 蓝蛋凤
'lan'dan'feng'qiu 蓝蛋凤球
'lan'dan'qiu 蓝蛋球
'lan'gao'tou 蓝高头
'lan'long'jing 蓝龙睛
'lan'long'jing'qiu 蓝龙睛球
'lan'shui'pao 蓝水泡
'lan'zhen'zhu 蓝珍珠
'long'bei'qiu 龙背球
'long'bei'zhong'jin'yu 龙背种金鱼
'ma'nao'yan 玛瑙眼
'mei'gui'hong'hu'tou'long'jing 玫瑰红虎头龙睛
'mo'hu'tou'long'jing 墨虎头龙睛
'mo'long'jing 墨龙睛
'mo'zhen'zhu'long'jing 墨珍珠龙睛
'pu'tao'yan 葡萄眼
'shi'er'hong'long'jing 十二红龙睛
'shi'tou'qiu 狮头球
'shi'zi'gun'xiu'qiu 狮子滚绣球
'shi'zi'tou 狮子头
'shuang'gua'hei'shui'pao 双挂黑水泡
'su'lan'hua'wen'yu 素兰花文鱼
'wen'yu 文鱼
'wu'qi'xiang'feng 五鳍相逢
'xi'que'hua'long'jing 喜鹊花龙睛
'yan'wei 燕尾
'yin'se'hong'tou'zhen'zhu 银色红头珍珠
'yin'shi'tou 银狮头
'yu'yin'tou 玉印头
'yu'yin'tou'qiu 玉印头球
'yuan'yang'shui'pao 鸳鸯水泡
'zhen'zhu'yu 珍珠鱼
'zhu'ding'zi'luo'pao 朱顶紫罗袍
'zhu'sha'shui'pao 朱砂水泡
'zi'dan'fan'sai 紫蛋翻鳃
'zi'dan'feng'qiu 紫蛋凤球
'zi'die'wei'long'jing 紫蝶尾龙睛
'zi'gao'tou 紫高头
'zi'gao'tou'long'jing 紫高头龙睛
'zi'gao'tou'qiu 紫高头球
'zi'hu'tou 紫虎头
'zi'hu'tou'long'jing 紫虎头龙睛
'zi'lan'hua'long'jing 紫兰花龙睛
'zi'long'jing 紫龙睛
'zi'long'jing'qiu 紫龙睛球
'zi'sha'shui'pao 紫砂水泡
'zi'zhen'zhu 紫珍珠
'zong'se'gao'tou'fan'sai 棕色高头翻鳃
