'ai'ce'ban 矮侧板
'ai'che'dian 爱车点
'ai'duan'ban 矮端板
'an'quan'dao'cha 安全道岔
'an'quan'xian 安全线
'bai'kuai 摆块
'bai'kuai'diao 摆块吊
'bai'ye'chuang 百叶窗
'ban'che 班车
'ban'gui'zha 扳轨闸
'ban'liang'shi'gang'jie'gou 板梁式钢结构
'ban'piao 半票
'ban'ye'deng 半夜灯
'ban'yuan'zhen'mu 半圆枕木
'ban'yun 搬运
'ban'yun'gong'ren 搬运工人
'bao'bi'tong'ti'jie'gou 薄壁筒体结构
'bao'fang 包房
'bao'hua'che 刨花车
'bao'jian'shi'wo'che 包间式卧车
'bao'yun 包运
'bei'fu'yun'shu'che 背负运输车
'bi'ban'xin'hao 臂板信号
'bi'mian'ji 比面积
'bi'rong'ji 比容积
'bi'suo'wei'zhi 闭锁位置
'bian'mo'ca'shi'jian'zhen'zhuang'zhi 变摩擦式减震装置
'bian'wei'fa 变位阀
'bian'zou'bian'xie'fa 边走边卸阀
'biao'qian 标签
'biao'zhun'gui'ju 标准轨距
'bo'cha 拨叉
'bo'wen'di'ban 波纹地板
'bo'xing'fu'ban 波形辐板
'bo'yin'lian'jie'qi 播音连接器
'bo'yin'zhuang'zhi 播音装置
'bu'piao 补票
'bu'zhai'che'xiu 不摘车修
'cai'nuan'zhuang'zhi 采暖装置
'can'che 餐车
'can'che'lv 残车率
'can'che'xi'chi 餐车洗池
'can'shi 餐室
'ce'deng 侧灯
'ce'jia'li'zhu 侧架立柱
'ce'jia'shang'xian'gan 侧架上弦杆
'ce'jia'shang'xie'xian'gan 侧架上斜弦杆
'ce'jia'tan'huang'cheng'tai 侧架弹簧承台
'ce'jia'xia'xian'gan 侧架下弦杆
'ce'jia'xia'xie'xian'gan 侧架下斜弦杆
'ce'liang 侧梁
'ce'men 侧门
'ce'pai'you'fa 侧排油阀
'ce'qiang 侧墙
'ce'qiang'bao'ban 侧墙包板
'ce'qing'che'ti 侧倾车体
'ce'zhu 侧柱
'ce'zhu'lian'tie 侧柱连铁
'ce'zhu'nei'bu'qiang 侧柱内补强
'cha'piao'yuan 查票员
'cha'xian 岔线
'cha'xin 岔心
'cha'xin'hu 岔心护
'cha'zhen 岔枕
'cha'zhuo 茶桌
'chang'kao'yi 长靠椅
'chang'mo'ca'shi'jian'zhen'zhuang'zhi 常摩擦式减震装置
'che'di'dian'xian'guan 车底电线管
'che'di'shu 车底数
'che'dian'fen'xian'he 车电分线盒
'che'ding'bing'xiang'leng'cang'che 车顶冰箱冷藏车
'che'ding'ce'liang 车顶侧梁
'che'ding'duan'heng'liang 车顶端横梁
'che'ding'heng'liang 车顶横梁
'che'ding'wan'liang 车顶弯梁
'che'ding'zong'liang 车顶纵梁
'che'duan'bing'xiang'leng'cang'che 车端冰箱冷藏车
'che'duan'huan'chong'qi 车端缓冲器
'che'gou 车钩
'che'gou'fu'yuan'zhuang'zhi 车钩复原装置
