'ai'er'li'ya'gong'guo 艾尔利亚公国
'ai'lie'la 艾列拉
'ai'lie'la'lu 艾列拉露
'ba'xi'li'si'ke 巴西利斯克
'bu'lun'xi'er'de'jiao'shi 布伦希尔德教室
'chong'huang'wu'jin'de'fa'fu'na 铳皇无尽的法夫纳
'de'jing'qing'kong 德井青空
'di'ya'lai'te'ning'ge 蒂亚莱特宁格
'dong'nei'ma'li'zi 东内麻里子
'fa'fu'na 法夫纳
'fei'li'er'ke'lei'si'te 菲莉尔克雷斯特
'fei'qi'yin'zi 废弃因子
'fu'li'duo 弗栗多
'gong'ze'jian'ye 宫沢健也
'gui'shan'xiu'zhi 桧山修之
'he'ka'tong'ke'rui'si 赫卡同克瑞斯
'he'la'si'wa'er'ge'er 赫拉斯瓦尔格尔
'hua'ze'xiang'cai 花泽香菜
'jian'ye 健也
'jin'yuan'shou'zi 金元寿子
'jing'shang'ma'li'nai 井上麻里奈
'kang'ti'long'zhong 抗体龙种
'ke'la'ken 克拉肯
'ke'la'ken'zi'bai 克拉肯兹拜
'li'chuan'sui'nai'hua 立川穗乃花
'li'sha 莉莎
'li'sha'hai'wo'ka 丽莎海渥卡
'li'wei'tan 利维坦
'lian'gong'ze 莲宫泽
'luo'ji 洛基
'luo'ji'yue'dun'hai'mu 洛基约顿海姆
'ma'yi'ka'si'tu'er'te 玛伊卡斯图尔特
'mi'de'jia'er 密得加尔
'mi'de'jia'er'xue'yuan 米德加尔学园
'nei'cun'shi'zi 内村史子
'ni'fu'er 尼福尔
'nuo'yin 诺因
'qi'li 琦莉
'qi'li'shi'er'te'er'mu'si'bei'er'hai'mu 奇力史尔特尔穆斯贝尔海姆
'ri'gao'li'cai 日高里菜
'shan'kou'li'hua'zi 山口立花子
'shang'wei'yuan'su 上位元素
'shen'yue 深月
'shi'jie'shu 世界树
'song'gang'zhen'cheng 松冈祯丞
'song'tian'li'hu 松田利冴
'tai'yang'shen 太阳神
'ti'ya 缇娅
'tian'luo'liu'xing 天落流星
'wan'you'chi'li 万有斥力
'wu'bu'liang'mei 物部良美
'wu'bu'shen'yue 物部深月
'wu'bu'you 物部悠
'wu'bu'zhao 物部櫂
'wu'se'fa'fu'na 无色法夫纳
'xian'ling'li'zi 显灵粒子
'xiao'gong'dou 筱宫都
'xiao'gong'yao 筱宫遥
'ya'zhi'dun 牙之盾
'yi'li'si 伊莉丝
'yi'li'si'fu'lei'ya 伊莉丝芙蕾雅
'you'ke'te'la'xi'er 尤克特拉希尔
'zai'e'shi'jian 灾厄时间
'zao'jian'sha'zhi 早见沙织
'zhao'cang'ai'mei 沼仓爱美
'zhong'zhi'jian 终之箭
'zuo'cang'ling'yin 佐仓绫音
