'bai'hei'bing'dong 白黑病栋
'bing'ming'wei'ai 病名为爱
'chou'xiang'de'fei'hua 抽象的废话
'ci'chu'ji'jie'wo'deng'jing'yin'yi'jia 此处集结我等镜音一家
'dian'zi'tian'shi 电子天使
'dong'jing'tai'di'xiong 东京泰迪熊
'duo'cai'de'xuan'lv 多彩的旋律
'e'zhi'niang 恶之娘
'gu'du'de'jin'tou 孤独的尽头
'hai'zi'qi'de'zhan'zheng 孩子气的战争
'hui'hen'de'xun'xi 悔恨的讯息
'jiao'ju'you'ai 蕉橘有爱
'jing'yin'ling 镜音铃
'jiu'zhe'yang'si'le'ye'tai'mei'chu'xi'le 就这样死了也太没出息了
'ju'zi'wan'sui 橘子万岁
'lie'deng'shang'deng 劣等上等
'ling'hun'zhuan'sheng 铃魂转生
'ling'jiang 铃酱
'ling'sheng'de'xun'xi 铃声的讯息
'lu'xin'rong'jie 炉心融解
'mi'shi'zhe'de'hao'ku 迷失者的号哭
'miu'jian'de'ma'xi'tuan 谬见的马戏团
'ni'hao'fan'wu'tuo'bang 你好反乌托邦
'sha'lu'ren'ou'de'bao'fa 杀戮人偶的爆发
'shen'de'sui'bo'zhu'liu 神的随波逐流
'shen'hai'di'xia'cheng'shi 深海地下城市
'shi'jie'zheng'fu 世界征服
'shuang'zi'zuo 双子座
'sui'bian'sui'bian'sui'bian 随便随便随便
'tian'le 天乐
'tuo'yu 脱狱
'wang'nv'dian'xia 王女殿下
'wo'de'ya'lu'ji 我的压路机
'wo'zai'zhe'li 我在这里
'xi'huan'tao'yan 喜欢讨厌
'xia'ke'shang 下克上
'xiang'jiao'wan'sui 香蕉万岁
'xu'nuo 许诺
'ya'lu'ji'zui'su'chuan'shuo 压路机最速传说
'yao'kong'qi 遥控器
'yi'lian'qu'na'li'le 咦连去哪里了
'yi'lv'bo'ge 伊吕波歌
'you'jian'zhi'die 右肩之蝶
'you'yu'de'xin'qing 忧郁的心情
'yu'meng'lou 雨梦楼
'zai'jiao'yu 再教育
'zhou'mo'ji'jiang'dao'lai 周末即将到来
