'an'yang'zhang 安阳张
'ba'fang'zi'mu 八方子母
'bao'fan'kou'ji'xie 保反扣机械
'bao'fan'kou'shuang'kuai 保反扣双快
'bao'shuang'kuai 保双快
'deng'feng'liu 登封刘
'dong'jian'cai 东建材
'fu'xing 福星
'guan'lin'li 关林李
'ji'xiang 吉祥
'jiao'zuo 焦作
'kai'feng'liu 开封刘
'long'he 龙和
'long'wei 龙威
'long'xiang 龙祥
'long'yun 龙韵
'long'yun'suo'xin 龙韵锁芯
'long'yun'zi'mu 龙韵子母
'long'yun'zi'mu'nei 龙韵子母内
'luo'yang'xu 洛阳徐
'men'ye 门业
'nan'yang'li 南阳李
'ping'ding'shan'li 平顶山李
'ping'ding'shan'zhang 平顶山张
'pu'yang'yang 濮阳杨
'wan'fan'kou'shuang'kuai 万反扣双快
'wan'hua'ao 万华奥
'wan'shuang'yuan 万双圆
'wen'xian'zhi 温县职
'xi'zhan'lu 西站路
'xin'mi'qu 新密屈
'xin'xiang 新乡
'xin'yang'zheng 信阳郑
'yong'he 永和
'zheng'zhou'li 郑州李
