'ban'cai 版材
'bao'zhuang'bao'mo 包装薄膜
'bao'zhuang'fang'wei 包装防伪
'bao'zhuang'yin'shua'jia'gong 包装印刷加工
'biao'zhi'fang'wei 标识防伪
'bo'li'lei'yin'shua 玻璃类印刷
'bo'li'you'mo 玻璃油墨
'bu'gan'jiao'yin'shua 不干胶印刷
'chan'pin'fang'wei 产品防伪
'da'kong'ji 打孔机
'da'ma 打码
'da'yang'ji 打样机
'dan'ju 单据
'dian'yun'bi 电晕笔
'du'xi'ban'juan'ma'kou'tie 镀锡板卷马口铁
'er'shou'yin'shua'she'bei 二手印刷设备
'fang'wei'ji'shu'chan'pin 防伪技术产品
'fang'zhi'ji'pi'ge'lei'yin'shua 纺织及皮革类印刷
'fen'li'bao'mo 分离薄膜
'fen'qie'ji 分切机
'fu'he'ji 复合机
'fu'he'lei'yin'shua 复合类印刷
'fu'mo'ji 覆膜机
'gong'neng'bao'mo 功能薄膜
'gua'li'yin'shua 挂历印刷
'gua'mo'dao 刮墨刀
'hai'bao'yin'shua 海报印刷
'jiang'jie'bao'mo 降解薄膜
'jiao'ban'zhi 胶版纸
'jiao'gun 胶辊
'jiao'juan 胶卷
'jiao'mo'bang 搅墨棒
'jiao'pian 胶片
'jiao'yin'ji 胶印机
'jin'shu'lei'yin'shua 金属类印刷
'kai'cao'ji 开槽机
'kao'bei'zhi 拷贝纸
'ming'pian'yin'shua 名片印刷
'mu'qie'ji 模切机
'nong'yong'bao'mo 农用薄膜
'pen'ma'ji 喷码机
'piao'ju'yin'shua 票据印刷
'qi'ta'bao'zhuang'yin'shua'jia'gong 其他包装印刷加工
'qi'ta'fang'wei'ji'shu'chan'pin 其他防伪技术产品
'qi'ta'shang'ye'yin'shua'jia'gong 其他商业印刷加工
'qi'ta'su'liao'bao'mo 其他塑料薄膜
'qi'ta'wen'hua 其他文化
'qi'ta'yin'hou'jia'gong'she'bei 其他印后加工设备
'qi'ta'yin'qian'chu'li'she'bei 其他印前处理设备
'qi'ta'yin'shua'ji 其他印刷机
'qi'ta'yin'shua'ji'xie'zhuan'yong'pei'jian 其他印刷机械专用配件
'qi'ta'you'mo 其他油墨
're'min'zhi 热敏纸
'rou'yin'ji 柔印机
'sao'miao'yi 扫描仪
'se'biao 色标
'se'ka 色卡
'shai'ban'ji 晒版机
'shang'biao'fang'wei 商标防伪
'shang'guang'ji 上光机
'shang'ye'yin'shua'jia'gong 商业印刷加工
'shu'kan'yin'shua'jia'gong 书刊印刷加工
'shu'kan'zhi 书刊纸
'shu'ma'yin'shua'ji 数码印刷机
'shui'gun 水辊
'shui'yin'zhi 水印纸
'si'yin'ji 丝印机
'su'liao'bao'mo 塑料薄膜
'su'liao'lei'yin'shua 塑料类印刷
'su'liao'you'mo 塑料油墨
'tai'li'yin'shua 台历印刷
'tang'jin'ji 烫金机
'tao'ci'lei'yin'shua 陶瓷类印刷
'tao'ci'you'mo 陶瓷油墨
'tong'ban'zhi 铜版纸
'wen'hua 文化
'wen'jian'fang'wei 文件防伪
'xiang'pi'bu 橡皮布
'xin'feng'yin'shua 信封印刷
'xin'wen'zhi 新闻纸
'xin'xi'yong'hua'xue'pin 信息用化学品
'xuan'chuan'ce'yin'shua 宣传册印刷
'xuan'zhi 宣纸
'ya'hen'ji 压痕机
'ya'wen'ji 压纹机
'ya'zhi'lun 压纸轮
'yi'shu'zhi 艺术纸
'yi'yin'ji 移印机
'yin'bu'you'mo 印布油墨
'yin'hou'jia'gong'she'bei 印后加工设备
'yin'qian'chu'li'she'bei 印前处理设备
'yin'shua'cai'liao 印刷材料
'yin'shua'fu'wu 印刷服务
'yin'shua'hao'cai'dai'li 印刷耗材代理
'yin'shua'ji 印刷机
'yin'shua'ji'xie'zhuan'yong'pei'jian 印刷机械专用配件
'yin'shua'jian'ce'yi'qi 印刷检测仪器
'yin'shua'pei'tao'she'bei 印刷配套设备
'yin'shua'she'bei 印刷设备
'yin'shua'xiang'mu'he'zuo 印刷项目合作
'yin'shua'yong'zhi 印刷用纸
'yin'tie'you'mo 印铁油墨
'yin'zhang'fang'wei 印章防伪
'yin'zhi'you'mo 印纸油墨
'you'jia'zheng'quan'fang'wei 有价证券防伪
'you'mo 油墨
'you'piao'zhi 邮票纸
'zhao'pai'ji 照排机
'zhe'ye'ji 折页机
'zheng'jian 证件
'zhi'ban'ji 制版机
'zhi'lei'yin'shua 纸类印刷
'zhu'mu'lei'yin'shua 竹木类印刷
'zhuang'ding'ji 装订机
'zi'dian'zhi 字典纸
