'ai'jiu'yi'zun'chang'zai'pang 爱酒一樽常在旁
'ai'shu'zhu'wei'guan 艾束著危冠
'ai'zhi'xie'xing'xian'zuo'cao 矮纸斜行闲作草
'an'de'qian'xun'heng'tie'suo 安得千寻横铁锁
'an'de'yuan'long'bai'chi'lou 安得元龙百尺楼
'ba'qiao'yan'liu 灞桥烟柳
'bai'fa'jiang'jun'yi'zhuang'zai 白发将军亦壮哉
'bai'fa'xiao'xiao'wo'ze'zhong 白发萧萧卧泽中
'bai'lang'ru'shan'ji'hao'zhuang 白浪如山寄豪壮
'ban'zhan'tu'su'you'wei'ju 半盏屠苏犹未举
'bei'fen'you'zheng'bao'jian'han 悲愤犹争宝剑寒
'bei'feng'chui'xue'si'geng'chu 北风吹雪四更初
'bei'ge'ji'zhu 悲歌击筑
'bi'jing'cheng'chen 毕竟成尘
'bi'jing'xiao'mo'qu 毕竟消磨去
'bie'shi'gong'ming 别是功名
'bin'si'sheng 鬓丝生
'bin'sui'can 鬓虽残
'bin'xian'qiu 鬓先秋
'bing'qi'shu'huai 病起书怀
'bu'bei'dong'wei'shu 布被冬未赎
'bu'fang'sui'chu'yi'kai'yan 不妨随处一开颜
'bu'gu'sheng'zhong'xia'ling'xin 布谷声中夏令新
'bu'jian'xiang'yang'deng'lan 不见襄阳登览
'bu'kan'zhong'sheng 不堪重省
'bu'pa'nian'tian'lang 不怕黏天浪
'bu'shi'ren'jian'pian'wo'lao 不是人间偏我老
'bu'suan'zi'yong'mei 卜算子咏梅
'bu'xu'xin'ku'mu'gong'qing 不须辛苦慕公卿
'cai'yao'gui'lai 采药归来
'cao'shen'wu'chu'bu'ming'wa 草深无处不鸣蛙
'ceng'shi'chao'yi'ran'yu'xiang 曾是朝衣染御香
'ceng'shi'jing'hong'zhao'ying'lai 曾是惊鸿照影来
'ceng'shi'qi'tun'can'lu 曾是气吞残虏
'cha'gan'fan'ruan 茶甘饭软
'chai'jing'tian'shui 柴荆添睡
