'a'guai 阿怪
'a'niu 阿牛
'a'si'pi'lin 阿司匹林
'ai'dao'feng 爱到疯
'ai'de'kui'lei 爱的傀儡
'ai'mei'you'zuo'you 爱没有左右
'ai'ni'ru'gu 爱你入骨
'ai'pin'cai'hui'ying 爱拼才会赢
'ai'qing'you'zhi 爱情幼稚
'ai'qing'zhuan'yi 爱情转移
'ai'shang'ni'shi'wo'yan'jing'de'cuo 爱上你是我眼睛的错
'ai'shi'huai'yi 爱是怀疑
'ai'shi'yi'ben'shu 爱是一本书
'an'shou'ben'fen 安守本分
'ba'he 拔河
'ba'li'gong'lu 八里公路
'bai'fang 拜访
'bai'mei'gui 白玫瑰
'bai'se'qiu'xie 白色球鞋
'bao'tian'tian'wu 暴殄天物
'bei'duo'fen'yu'wo 贝多芬与我
'bian'se'long 变色龙
'bu'liang'shi'hao 不良嗜好
'bu'neng'zai'deng'dai 不能在等待
'bu'qiu'ren 不求人
'bu'ran'ni'yao'wo'zen'me'yang 不然你要我怎么样
'bu'ru'bu'jian 不如不见
'bu'ru'zhe'yang 不如这样
'bu'shui 不睡
'bu'xiang'fang'shou 不想放手
'bu'yao'shuo'hua 不要说话
'bu'zai'wen'jiu'jing 不再问究竟
'bu'zhi'suo'wei 不知所谓
'cai'cai'xun 猜猜寻
'chao'ren'de'zhu'ti'qu 超人的主题曲
'chao'ren'di'jia 超人迪加
'chen'yi'xun 陈奕迅
'chen'yi'xun'kua'shi'ji'guo'yu'jing'xuan 陈奕迅跨世纪国语精选
'chen'yi'xun'zhi'yin'yue'guo'du 陈奕迅之音乐国度
'chong'ai 宠爱
'chong'kou'er'chu 冲口而出
'chou'mei 臭美
'chui'wei'feng 吹微风
'chun'guang'zha'xie 春光乍泄
'cong'wei'chi'xin 从未痴心
'da'de'huo're 打得火热
'da'de'tai'kuai 大得太快
'da'ge'nv 大个女
'da'hui'yuan'xing 打回原形
'da'ji'xiang 大激想
'da'kai'yan'jie 大开眼界
'dan'che 单车
'dang'xin'zhong'you'lian'ai'gan'jue 当心中有恋爱感觉
'dang'zhe'di'qiu'mei'you'hua 当这地球没有花
'dao'ci'yi'you 到此一游
'dao'dai'ren'sheng 倒带人生
'di'deng'dong'wu 低等动物
'di'diao 低调
'di'wu'ge'xian'dai'hua 第五个现代化
'di'yi'ge'ya'pi'shi 第一个雅皮士
'di'yi'lei'jie'chu 第一类接触
'du'ju'dong'wu 独居动物
'dui'bu'qi'xie'xie 对不起谢谢
'duo'yi'dian 多一点
'er'ge'ren'de'ye'wan 二个人的夜晚
'fan'gao'chao 反高潮
'fan'zheng'shi'wo 反正是我
'fang'bu'sheng'fang 防不胜防
'fang'xia'lai 放下来
'fei'zou'bu'ke 非走不可
'fu'cheng 浮城
'fu'kua 浮夸
'fu'shi'shan'xia 富士山下
'gan'dong 感动
'gan'qing'yue 感情约
'ge'ge'ge'ge 个个个个
'gei'ai'li'si 给爱丽丝
'gu'du'tan'ge 孤独探戈
'gu'er'zai 孤儿仔
'gu'shi 故事
'guai'wu 怪物
'hao'jiu'bu'jian 好久不见
'hao'ju'hao'san 好聚好散
'he'ping'fan'dian 和平饭店
'hei'an'zhong'de'man'wu 黑暗中的漫舞
'hei'bai'hui 黑白灰
'hei'mian 黑面
'hei'ye'bu'zai'lai 黑夜不再来
'hei'ze'ming 黑泽明
'hong'mei'gui 红玫瑰
'hou'tai 后台
'hua'tie'lu'che'zhan 滑铁卢车站
'huai'qing'ren 坏情人
'huan'ji 换季
'huang'jin'shi'dai 黄金时代
'huang'yan 谎言
'hui'tong'tian'xia 汇通天下
'hun'li'de'zhu'fu 婚礼的祝福
'huo'yue'zheng 活跃症
'huo'zhe'duo'hao 活着多好
'ji'jun 季军
'ji'mo'rang'ni'geng'kuai'le 寂寞让你更快乐
'ji'mo'zou'ming'qu 寂寞奏鸣曲
'ji'xu'feng'yu 几许风雨
'jie'shu'kai'shi 结束开始
'jie'yao 解药
'jin'ri 今日
'jin'tian'deng'wo'lai 今天等我来
'kai'bu'liao'xin 开不了心
'kuai'gao'zhang'da 快高长大
'kuai'le'nan'sheng 快乐男生
'kuang're'ge'ming 狂热革命
'kuang'ren'ri'ji 狂人日记
'la'ji 垃圾
'liang'ming'nan'zi'jie'tou'xiang'yu 两名男子街头相遇
'lu'yi'zhi'dou'zai 路一直都在
'luo'hua'liu'shui 落花流水
'ma'li'ao'pai'dui 玛丽奥派对
'mei'li'huang'yan 美丽谎言
'mei'li'you'zui 美丽有罪
'mei'man'ren'sheng 美满人生
'mei'yi'ge'ming'tian 每一个明天
'mei'you'ni 没有你
'mei'you'shou'ji'de'ri'zi 没有手机的日子
'mian'mian 绵绵
'ming'nian'jin'ri 明年今日
'nan'ren'de'cuo 男人的错
'ni'de'bei'bao 你的背包
'ni'de'chen'yi'xun'guo'yu'jing'xuan 你的陈奕迅国语精选
'ni'hui'bu'hui 你会不会
'pa'si 怕死
'piao'liang'xiao'jie 漂亮小姐
'pu'tao'cheng'shu'shi 葡萄成熟时
'qi'shi'wo'ji'de 其实我记得
'qin'jin 亲近
'qing'jie 情诫
'qing'shen'zen'me'ban 情深怎么办
'quan'shi'jie'shi'mian 全世界失眠
'qun'xia'zhi'chen 裙下之臣
'ran'hou'ne 然后呢
'ran'hou'zen'yang 然后怎样
're'dai'yu'lin 热带雨林
're'dao'xiao'ye'qu 热岛小夜曲
'ren'che'zhi 人车志
'ren'gong'zhi'neng 人工智能
'ren'lai'ren'wang 人来人往
'ren'le'ba 认了吧
'ren'shen'dou 人神斗
'ren'zao'wei'xing 人造卫星
'san'ge'ren'de'tan'ge 三个人的探戈
'shang'xin 伤信
'shang'xin'hua'she 伤心花舍
'shang'xin'zheng'ming'shu 伤心证明书
'shao'jian'bu'guai 少见不怪
'sheng'dan'jie 圣诞结
'shi'dai'ju'lun 时代巨轮
'shi'dai'qu 时代曲
'shi'guang'dao'liu'nian 时光倒流年
'shi'jie 世界
'shi'lian'tai'shao 失恋太少
'shi'mian'mai'fu 十面埋伏
'shi'nian 十年
'shi'zhong'wo'xi'wo 始终我系我
'song'yuan'tu'zhong 送院途中
'sui'yi'men 随意门
'sui'yue'ru'ge 岁月如歌
'ta'yi'ge'ren 他一个人
'tai'kong'man'you 太空漫游
'tan'kai'shuang'shou 摊开双手
'tao'kong 掏空
'tao'tai 淘汰
'tian'gong'di'dao 天公地道
'tian'shi'de'li'wu 天使的礼物
'tian'wang 天网
'tian'xia'tai'ping 天下太平
'tian'xia'wu'shuang 天下无双
'tian'you'ai'ren 天佑爱人
'tiao'zao'shi'chang 跳蚤市场
'ting'ting 听听
'tu'xing'huan 土星环
'wan'fo'chao'zong 万佛朝宗
'wang'ji'ge'ci 忘记歌词
'wang'yue 望月
'wen'shi'xiao'ying 温室效应
'wo'bu'hao'ai 我不好爱
'wo'de'kai'shi'zai'zhe'li 我的开始在这里
'wo'de'kuai'le'shi'dai 我的快乐时代
'wo'de'shi'jie'mo'ri 我的世界末日
'wo'de'zui'hao'shi'dai 我的最好时代
'wo'gan'ji 我感激
'wo'men'bu'ku'le 我们不哭了
'wo'men'dou'ji'mo 我们都寂寞
'wo'pa'ni'bu'ken 我怕你不肯
'wo'shen'me'dou'mei'you 我什么都没有
'wo'ye'bu'hui'na'me'zuo 我也不会那么做
'wo'you'wo'ai'ni 我有我爱你
'wo'zen'me'ke'yi'ku 我怎么可以哭
'wo'zhong'yu'fang'kai'le'ta 我终于放开了她
'wu'xing'ji'de'jia 五星级的家
