'an'huang'le'ling 氨磺乐灵
'an'lv'bi'ding'suan 氨氯吡啶酸
'bai'cao'ku 百草枯
'ben'huang'long 苯磺隆
'ben'yang'suo'suan'lei 苯氧羧酸类
'ben'zuo'cao'tong 苯唑草酮
'bi'cao'mi 吡草醚
'bi'fu'he'cao'ling 吡氟禾草灵
'bi'fu'xian'cao'an 吡氟酰草胺
'bian'mi'huang'long 苄嘧磺隆
'bing'ben'huang'long 丙苯磺隆
'bing'cao'an 丙草胺
'bo'ke'xi'er 伯克希尔
'cao'an'lin 草铵膦
'cao'chu'ling 草除灵
'cao'gan'lin 草甘膦
'chu'cao'da'ka 除草大咖
'chu'cao'mi 除草醚
'di'cao'kuai 敌草快
'di'le'an 地乐胺
'dian'jia'huang'long 碘甲磺隆
'dian'jia'huang'long'na'yan 碘甲磺隆钠盐
'ding'cao'an 丁草胺
'ding'huang'cao'an 啶磺草胺
'ding'mi'huang'long 啶嘧磺隆
'ding'zhi 丁酯
'e'qin'cao'tong 噁嗪草酮
'e'zuo'he'cao'ling 噁唑禾草灵
'e'zuo'xian'cao'an 噁唑酰草胺
'er'ben'mi'lei 二苯醚类
'er'jia'si'lv 二甲四氯
'er'jia'si'lv'er'an'yan 二甲四氯二胺盐
'er'jia'si'lv'na 二甲四氯钠
'er'jia'si'lv'yi'xin'zhi 二甲四氯异辛酯
'er'jia'wu'ling 二甲戊灵
'er'lv'bi'ding'suan 二氯吡啶酸
'fang'yang'ben'yang'bing'suan'zhi'lei 芳氧苯氧丙酸酯类
'feng'mi'huang'long 砜嘧磺隆
'fu'bi'jia'he'ling 氟吡甲禾灵
'fu'bi'xian'cao'an 氟吡酰草胺
'fu'cao'tong 呋草酮
'fu'ding'mi'huang'long 氟啶嘧磺隆
'fu'ding'xian'cao'an 氟丁酰草胺
'fu'huang'an'cao'mi 氟磺胺草醚
'fu'le'ling 氟乐灵
'fu'lv'bi'ding'zhi 氟氯吡啶酯
'fu'mi'chun 呋嘧醇
'fu'sai'cao'an 氟噻草胺
'fu'tong'huang'long 氟酮磺隆
'fu'zuo'huang'long 氟唑磺隆
'gao'xiao'fu'bi'jia'he'ling 高效氟吡甲禾灵
'he'cao'ling 禾草灵
'huan'ben'cao'tong 环苯草酮
'huan'bing'cao'tong 环丙草酮
'huan'bing'huang'xian'an 环丙磺酰胺
'huan'bing'mi'huang'long 环丙嘧磺隆
'huan'huang'tong 环磺酮
'huan'yang'mi'huang'long 环氧醚磺隆
'huan'zhi'cao'mi 环酯草醚
'huang'xian'niao'lei 磺酰脲类
'jia'cao'an 甲草胺
'jia'huang'an'huang'long 甲磺胺磺隆
'jia'huang'cao'an 甲磺草胺
'jia'huang'long 甲磺隆
'jia'ji'dian'huang'long'na'yan 甲基碘磺隆钠盐
'jia'ji'er'huang'long 甲基二磺隆
'jia'mi'zuo'yan'suan 甲咪唑烟酸
'jia'suo'chu'cao'mi 甲羧除草醚
'jia'yang'chu'cao'mi 甲氧除草醚
'jia'yang'mi'cao'yan 甲氧咪草烟
'jie'cao'zhi 解草酯
'jie'cao'zuo 解草唑
'jie'du'kui 解毒喹
'jing'bi'fu'he'cao'ling 精吡氟禾草灵
'jing'e'zuo'he'cao'ling 精噁唑禾草灵
'jing'kui'he'ling 精喹禾灵
'jing'lei 腈类
'kui'he'kang'zhi 喹禾糠酯
'kui'he'ling 喹禾灵
'lian'bi'ding'lei 联吡啶类
'lv'bi'mi'huang'long 氯吡嘧磺隆
'lv'fu'bi'yang'yi'suan 氯氟吡氧乙酸
'lv'fu'bi'yang'yi'suan'yi'xin'zhi 氯氟吡氧乙酸异辛酯
'lv'fu'cao'mi'yi'zhi 氯氟草醚乙酯
'lv'huang'long 氯磺隆
'mi'ben'an'huang'long 嘧苯胺磺隆
'mi'cao'liu'mi 嘧草硫醚
'mi'ding'wo'cao'mi 嘧啶肟草醚
'mi'huang'long 醚磺隆
'mi'zuo'yi'yan'suan 咪唑乙烟酸
'mie'cao'song 灭草松
'peng'tao 彭韬
'pu'cao'jing 扑草净
'pu'mie'jin 扑灭津
'qin'bi'mi'huang'long 嗪吡嘧磺隆
'qing'dao'bo'ke'xi'er'zuo'wu'bao'hu'you'xian'gong'si 青岛伯克希尔作物保护有限公司
'qing'fu'cao'zhi 氰氟草酯
'que'cao'suan 炔草酸
'que'cao'zhi 炔草酯
'ru'fu'he'cao'ling 乳氟禾草灵
'sai'cao'ding 噻草啶
'sai'fen'huang'long 噻吩磺隆
'san'dan'ben'lei 三氮苯类
'san'fu'ding'huang'long 三氟啶磺隆
'san'fu'jia'huang'long 三氟甲磺隆
'san'fu'suo'cao'mi 三氟羧草醚
'san'jia'ben'cao'tong 三甲苯草酮
'san'lv'bi'yang'yi'suan 三氯吡氧乙酸
'shuang'ben'e'zuo'suan 双苯噁唑酸
'shuang'cao'mi 双草醚
'shuang'fu'huang'cao'an 双氟磺草胺
'shuang'gan'lin 双甘膦
'shuang'huan'huang'cao'tong 双环磺草酮
'shuang'lv'huang'cao'an 双氯磺草胺
'si'zuo'xian'cao'an 四唑酰草胺
'te'ding'jin 特丁津
'wo'cao'tong 肟草酮
'wo'cao'zhi 喔草酯
'wu'fu'huang'cao'an 五氟磺草胺
