'bao'he'tu 饱和土
'chen'guan'fa 沉管法
'ci'sheng'jie'gou'mian 次生结构面
'dan'zhou 单轴
'di'ceng'jie'gou'fa 地层结构法
'di'wei'ya 低围压
'er'ci'chen'qi 二次衬砌
'fa'xiang 法向
'fa'xiang'wei'yi 法向位移
'fa'xiang'ying'li 法向应力
'fan'li 反力
'fei'bao'he'tu 非饱和土
'fu'he'shi'chen'qi 复合式衬砌
'gan'wu 干坞
'ge'li'fei'si'qiang'du'zhun'ze 格里菲斯强度准则
'ge'li'fei'si'zhun'ze 格里菲斯准则
'he'zai'jie'gou 荷载结构
'he'zai'jie'gou'fa 荷载结构法
'jie'gou'mian 结构面
'jie'li'hua 节理化
'jie'li'hua'cheng'du 节理化程度
'jie'mian'she'ji 截面设计
'la'jian 拉剪
'la'jian'po'huai 拉剪破坏
'mo'er'ku'lun'zhun'ze 莫尔库伦准则
'pai'shui'mang'guan 排水盲管
'qiang'du'zhun'ze 强度准则
'ru'bian 蠕变
'san'zhou'ya'suo 三轴压缩
'shi'jian 试件
'sui'dao'jie'gou 隧道结构
'wei'ya 围压
'wei'yan'wen'ding'xing 围岩稳定性
'ya'jian 压剪
'ya'jian'po'huai 压剪破坏
'yan'kuai 岩块
'yan'ti'fen'ji'biao'zhun 岩体分级标准
'ying'li'song'chi 应力松弛
'you'xian'yuan'fen'xi'fa 有限元分析法
'yuan'sheng'jie'gou'mian 原生结构面
'zhu'jiang'fa 注浆法
'zi'cheng 自承
'zi'cheng'neng'li 自承能力
'zuan'bao'fa 钻爆法
