'a'yu'fu'zhi'li 阿育复置醴
'a'yu'gui'gu'yi'shen'jiao 阿育鬼谷亦神交
'ai'shan'zhi'chi'ru'ai'shi 爱山之痴如爱诗
'an'zhao'ze'tian'er'ze'zhi 暗照则天而则之
'an'zhong'shou'yi'shi'duo'duo 暗中受益是多多
'ba'bai'sui'shi'yi'hui'ma 八百岁时一回马
'ba'jiu'wen'hua'hua'bu'yu 把酒问花花不语
'ba'shu'xue'xiao'chun'shui'lai 巴蜀雪消春水来
'bai'ma'si'shan'gu 百马死山谷
'bai'mang'zhong'ken'zuo'xian'ren 百忙中肯作閒人
'bai'nian'duo'bing'du'deng'tai 百年多病独登台
'bai'nian'wei'jian'huan'yu'bi 百年未见欢娱毕
'bai'qia'yu'lang'ji'tao'ye 白袷玉郎寄桃叶
'bai'qian'wan'ji 百千万纪
'bai'qian'wan'yi'nian 百千万亿年
'bai'shou'xiang'zhi'you'an'jian 白首相知犹按剑
'bai'shui'qing'shan'kong'fu'chun 白水青山空复春
'bai'su'ku'chu'shuo'bu'jin 败诉苦处说不尽
'bai'tou'gong'nv'shuo'kai'yuan 白头宫女说开元
'bai'yu'chan'ji'ju'zeng'wang'xiu'cai 白玉蟾集句赠王秀才
'bai'yun'huang'zhu'he'xu'bei 白云黄竹何须悲
'bai'yun'man'di'wu'ren'sao 白云满地无人扫
'bai'zhan'sha'chang'qu'hu'bao 百战沙场驱虎豹
'ban'jiang'gun'gun'jin'long'sheng 半江滚滚金龙生
'ban'shi'shen'ming'chang'yi'yi 半世身名长已矣
'ban'yuan'xiu'dao'ban'yuan'jun 半缘修道半缘君
'ban'za'jiang'sheng'yan'bu'yi 半杂江声咽不已
'bao'zhu'sheng'zhong'yi'sui'chu 爆竹声中一岁除
'bei'xian'luo'ri'lin'cheng'bei 杯衔落日临城北
'bei'zai 悲哉
'bei'zhong'hang'shi'wai'ren'zhi 被中行事外人知
'beng'teng'xian'li'zhi 崩腾献荔枝
'bi'chuang'su'wu'meng'meng'shi 碧窗宿雾濛濛湿
