'an'ding'mian 安定面
'an'ding'yi 安定翼
'an'ding'zhuang'zhi 安定装置
'ban'ji 班机
'bi'lun'qi'luo'jia 鼻轮起落架
'bo'yin 波音
'cang'kou 舱口
'cang'men 舱门
'ce'shi 测试
'cha'xiao 插销
'che'kong 撤空
'chong'ya'qu'dong 冲压驱动
'chui'zhi'hui'zhuan'yi'luo'pan 垂直回转仪罗盘
'chui'zhi'su'du'zhi'shi'qi 垂直速度指示器
'ci'chang'ju'li'zhi'shi 磁场距离指示
'cuo'wu'bao'gao'shou'ce 错误报告手册
'da'qi'shu'ju'ji'suan'ji 大气数据计算机
'dang'feng'bo'li 挡风玻璃
'di'biao'wei 地标位
'di'mian'cao'zuo'ji'dian'qi 地面操作继电器
'di'mian'dian'yuan'she'bei'fa'dong'ji'qian'yin 地面电源设备发动机牵引
'di'mian'jie'jin'jing'gao 地面接近警告
'di'mian'qin'wu'xuan'ze'ji'dian'qi 地面勤务选择继电器
'di'mian'qin'wu'zhuan'huan'ji'dian'qi 地面勤务转换继电器
'di'mian'she'bei 地面设备
'dian'kong'zhi'dong'qi 电控致动器
'dian'zi'hua'fei'xing'yi'biao 电子化飞行仪表
'dong'li'chuan'song'zu'jian 动力传送组件
'duan'dian'qi 断电器
'duan'lu'kai'guan 断路开关
'duan'lu'qi 断路器
'fa'dian'ji'duan'dian'qi 发电机断电器
'fa'dian'ji'duan'lu'qi 发电机断路器
'fa'dian'ji'kong'zhi'ji'dian'qi 发电机控制继电器
'fa'dian'ji'kong'zhi'zu'jian 发电机控制组件
'fa'dong'ji 发动机
'fa'she'ji 发射机
'fan'tui'li'qi 反推力器
'fang'bing 防冰
'fang'xiang'duo 方向舵
'fei'dui'chen'de 非对称的
'fei'hang'hu'jiao 飞航呼叫
'fei'ji 飞机
'fei'ji'wei'xiu'shou'ce 飞机维修手册
'fei'kong'xi'tong 飞控系统
'fei'xing'yin'xiang'qi 飞行引向器
'fu'jia'shi'yuan 副驾驶员
'fu'yi 副翼
'fu'yi'dian'kong'dan'yuan 副翼电控单元
'fu'you'xiang 副油箱
'fu'zhu'de'dong'li'dan'yuan 辅助的动力单元
'fu'zhu'de'dong'li'duan'dian'qi 辅助的动力断电器
'gao'du 高度
'gao'du'ji 高度计
'gong'jiao 功角
'gong'qi 供气
'gu'zhang'ge'li'shou'ce 故障隔离手册
'guan'duan'fa 关断阀
'guan'xing'can'kao'xi'tong 惯性参考系统
'guan'xing'can'kao'zu'jian 惯性参考组件
'hai'ba 海拔
'hang'kong'fa'dong'ji 航空发动机
'hang'xing'deng 航行灯
'hou'yuan'jin'yi 后缘襟翼
'huan'rao'de 环绕的
'hui'cheng 回程
'hui'liu'pai'shu'chu'cuo'wu 汇流排输出错误
'hui'zhuan'su'lv 回转速率
'ji'lu'qi 记录器
'ji'shen 机身
'ji'tou 机头
'ji'wu'ren'yuan 机务人员
'ji'yi 机翼
'ji'zhang 机长
'ji'zu 机组
'jia'shi'cang 驾驶舱
'jia'shi'yuan 驾驶员
'jiao'ti'de 交替的
'jie'gou'xiu'li'shou'ce 结构修理手册
'jie'jin 接近
'jie'jin'xing'jin'xian'shi 接近行进显示
'jie'liu'fa 节流阀
'jin'ji'qing'kuang 紧急情况
'jin'ji'zhi'jie'yin'qing'zhi'shi 紧急直接引擎指示
'jin'yi 襟翼
'jing'ya'kong'qi'wen'du 静压空气温度
'ke'cang 客舱
'ke'cang'guang'bo 客舱广播
'ke'ji 客机
'kong'ke 空客
'kong'qi'tiao'jie 空气调节
'kong'qi'xun'huan'ji 空气循环机
'kong'su 空速
'kong'zhi'xian'shi'qi 控制显示器
'kong'zhong'jiao'tong'guan'zhi 空中交通管制
'kong'zhong'ke'che 空中客车
'kong'zhong'zhen'dong'jian'shi'qi 空中震动监视器
'kuai'chai'xie 快拆卸
'kuai'xie 快卸
'lei'da'gao'du 雷达高度
'lun'dang 轮档
'luo'xuan'jiang 螺旋桨
'mai'dao 麦道
'mi'feng'cang 密封舱
'mo'shi'kong'zhi'mian'ban 模式控制面板
'pai'qi 排气
'pai'qi'wei'wen 排气尾温
'pao'dao 跑道
'pi'tuo'guan 皮托管
'pi'tuo'jing'ya'guan 皮托静压管
'pian'hang'tu 偏航图
'pin'lv'zhen'tang'qi 频率振汤器
'pu'dong 扑动
'qi'dong 气动
'qi'dong'ye'ya'beng 气动液压泵
'qi'luo'jia 起落架
'qi'luo'jia'lun 起落架轮
'qi'xiang'lei'da 气象雷达
'qi'ya'ji 气压计
'qi'yuan'che 气源车
'qian'qi'luo'jia 前起落架
'qian'yin 牵引
'ran'you'kong'zhi'qi 燃油控制器
'ran'you'liu'liang 燃油流量
'san'cha'ji 三叉戟
'sha'che'sha'hao 刹车刹好
'sha'che'yi'song 刹车已松
'shen'gao'pin'wu'xian'dian 甚高频无线电
