'a'li'lang'pei'xun 阿里郎培训
'a'mai'xiao'de 啊卖萧的
'ao'chang'zhang 敖厂长
'bai'yuan'ge 百元哥
'bi'li 比利
'bo'lan'ge 波澜哥
'cha'cha'cha'cha 差差差差
'cha'cha'cha'cha'gan'ma 差差差差干嘛
'chao'xian'da'ma 朝鲜大妈
'chuang'jia'xue'hui 创价学会
'da'li'chu'qi'ji 大力出奇迹
'di'tie'da'ma 地铁大妈
'dong'fang'shao'nian'qiang'jian'shang'hai'ren 东方少年强奸上海人
'fei'sha'zu'zong 飞杀祖宗
'gao'bi'li 搞比利
'gao'yin'ge 高音哥
'ge'ping 葛平
'gua'zi'ge 瓜子哥
'guo'mei'jiang 郭美江
'hai'yao'shang 还要上
'jian'la'ji'chi'de 捡垃圾吃的
'jin'guan'zhang 金馆长
'jin'ke'la 金坷垃
'kao'mian'jin 烤面筋
'lan'lan'lu 蓝蓝路
'lao'zhong'yi 老中医
'liang'fei'fan 梁非凡
'liu'xing 刘醒
'mai'xiao'de 卖萧的
'meng'xiang'san'ju'tou 梦想三巨头
'mian'jin'ge 面筋哥
'ri'mu'li 日暮里
'san'yu'da'ma 三语大妈
'si'bi 撕逼
'song'gang'xiu'zao 松冈修造
'tian'chao'lao'bang'lao'bang'de 天朝老棒老棒的
'tian'de'chi 天德池
'wan'e'zhi'yuan 万恶之源
'wang'de'ai'hao 王的哀嚎
'wang'de'jiao'hui 王的教诲
'wang'si'tu 王司徒
'wo'bu'ao'ni'ba 我不艹你爸
'xiang'lian'jie 项链姐
'xin'hua'li 新华里
'xin'hua'li'ye'wu'yuan 新华里业务员
'xin'ri'mu'li 新日暮里
'xue'yi 雪姨
'ye'shi 吔屎
'ye'shi'la 吔屎啦
'yi'bai'kuai 一百块
'yi'ben'man'zu 一本满足
'yuan'shou 元首
'yuan'shou'de'fen'nu 元首的愤怒
'zhang'quan'dan 张全蛋
'zhe'man'chou'de 这蛮臭的
