'a'gu'tai'xing 阿古泰兴
'a'ke'sai'li 阿克塞利
'ai'de'ke'te 埃德克特
'ai'fo'lu'di 爱佛卢蒂
'ai'ta'luo'tan'si'ka'te 爱塔罗坦思卡特
'an'hei'long'qiang 暗黑龙枪
'an'hong'lei'zhu 暗红泪珠
'an'qi'li 安其丽
'ao'ge'lei'te'di'guo 奥格雷特帝国
'ba'shan 巴山
'ba'tuo'shen'chui 巴托神锤
'bei'er'di'na 贝尔蒂娜
'bi'li'sha 碧丽莎
'bi'tong'ke'ni'sa'liu'si 比同可尼撒流斯
'bing'he'dao'xie 冰河倒泄
'bing'lie'zhen'lei 冰裂震雷
'bing'rui'feng'mang 冰锐锋芒
'bing'zhi'jue'bi 冰之绝壁
'bo'suo'si 博索斯
'chen'bao'long'zhao 尘暴笼罩
'cheng'da'wei'er 成达维尔
'da'di'zhan'che 大地战车
'da'ke 达克
'da'ke'tuo 达克托
'de'lei'ke'si 德雷刻丝
'di'ke'luo'ni 蒂可罗尼
'di'yu'huo 地狱火
'en'lai'ke 恩莱科
'fa'lan'ni 法兰妮
'fan'tuo'si 梵陀思
'fei'an'na 菲安娜
'fei'er 费尔
'fei'er'te 斐尔特
'fei'er'ti'lan 费尔提兰
'fei'li'si'di'na 妃丽思蒂娜
'fei'na'xi'ya 费纳希雅
'fei'si'le 菲斯勒
'fen'nu'de'xue'ye 愤怒的血液
'feng'yu 风蝓
'feng'zhi'hao'jiao 风之号角
'feng'zhi'shou'hu 风之守护
'fu'shen'lun 父神论
'gan'en'ri 感恩日
'ge'er'si'luo 戈尔斯罗
'ge'lan'te 格兰特
'ge'ling 歌铃
'ge'luo'li'en 格洛里恩
'gong'ta'gu 恭塔古
'guang'hui'ri 光辉日
'hai'ge'ai'luo 海格埃洛
'hao'meng 豪猛
'he'ke'er'si 荷科尔斯
'he'ke'te'er 赫克特儿
'he'li 荷里
'he'li'si 赫利斯
'hei'an'jing'qi 黑暗旌旗
'hong'yun'zhi'kai 红云之铠
'hun'dun'jing'bi 混沌晶壁
'jie'rui 杰瑞
'jing'hu'cheng 镜湖城
'jing'shen'feng'bao 精神风暴
'jing'shen'zhen'dang 精神振荡
'jing'yue'gong 镜月宫
'jiu'shu'ri 救赎日
'jue'dui'bing'feng 绝对冰封
'ka'ao'qi 卡敖奇
'ka'la'dan 卡拉丹
'ka'li'te 卡立特
'ka'nei'li'ao 卡内里奥
'ka'zi 卡兹
'kai'qin'dao 凯琴岛
'kai'te 凯特
'kao'lun'si 考伦斯
'ke'bi'li'ao 科比李奥
'ke'li'si 克丽丝
'ke'wei'zhi 克维志
'la'duo'ke'si'ke'la'ni'si 拉多克斯克拉尼斯
'la'si'ke'er 拉丝科尔
'lai'ding 莱丁
'lai'fu'te 莱福特
'lai'te 赖特
'lao'de 劳德
'le'ke'lei'si 勒克累斯
'lei'er'ta 雷尔塔
'lei'guang'hu'bi 雷光护壁
'li'la 莉拉
'li'te'er 莉特儿
'li'zhi'zhi'xin 理智之心
'lian'na 莲娜
'ling'hun'bi'shou 灵魂匕首
'ling'hun'zhi'yan 灵魂之眼
'liu'guang'shui'ying 流光水影
'lu'xi'ya 鲁西亚
'lu'xi'ya'shen'zhang 鲁西亚神杖
'luo'lan 罗兰
'luo'sai'mu 罗塞姆
'luo'sai'wei'er 罗塞维尔
'ma'duo'shi 玛多士
'ma'ke'lu 马克鲁
'ma'lei'ao'fei'nu'si 玛雷奥菲努斯
'mai'kao'lun 麦考伦
'mao'si 毛斯
'mei'ka'dun 美卡顿
'mei'ka'lu'si 梅卡鲁斯
'mei'long 梅龙
