'a'kun'na'si 阿昆娜丝
'a'si'ka'long 阿斯卡隆
'a'zi'te'ke 阿兹特克
'ai'li'sha'de 爱莉莎德
'ai'si'te 埃斯特
'ai'zha'li 艾扎力
'an'qi'lei'nie 安琪蕾涅
'an'xiao'feng'mo 闇咲逢魔
'ao'lei'ou'si 奥雷欧斯
'bai'jing'hei'zi 白井黑子
'ban'zang 半藏
'bei'ci'zhi'ren 背刺之刃
'bei'ji'ji'min 贝积继敏
'bei'luo'pu 贝罗普
'bei'pao'qi'zhe 被抛弃者
'bi'shu'di 避暑地
'bi'ya'ji'ou 彼亚吉欧
'bi'yao'e'jiao'hui 必要恶教会
'bin'mian'shi'shang 滨面仕上
'bu'liang'shen'fu 不良神父
'chang'dian'shang'ji'xue'yuan 长点上机学园
'chang'pan'tai'zhong'xue 常盘台中学
'chao'an 潮岸
'chao'dian'ci'pao 超电磁炮
'chao'nao'ling 吵闹灵
'chao'neng'li 超能力
'chu'chun'shi'li 初春饰利
'chui'ji'zhi'li 吹寄制理
'chun'shang'jin'yi 春上衿衣
'ci'tu'hang'jian 刺突杭剑
'da'ba'xing'ji 大霸星祭
'da'neng'li 大能力
'da'yu'lao'shi 大圄老师
'da'zhi'zhu 大蜘蛛
'di'ling'sheng'tang'qu 第零圣堂区
'di'neng'li 低能力
'di'qi'xue'qu 第七学区
'di'shi'jiu'xue'qu 第十九学区
'di'yi'qi'qi'zhi'bu 第一七七支部
'dong'chuan'ji 冬川基
'du'xin'neng'li 读心能力
'dui'ma 対马
'duo'cai'neng'li 多才能力
'e'luo'si'cheng'jiao 俄罗斯成教
'fa'huo'neng'li 发火能力
'fa'tiao'beng'dai 发条绷带
'fang'chuan'jie'geng 芳川桔梗
'feng'ji'wei'yuan 风纪委员
'feng'zhan'bing'hua 风斩冰华
'fu'lan'da 弗兰达
'gang'zhi'shou'tao 钢之手套
'ge'li'guo'sheng'ge'dui 葛利果圣歌队
'gu'fa'mei'wei 固法美伟
'guan'suo'zhong'xue 关所中学
'hai'jun'yong'chuan'shang'qiang 海军用船上枪
'hei'qi'mian'liu 黑妻绵流
'hei'qin'sai'gao 黑琴赛高
'hei'se'ruan'ni 黑色软泥
'hong'se'shui'shou'fu 红色水手服
'hou'fang'zhi'shui 后方之水
'huan'xiang'sha'shou 幻想杀手
'huan'xiang'yu'shou 幻想御手
'huang'jin'lian'cheng 黄金炼成
'huang'quan'chuan'ai'sui 黄泉川爱穗
'huo'ye'shen'zuo 火野神作
'jian'gong'zhai'yu 建宫斋宇
'jian'mie'bai'shu 歼灭白书
'jian'zao 谏早
'jie'biao'dan'xi 结标淡希
'jie'lv'chu'shi 介旅初矢
'jing'shen'gan'ying 精神感应
'jing'shen'zhuang'kuang'jiu'zhu'dui 精神状况救助队
'ju'chang'li'de 驹场利德
'juan'qi'zui'ai 绢旗最爱
'jun'shi'tan'ding'da'di'zhi'shu 君士坦丁大帝之书
'ka'ti'na 卡提纳
'kai'er'te'shi'zi'jia 凯尔特十字架
'ke'lao'li 克劳利
'ke'lao'li 克劳力
'ke'lun'wei'er 克伦威尔
'ke'luo'yi'jie'fu 克洛伊洁芙
'ke'xue'jie'she 科学结社
'kong'jian'yi'dong 空间移动
'lan'fa'er'huan 蓝发耳环
'lang'xi'si 朗西丝
'lei'sha 蕾莎
'li'duo'wei'ya 丽多薇雅
'li'mei'ya 莉梅亚
'lian'chi'he'ma 镰池和马
'lian'zhi'zhang 莲之杖
'liang'zi'bian'su 量子变速
'lie'quan'bu'dui 猎犬部队
'ling'ke'bai'he'zi 铃科百合子
'ling'zhuang 灵装
'liu'mei'yu 六枚羽
'liu'po'bi'mei 柳迫碧美
'long'hu'li'hou 滝壶理后
'long'wang'zhi'tan'xi 龙王之叹息
'lu'qi'ya 露琪雅
'luo'bin'han 罗宾汉
'luo'la 萝拉
'luo'lian'jie'di 萝莲洁蒂
'luo'ma'zheng'jiao 罗马正教
'luo'sen'ta'er 罗森塔尔
'ma'chang'fang'lang 马场芳郎
'mai'ye'shen'li 麦野沈利
'mei'nong'bu 美浓部
'ming'tu'zhui'hun 冥土追魂
'mo'fa'jin'shu'mu'lu 魔法禁书目录
'mo'fa'shu'shi 魔法术式
'mo'nv'shou'lie'zhi'wang 魔女狩猎之王
'mou'ke'xue'de'chao'dian'ci'pao 某科学的超电磁炮
'mu'yuan'shu'duo 木原数多
'neng'li'zhui'ji 能力追迹
'nian'dong'li 念动力
'niu'shen 牛深
'ou'li'an'na 欧莉安娜
'ou'lu'suo'la 欧露索拉
'pao'fu'wan'bin 泡浮万彬
'pian'guang'neng'li 偏光能力
'pu'luo'li'si 普罗莉丝
'pu'suo'ni 普索尼
'qi'li'jue'yuan 气力绝缘
'qi'ya'li'sha 琪雅丽莎
'qian'fang'zhi'feng 前方之风
'qiang'neng'li 强能力
'qin'chuan'zui'zhong 亲船最中
'qu'dong'kai 驱动铠
'que'xian'dian'qi 缺陷电气
'rao'luan'zhi'yu 扰乱之羽
'ren'cai'pai'qian 人才派遣
'rou'ti'zai'sheng 肉体再生
'san'ze'shu 三泽塾
