'an'gang 暗杠
'an'san'ke 暗三刻
'ba'bing 八饼
'ba'tiao 八条
'ba'wan 八万
'bai'ban 白板
'bai'wan'dan 百万石
'bao'pai 宝牌
'bao'pai 报牌
'bao'ting 报听
'bei'feng 北风
'bei'feng'quan 北风圈
'bian'zhang 边张
'bu'hua 补花
'bu'qiu'ren 不求人
'chang'cheng 长城
'chi'pai 吃牌
'chi'peng'gang 吃碰杠
'chu'chong 出铳
'cuo'pai 搓牌
'da'bing 大饼
'da'he 大和
'da'san'yuan 大三元
'da'si'xi 大四喜
'da'yu'wu 大于五
'dan'diao 单钓
'dan'diao'jiang 单钓将
'di'fan 低番
'di'fen 底分
'di'he 地和
'di'hu 地和
'di'pai 底牌
'dian'hu 点和
'dian'pao 点炮
'dian'shi'ji 电视机
'dong'bei'ma'jiang 东北麻将
'dong'feng 东风
'dong'feng'quan 东风圈
'duan'yao 断幺
'duan'yao'jiu 断幺九
'dui'dui'hu 对对和
'dui'zi 对子
'duo'zhang 多张
'er'bei'kou 二杯口
'er'bei'man 二倍满
'er'bing 二饼
'er'ren'ma'jiang 二人麻将
'er'tiao 二条
'er'wan 二万
'er'wu'ba 二五八
'er'wu'ba'jiang 二五八将
'fa'zhan'ti'yu'yun'dong 发展体育运动
'fa'zhang 罚张
'fan'zhong 番种
'fang'qiang 放枪
'feng'pai 风牌
'feng'yi'se 风一色
'gang'shang'hua 杠上花
'gang'shang'kai'hua 杠上开花
'guang'lin 广林
'guang'lin'sheng'shou 广林圣手
'guo'shi'wu'shuang 国士无双
'hai'di'lao'yue 海底捞月
'he'jue'zhang 和绝张
'hong'zhong 红中
'hu'jue'zhang 和绝张
'hu'pai 和牌
'hua'long 花龙
'hua'pai 花牌
'hua'qi'dui 花七对
'huang'pai 荒牌
'huang'zhuang 黄庄
'hun'lao'tou 混老头
'hun'quan'dai'yao 混全带幺
'hun'san'bu 混三步
'hun'san'jie 混三节
'hun'si'bu 混四步
'hun'si'jie 混四节
'hun'yao'jiu 混幺九
'hun'yi'se 混一色
'ji'ben'fen 基本分
'ji'hu 鸡和
'ji'hua 季花
'jia'zhang 夹张
'jian'ke 箭刻
'jian'pai 箭牌
'jiang'pai 将牌
'jin'zhang 进张
'jiu'bing 九饼
'jiu'lian'bao'deng 九莲宝灯
'jiu'lian'deng 九莲灯
'ju'fen 局分
'jue'zhang 绝张
'kan'zhang 坎张
'kao'zhang 靠张
'ke'zi 刻子
'lai'zi 赖子
'lao'niu'chi'nen'cao 老牛吃嫩草
'lao'shao 老少
'lao'shao'fu 老少副
'lao'shao'hu 老少户
'lao'shao'pei 老少配
'li'li'yao 粒粒幺
'li'zhi 立直
'li'zhi'yi'fa 立直一发
'lian'liu 连六
'lian'qi'dui 连七对
'lian'zhong'san'yuan 连中三元
'lian'zhuang 连庄
'liu'bing 六饼
'liu'lian 六连
'liu'lian'zhang 六连张
'liu'tiao 六条
'liu'wan 六万
'lun'liu'zuo'zhuang 轮流坐庄
'lv'yi'se 绿一色
'ma'jiang 麻将
'ma'jiang'ci'ku 麻将词库
'ma'que 麻雀
'man'guan 满贯
'me'jiu'tou 么九头
'men'feng 门风
'men'feng'ke 门风刻
'men'qian'qing 门前清
'men'qing 门清
'miao'shou'hui'chun 妙手回春
'ming'gang 明杠
'nan'feng 南风
'nan'feng'quan 南风圈
'pai'cheng 牌城
'pai'chi 牌池
'pan'fen 盘分
'peng'pai 碰牌
'peng'peng'he 碰碰和
'peng'peng'hu 碰碰和
'pi'hu 屁和
'pin'yin'jia'jia 拼音佳佳
'pin'yin'jia'jia'ci'ku 拼音佳佳词库
'ping'he 平和
'ping'hu 平和
'pu'pu'dao 铺铺倒
'qi'bing 七饼
'qi'dui 七对
'qi'dui'zi 七对子
'qi'hu 起和
'qi'hu'fen 起和分
'qi'qiao 七巧
'qi'xiao'dui 七小对
'qi'xing 七星
'qi'xing'bu'kao 七星不靠
'qi'xing'ju'hui 七星聚会
'qi'xing'ju'yi 七星聚义
'qian'dan 嵌单
'qiang'gang 抢杠
'qiang'gang'hu 抢杠和
'qing'lao'tou 清老头
'qing'long 清龙
'qing'long 青龙
'qing'san'jie 清三节
'qing'si'peng 清四碰
'qing'yao'jiu 清幺九
'qing'yi'se 清一色
'qing'yi'tiao'long 清一条龙
'quan'bu'kao 全不靠
'quan'da 全大
'quan'da'you'xu'shu'pai 全大由序数牌
'quan'dai 全带
'quan'dai'wu 全带五
'quan'dai'yao 全带幺
'quan'feng 圈风
'quan'feng'ke 圈风刻
'quan'qiu'ren 全求人
'quan'shi'yao 全是幺
'quan'shuang'ke 全双刻
'quan'shuang'you'xu'shu'pai 全双由序数牌
'quan'xiao 全小
'quan'xiao'you'xu'shu'pai 全小由序数牌
'quan'yao 全幺
'quan'yao'jiu 全幺九
'quan'zhong'you'xu'shu'pai 全中由序数牌
'que'yi'men 缺一门
'ren'he 人和
'ren'hu 人和
'san'an'ke 三暗刻
'san'bei'man 三倍满
'san'bei'yi'man 三倍役满
'san'bing 三饼
'san'feng'ke 三风刻
'san'gang 三杠
'san'gang'zi 三杠子
'san'lian'ke 三连刻
'san'lian'peng 三连碰
'san'mo'yi 三摸一
'san'ren'ma'jiang 三人麻将
'san'se'jie'jie'gao 三色节节高
'san'se'san'bu'gao 三色三步高
'san'se'san'jie'gao 三色三节高
'san'se'san'tong'shun 三色三同顺
'san'se'shuang'long'hui 三色双龙会
'san'se'tong'ke 三色同刻
'san'se'tong'shun 三色同顺
'san'tiao 三条
'san'tong'ke 三同刻
'san'wan 三万
'san'yuan'hui 三元会
'san'yuan'ji'di 三元及第
'san'zhang 散张
'san'zi'mei 三姊妹
'shang'hai'ma'jiang 上海麻将
'shang'pai 上牌
'shang'zhang 上张
'shao'zhang 少张
'shi'ba'luo'han 十八罗汉
'shi'san'bu'kao 十三不靠
'shi'san'lan 十三烂
'shi'san'yao 十三幺
'shou'pai 手牌
'shuang'an'gang 双暗杠
'shuang'an'ke 双暗刻
'shuang'jian'ke 双箭刻
'shuang'liu 双六
'shuang'ming'gang 双明杠
'shuang'tong'ke 双同刻
'shun'zi 顺子
'si'an'ke 四暗刻
'si'bei'yi'man 四倍役满
