'a'lian'gao'xiu 阿连高秀
'a'shui'bo'xing 阿谁薄倖
'a'shui'zhi'ci'yi 阿谁知此意
'an'le'chun'quan 安乐春泉
'an'mo'le 庵摩勒
'an'xiang'dang'shi 暗想当时
'ba'jiao'jian'zhan'shan'gong'qi 芭蕉渐展山公启
'ba'jiu'hua'qian'shi'wen'ta 把酒花前试问他
'ba'jiu'hua'qian'yu'wen'xi 把酒花前欲问溪
'ba'nian'bu'jian 八年不见
'ba'wo'shen'xin 把我身心
'ba'xin'tou'cong'qian'gui 把心头从前鬼
'bai'fa'huang'hua'mao 白发黄花帽
'bai'fa'lao'ren'xin'zi'hui 白发老人心自会
'bai'fa'sen'hua'bu'jie'chou 白发篸花不解愁
'bai'fa'you'ai'hong'xiu'zui 白发又挨红袖醉
'bai'fang'zuo'ji 百方做计
'bai'pin'hong'liao 白蘋红蓼
'bai'qian'duan'wang'wen'jun'ping 百钱端往问君平
'bai'shou'fang'qiu 白首防秋
'bai'tou'bo'shang'fan'jiao'chuan 白头波上泛胶船
'bai'ye'shuang'tian'xiao 败叶霜天晓
'bai'zhang'feng'tou'kai'gu'jing 百丈峰头开古镜
'bai'zhuan'wu'ren'neng'jie 百啭无人能解
'ban'dian'fen'chai'qin'fu 半钿分钗亲付
'ban'kong'shuang'ji 半空霜戟
'ban'yan'ban'yu'xi'qiao'pan 半烟半雨溪桥畔
'ban'yi'tui'yu 半倚颓玉
'ban'yin'cai'nuan'que'qing'han 半阴才暖却清寒
'ban'zhuang'hong'dou 半妆红豆
'bang'ren'jin'dao 傍人尽道
'bao'da'chun'feng'you'ji 报答春风有几
'bao'da'feng'guang'you'chu 报答风光有处
'bao'feng'ji'yu'nian'nian'you 暴风急雨年年有
'bao'ma'cu'gui'zhu'hu'bi 宝马促归朱户闭
'bao'pi'pa'wei'shui'qing'shou 抱琵琶为谁清瘦
'bao'xi'wei'jie'xin'xian'tou 宝犀未解心先透
'bao'zhe'pi'pa'ning'zhu 抱着琵琶凝伫
'bao'zhuan'yan'xiao'long'feng 宝篆烟销龙凤
'bei'ge'ren'ba'ren'tiao'xi 被个人把人调戏
'bei'pan'lang'ji'you'xiang'dui 杯盘狼藉犹相对
'bei'qiu'fu 悲秋赋
'bei'ren'yu'chu'cang'zhu'lv 背人语处藏珠履
'bei'shang'jiao'fei'quan'chou'xian 杯觞交飞劝酬献
'bei'suo'luo'hua'shen'yuan 背锁落花深院
'bei'xing'dao'shou'mo'liu'can 杯行到手莫留残
'bei'yuan'chun'feng 北苑春风
'bei'yuan'long'tuan 北苑龙团
'bei'zhong'san'wan'liu'qian'ri 杯中三万六千日
'ben'ti'xin'yin'chuan'liang'wu 本提心印传梁武
'bi'jing'jiao'ren'zen'sheng'shi 毕竟教人怎生是
'bi'tian'lu'xi'chun'rong'jing 碧天露洗春容净
'bi'xia'feng'sheng 笔下风生
'bi'zhen'sao'qiu'feng 笔阵扫秋风
'bi'zhou'zhu'lan'qing'bu'qian 碧甃朱阑情不浅
'bian'chou'yun'yu'you'nan'xun 便愁云雨又难寻
'bian'jie'yin'zhang'gui'bao 便解银章归报
'bian'shi'yu'suo'jiu'hua 便是渔簑旧画
'bian'suo'xie'bie'cha'zhi'dai 便索些别茶只待
'bian'wu'mo'wei 遍舞摩围
'bian'xian'liu'xiang'hua'jie 便嫌柳巷花街
'bian'yi'zhuan'hu'chuang 便移转胡床
'bian'you'zong'heng'mou'jiang 边有纵横谋将
'bian'zhuang'qiong'shu 遍装琼树
'bie'lang'rong'yi'jian'lang'nan 别郎容易见郎难
'bie'lei'zuo'ren'jian'xiao'yu 别泪作人间晓雨
'bie'meng'yi'sui'liu'shui 别梦已随流水
'bie'shi'bu'si'jian'shi'qing 别时不似见时情
'bie'shi'jin 别时襟
'bie'yu'zen 别语怎
'bin'jiang'lao 鬓将老
'bin'si'nian'nian'jian'lao 鬓丝年年渐老
'bin'you'qun'xian 宾有群贤
'bing'ci'ying'yu 冰甆莹玉
'bing'ji'zhao'ying'zhe'zhi'guan 冰肌照映柘枝冠
'bing'tang'jiu'hao 冰堂酒好
'bo'men'ti'shi 拨闷题诗
'bo'nu'tao'fan 波怒涛翻
'bo'sheng'pai'zhen'chang'huai'xiao 波声拍枕长淮晓
'bo'tao'wan'qing'zhu'chen'hai 波涛万顷珠沉海
'bo'zhao'zi'gui'qu'lai 拨棹子归去来
'bo'zhuang'xiao'ye'xian'qing'su 薄妆小靥闲情素
'bu'bei'ji'qi 不被鸡欺
'bu'chan'gong 步蟾宫
'bu'cheng'huan'xiao'bu'cheng'ku 不成欢笑不成哭
'bu'cong'cong'cheng'xi'tao'li 不匆匆成蹊桃李
'bu'dai'chen'feng'qi 不带尘风气
'bu'dao'nian'nian'ji'jian'shuai 不道年年即渐衰
'bu'dao'wan'lai'liang 不到晚来凉
'bu'dao'xiao'lai'kai'bian'xiang'nan'zhi 不道晓来开遍向南枝
'bu'dao'yue'ming'ren'san 不道月明人散
